日期Date,收盘Close
2015-01-01,8958.83
2015-01-05,8958.83
2015-01-06,8943.84
2015-01-07,8914.82
2015-01-08,8652.76
2015-01-09,8623.1
2015-01-12,8428.31
2015-01-13,8470.4
2015-01-14,8467.47
2015-01-15,8752.09
2015-01-16,8808.73
2015-01-19,8054.52
2015-01-20,8198.16
2015-01-21,8574.69
2015-01-22,8565.51
2015-01-23,8581.14
2015-01-26,8675.12
2015-01-27,8596.15
2015-01-28,8514.94
2015-01-29,8481.42
2015-01-30,8367.58
2015-02-02,8114.09
2015-02-03,8288.93
2015-02-04,8204.49
2015-02-05,8092.71
2015-02-06,7858.02
2015-02-09,7854.33
2015-02-10,8050.18
2015-02-11,8069.17
2015-02-12,8105.49
2015-02-13,8201.31
2015-02-16,8212.76
2015-02-17,8302.17
2015-02-25,8264.23
2015-02-26,8474.75
2015-02-27,8482.46
2015-03-02,8543.4
2015-03-03,8365.82
2015-03-04,8387.63
2015-03-05,8238.6
2015-03-06,8245.75
2015-03-09,8480.99
2015-03-10,8446.93
2015-03-11,8455.3
2015-03-12,8673.0
2015-03-13,8711.21
2015-03-16,8883.93
2015-03-17,9022.97
2015-03-18,9227.36
2015-03-19,9237.78
2015-03-20,9329.66
2015-03-23,9540.59
2015-03-24,9553.6
2015-03-25,9441.39
2015-03-26,9502.71
2015-03-27,9639.55
2015-03-30,9993.01
2015-03-31,9852.41
2015-04-01,9971.71
2015-04-02,9987.08
2015-04-03,10084.97
2015-04-07,10312.59
2015-04-08,10366.14
2015-04-09,10225.96
2015-04-10,10432.77
2015-04-13,10696.08
2015-04-14,10781.99
2015-04-15,10684.51
2015-04-16,10995.55
2015-04-17,11191.09
2015-04-20,11010.25
2015-04-21,11182.01
2015-04-22,11483.97
2015-04-23,11447.39
2015-04-24,11296.07
2015-04-27,11615.94
2015-04-28,11521.8
2015-04-29,11500.0
2015-04-30,11601.47
2015-05-04,11875.88
2015-05-05,11217.81
2015-05-06,10982.51
2015-05-07,10674.45
2015-05-08,10920.95
2015-05-11,11278.77
2015-05-12,11455.1
2015-05-13,11399.04
2015-05-14,11382.37
2015-05-15,11180.91
2015-05-18,11075.69
2015-05-19,11467.69
2015-05-20,11531.46
2015-05-21,11721.25
2015-05-22,12049.54
2015-05-25,12475.32
2015-05-26,12683.71
2015-05-27,12661.87
2015-05-28,11798.27
2015-05-29,11803.48
2015-06-01,12528.6
2015-06-02,12778.4
2015-06-03,12843.68
2015-06-04,12957.69
2015-06-05,13153.95
2015-06-08,13432.78
2015-06-09,13392.33
2015-06-10,13375.73
2015-06-11,13370.17
2015-06-12,13548.47
2015-06-15,13352.6
2015-06-16,12933.56
2015-06-17,13241.85
2015-06-18,12748.82
2015-06-19,11926.02
2015-06-23,12225.52
2015-06-24,12597.79
2015-06-25,12230.58
2015-06-26,11347.9
2015-06-29,11171.5
2015-06-30,11849.69
2015-07-01,11187.59
2015-07-02,10690.05
2015-07-03,9960.34
2015-07-06,10394.86
2015-07-07,10320.27
2015-07-08,9693.32
2015-07-09,10370.14
2015-07-10,10927.31
2015-07-13,11223.26
2015-07-14,11014.85
2015-07-15,10649.41
2015-07-16,10749.84
2015-07-17,11096.74
2015-07-20,11123.14
2015-07-21,11099.29
2015-07-22,11036.18
2015-07-23,11264.48
2015-07-24,11141.88
2015-07-27,10179.79
2015-07-28,10129.07
2015-07-29,10474.86
2015-07-30,10221.3
2015-07-31,10202.96
2015-08-03,10242.09
2015-08-04,10514.88
2015-08-05,10278.48
2015-08-06,10181.76
2015-08-07,10362.23
2015-08-10,10824.08
2015-08-11,10819.82
2015-08-12,10672.16
2015-08-13,10855.64
2015-08-14,10850.66
2015-08-17,10899.4
2015-08-18,10173.7
2015-08-19,10305.37
2015-08-20,9950.53
2015-08-21,9570.67
2015-08-24,8713.99
2015-08-25,8078.34
2015-08-26,8124.61
2015-08-27,8592.17
2015-08-28,8940.83
2015-08-31,8968.97
2015-09-01,8971.74
2015-09-02,9099.27
2015-09-07,8752.77
2015-09-08,8978.7
2015-09-09,9129.77
2015-09-10,9003.61
2015-09-11,8977.45
2015-09-14,8800.93
2015-09-15,8513.88
2015-09-16,8885.26
2015-09-17,8700.42
2015-09-18,8710.29
2015-09-21,8832.22
2015-09-22,8890.16
2015-09-23,8696.26
2015-09-24,8742.4
2015-09-25,8645.16
2015-09-28,8661.55
2015-09-29,8489.38
2015-09-30,8556.48
2015-10-08,8783.54
2015-10-09,8874.06
2015-10-12,9160.36
2015-10-13,9148.2
2015-10-14,9050.93
2015-10-15,9235.45
2015-10-16,9343.01
2015-10-19,9317.52
2015-10-20,9440.25
2015-10-21,9260.31
2015-10-22,9382.66
2015-10-23,9488.81
2015-10-26,9528.24
2015-10-27,9521.49
2015-10-28,9401.68
2015-10-29,9420.44
2015-10-30,9396.73
2015-11-02,9269.7
2015-11-03,9232.66
2015-11-04,9595.51
2015-11-05,9802.62
2015-11-06,9943.44
2015-11-09,10154.36
2015-11-10,10053.4
2015-11-11,10028.01
2015-11-12,9909.3
2015-11-13,9843.64
2015-11-16,9914.02
2015-11-17,9953.07
2015-11-18,9943.76
2015-11-19,10026.94
2015-11-20,10038.43
2015-11-23,9988.35
2015-11-24,9956.53
2015-11-25,10077.96
2015-11-26,10036.97
2015-11-27,9532.54
