日期Date,收盘Close
2015-01-01,8660.33
2015-01-05,8660.33
2015-01-06,8676.38
2015-01-07,8635.15
2015-01-08,8389.05
2015-01-09,8349.68
2015-01-12,8174.3
2015-01-13,8210.02
2015-01-14,8184.99
2015-01-15,8440.35
2015-01-16,8510.57
2015-01-19,7762.17
2015-01-20,7900.59
2015-01-21,8242.51
2015-01-22,8238.9
2015-01-23,8244.7
2015-01-26,8328.74
2015-01-27,8298.96
2015-01-28,8236.61
2015-01-29,8185.71
2015-01-30,8052.85
2015-02-02,7811.84
2015-02-03,7982.16
2015-02-04,7924.07
2015-02-05,7819.06
2015-02-06,7625.73
2015-02-09,7624.11
2015-02-10,7800.61
2015-02-11,7814.19
2015-02-12,7842.84
2015-02-13,7926.93
2015-02-16,7955.89
2015-02-17,8036.2
2015-02-25,8038.27
2015-02-26,8259.83
2015-02-27,8254.64
2015-03-02,8306.54
2015-03-03,8145.88
2015-03-04,8146.45
2015-03-05,8028.24
2015-03-06,8017.9
2015-03-09,8240.77
2015-03-10,8205.43
2015-03-11,8234.76
2015-03-12,8424.05
2015-03-13,8466.85
2015-03-16,8620.75
2015-03-17,8734.05
2015-03-18,8912.0
2015-03-19,8971.58
2015-03-20,9009.25
2015-03-23,9217.4
2015-03-24,9259.97
2015-03-25,9129.75
2015-03-26,9151.02
2015-03-27,9256.9
2015-03-30,9584.07
2015-03-31,9438.49
2015-04-01,9587.27
2015-04-02,9618.5
2015-04-03,9666.4
2015-04-07,9887.49
2015-04-08,9909.59
2015-04-09,9725.87
2015-04-10,9950.86
2015-04-13,10256.93
2015-04-14,10424.57
2015-04-15,10328.65
2015-04-16,10634.01
2015-04-17,10789.84
2015-04-20,10642.26
2015-04-21,10787.75
2015-04-22,11072.41
2015-04-23,11006.86
2015-04-24,10918.61
2015-04-27,11206.8
2015-04-28,11117.94
2015-04-29,11098.85
2015-04-30,11146.75
2015-05-04,11407.45
2015-05-05,10769.28
2015-05-06,10534.43
2015-05-07,10179.71
2015-05-08,10428.66
2015-05-11,10746.72
2015-05-12,10936.42
2015-05-13,10876.71
2015-05-14,10862.72
2015-05-15,10668.22
2015-05-18,10546.75
2015-05-19,10891.42
2015-05-20,10996.52
2015-05-21,11161.81
2015-05-22,11493.64
2015-05-25,11912.04
2015-05-26,12089.94
2015-05-27,12146.28
2015-05-28,11355.83
2015-05-29,11365.09
2015-06-01,12008.65
2015-06-02,12205.6
2015-06-03,12255.5
2015-06-04,12380.16
2015-06-05,12540.93
2015-06-08,12833.32
2015-06-09,12816.99
2015-06-10,12712.75
2015-06-11,12676.38
2015-06-12,12832.75
2015-06-15,12609.21
2015-06-16,12144.26
2015-06-17,12405.88
2015-06-18,11963.64
2015-06-19,11158.59
2015-06-23,11415.19
2015-06-24,11789.72
2015-06-25,11429.94
2015-06-26,10603.28
2015-06-29,10459.57
2015-06-30,11090.53
2015-07-01,10486.43
2015-07-02,10039.15
2015-07-03,9396.93
2015-07-06,9751.37
2015-07-07,9704.62
2015-07-08,9038.37
2015-07-09,9684.53
2015-07-10,10257.81
2015-07-13,10551.98
2015-07-14,10285.51
2015-07-15,9901.97
2015-07-16,9977.84
2015-07-17,10287.71
2015-07-20,10304.36
2015-07-21,10335.56
2015-07-22,10318.15
2015-07-23,10501.71
2015-07-24,10391.29
2015-07-27,9530.84
2015-07-28,9492.95
2015-07-29,9837.28
2015-07-30,9590.74
2015-07-31,9599.85
2015-08-03,9679.91
2015-08-04,9936.15
2015-08-05,9742.29
2015-08-06,9643.0
2015-08-07,9805.28
