指数,10年排名,10年总分,3年排名,3年总分,均排
香港红利/H11140,5,72.9,2,79.6,3.5
SHS红利成长LV/931157,6,71.8,1,83.4,3.5
上红低波/H50040,4,73.9,4,72.9,4.0
东证红利低波/931446,1,91.0,8,65.9,4.5
A500红利低波/932422,2,80.1,11,60.8,6.5
智选高股息/932305,3,77.7,10,62.4,6.5
港股通高股息/930914,10,59.6,3,73.0,6.5
上国红利/000151,8,65.3,13,55.9,10.5
SHS高股息/930917,15,51.4,6,67.9,10.5
高息策略/H30366,13,56.3,9,64.3,11.0
中证红利质量/932315,7,71.3,17,50.6,12.0
300红利/000821,16,49.7,14,52.4,15.0
国新港股通央企红利/931722,23,38.9,7,67.5,15.0
央企红利50/931231,9,61.0,22,44.4,15.5
诚通央企红利/931132,17,49.7,15,52.3,16.0
港股通央企红利/931233,27,32.9,5,71.1,16.0
红利低波/H30269,14,51.7,21,45.7,17.5
国企红利/000824,12,58.1,25,35.3,18.5
红利质量/931468,11,59.4,29,16.7,20.0
央企红利/000825,24,35.7,16,51.6,20.0
央企股东回报/932039,18,46.5,23,40.0,20.5
上证红利/000015,22,39.5,20,46.6,21.0
中华预期高股息/CESFHY,30,3.3,12,60.5,21.0
红利价值/H30270,25,34.1,18,50.6,21.5
中证红利/000922,21,42.7,24,37.4,22.5
红利低波100/930955,19,44.1,27,34.2,23.0
红利潜力/H30089,20,43.4,28,18.2,24.0
港股通高息精选/930839,29,23.5,19,49.5,24.0
300红利低波/930740,28,31.4,26,35.2,27.0
消费红利/H30094,26,33.1,30,4.1,28.0
