交易日期,全收益指数代码,指数名称,收盘点位
20160630,921468,中证红利质量全收益指数,16669.51
20160701,921468,中证红利质量全收益指数,16646.74
20160704,921468,中证红利质量全收益指数,16924.78
20160705,921468,中证红利质量全收益指数,16846.96
20160706,921468,中证红利质量全收益指数,17122.02
20160707,921468,中证红利质量全收益指数,17112.36
20160708,921468,中证红利质量全收益指数,17085.56
20160711,921468,中证红利质量全收益指数,17051.92
20160712,921468,中证红利质量全收益指数,17507.14
20160713,921468,中证红利质量全收益指数,17458.03
20160714,921468,中证红利质量全收益指数,17397.8
20160715,921468,中证红利质量全收益指数,17453.47
20160718,921468,中证红利质量全收益指数,17427.33
20160719,921468,中证红利质量全收益指数,17294.89
20160720,921468,中证红利质量全收益指数,17304.43
20160721,921468,中证红利质量全收益指数,17407.08
20160722,921468,中证红利质量全收益指数,17192.55
20160725,921468,中证红利质量全收益指数,17241.6
20160726,921468,中证红利质量全收益指数,17496.07
20160727,921468,中证红利质量全收益指数,17007.74
20160728,921468,中证红利质量全收益指数,17194.58
20160729,921468,中证红利质量全收益指数,17183.86
20160801,921468,中证红利质量全收益指数,16890.65
20160802,921468,中证红利质量全收益指数,16975.75
20160803,921468,中证红利质量全收益指数,16989.25
20160804,921468,中证红利质量全收益指数,17039.71
20160805,921468,中证红利质量全收益指数,16967.21
20160808,921468,中证红利质量全收益指数,17137.94
20160809,921468,中证红利质量全收益指数,17337.65
20160810,921468,中证红利质量全收益指数,17320.67
20160811,921468,中证红利质量全收益指数,17160.52
20160812,921468,中证红利质量全收益指数,17309.67
20160815,921468,中证红利质量全收益指数,17818.11
20160816,921468,中证红利质量全收益指数,17835.61
20160817,921468,中证红利质量全收益指数,17811.35
20160818,921468,中证红利质量全收益指数,17688.34
20160819,921468,中证红利质量全收益指数,17704.42
20160822,921468,中证红利质量全收益指数,17632.62
20160823,921468,中证红利质量全收益指数,17609.8
20160824,921468,中证红利质量全收益指数,17571.67
20160825,921468,中证红利质量全收益指数,17404.85
20160826,921468,中证红利质量全收益指数,17427.69
20160829,921468,中证红利质量全收益指数,17485.57
20160830,921468,中证红利质量全收益指数,17485.42
20160831,921468,中证红利质量全收益指数,17596.18
20160901,921468,中证红利质量全收益指数,17530.17
20160902,921468,中证红利质量全收益指数,17517.36
20160905,921468,中证红利质量全收益指数,17591.18
20160906,921468,中证红利质量全收益指数,17789.12
20160907,921468,中证红利质量全收益指数,17721.22
20160908,921468,中证红利质量全收益指数,17716.72
20160909,921468,中证红利质量全收益指数,17603.82
20160912,921468,中证红利质量全收益指数,17281.18
20160913,921468,中证红利质量全收益指数,17367.24
20160914,921468,中证红利质量全收益指数,17248.08
20160919,921468,中证红利质量全收益指数,17467.2
20160920,921468,中证红利质量全收益指数,17439.19
20160921,921468,中证红利质量全收益指数,17437.33
20160922,921468,中证红利质量全收益指数,17612.03
20160923,921468,中证红利质量全收益指数,17530.97
20160926,921468,中证红利质量全收益指数,17191.81
20160927,921468,中证红利质量全收益指数,17368.87
20160928,921468,中证红利质量全收益指数,17346.92
20160929,921468,中证红利质量全收益指数,17377.65
20160930,921468,中证红利质量全收益指数,17509.1
20161010,921468,中证红利质量全收益指数,17722.17
20161011,921468,中证红利质量全收益指数,17756.74
20161012,921468,中证红利质量全收益指数,17772.87
20161013,921468,中证红利质量全收益指数,17716.3
20161014,921468,中证红利质量全收益指数,17711.07
20161017,921468,中证红利质量全收益指数,17539.36
20161018,921468,中证红利质量全收益指数,17784.61
20161019,921468,中证红利质量全收益指数,17700.49
20161020,921468,中证红利质量全收益指数,17695.52
20161021,921468,中证红利质量全收益指数,17707.36
20161024,921468,中证红利质量全收益指数,17861.2
20161025,921468,中证红利质量全收益指数,17955.93
20161026,921468,中证红利质量全收益指数,17850.49
20161027,921468,中证红利质量全收益指数,17788.56
20161028,921468,中证红利质量全收益指数,17800.69
