交易日期,指数名称,收盘点位
2016-06-30,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12105.41
2016-07-01,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12123.39
2016-07-04,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12348.48
2016-07-05,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12350.66
2016-07-06,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12397.40
2016-07-07,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12436.02
2016-07-08,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12379.15
2016-07-11,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12424.30
2016-07-12,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12747.56
2016-07-13,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12779.93
2016-07-14,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12758.01
2016-07-15,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12769.99
2016-07-18,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12782.55
2016-07-19,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12719.70
2016-07-20,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12699.07
2016-07-21,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12760.48
2016-07-22,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12626.26
2016-07-25,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12681.36
2016-07-26,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12847.57
2016-07-27,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12661.26
2016-07-28,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12827.43
2016-07-29,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12823.50
2016-08-01,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12701.18
2016-08-02,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12754.75
2016-08-03,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12801.76
2016-08-04,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12829.68
2016-08-05,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12815.15
2016-08-08,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12949.10
2016-08-09,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13022.55
2016-08-10,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12946.62
2016-08-11,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),12887.47
2016-08-12,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13142.96
2016-08-15,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13498.27
2016-08-16,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13430.37
2016-08-17,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13431.67
2016-08-18,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13408.00
2016-08-19,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13398.93
2016-08-22,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13278.20
2016-08-23,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13284.85
2016-08-24,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13253.60
2016-08-25,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13169.39
2016-08-26,S&P China A-Share Dividend Opportunities Index (CHINESE RENMINBI) (TR),13155.43
