指数,数据口径,交易日数,期初日期,期初点位,期末日期,期末点位,累计收益,精确年化收益,日频年化波动,月频年化波动,最大回撤,回撤高点日期,回撤低点日期,修复日期,收益/月频波动
标普中国A股大盘红利低波50,官网全收益指数,2450,2016-06-30,2819.95000000,2026-07-31,7543.97000000,167.52140995%,10.25062906%,14.55250300%,13.98752295%,-19.91513078%,2018-02-05,2018-10-18,2019-03-06,0.7328
标普中国A股红利机会,官网全收益指数,2450,2016-06-30,12105.41000000,2026-07-31,29089.90000000,140.30495456%,9.08377939%,16.99201428%,16.48730365%,-30.37688117%,2018-01-26,2018-10-18,2019-04-08,0.5510
中证红利低波动,官网全收益指数,2451,2016-06-30,9293.50000000,2026-07-31,24227.62000000,160.69424867%,9.96834447%,16.40889961%,15.79050637%,-27.52745780%,2018-01-26,2018-10-18,2020-08-17,0.6313
中证红利,官网全收益指数,2451,2016-06-30,5057.93000000,2026-07-31,12041.68000000,138.07526004%,8.98298315%,16.55438515%,15.30034020%,-27.08301694%,2018-01-26,2018-10-18,2019-04-04,0.5871
中证红利低波动100,官网全收益指数,2451,2016-06-30,10132.08000000,2026-07-31,23357.28000000,130.52798636%,8.63536928%,15.06669209%,14.39801809%,-26.17417168%,2018-01-26,2018-10-18,2019-04-03,0.5998
中证全指红利质量,官网全收益指数,2450,2016-06-30,1749.35000000,2026-07-31,6831.57000000,290.52047904%,14.46513346%,18.99992269%,18.88097623%,-27.96520659%,2018-01-23,2018-10-30,2019-12-16,0.7661
中证红利质量,官网全收益指数,2450,2016-06-30,16669.51000000,2026-07-31,53675.92000000,222.00058670%,12.29594163%,21.04079926%,20.38599250%,-30.35412227%,2018-06-12,2018-10-29,2019-04-01,0.6032
上证红利,官网全收益指数,2451,2016-06-30,3297.47000000,2026-07-31,7565.71000000,129.43984327%,8.58440823%,16.44024810%,15.50337850%,-23.39106117%,2018-02-05,2018-10-18,2021-05-10,0.5537
中证沪港深红利成长低波动,官网全收益指数,2572,2016-06-30,4245.10000000,2026-07-31,11815.81000000,178.33996843%,10.68492777%,14.65750520%,13.66487785%,-26.15734320%,2018-01-24,2020-03-19,2021-09-02,0.7819
深证红利（159905复权净值代理）,跟踪ETF复权净值代理（已扣费，非官方全收益指数）,2459,2016-06-30,1.12990000,2026-07-31,2.02891734,79.56609764%,5.97694261%,21.13125111%,21.03017228%,-50.07069025%,2021-02-10,2022-10-31,区间末尚未修复,0.2842
