指数,分红持续性12,高股息陷阱防御7,策略一致性6,加权与调仓3,规则透明度2,规则稳健性30,年化收益10,最大回撤8,收益波动比7,历史风险收益25,完整年度7,滚动3年5,滚动5年3,表现稳定性15,个股集中5,行业集中6,结构护栏4,结构分散15,结构证据等级,数据可比性5,发布后历史7,资料一致性3,证据可信度15,总分或区间
中证全指红利质量,11,6,6,3,2,28,10,5,7,22,4,5,3,12,3,5,4,12,A,5,1,3,9,83
中证沪港深红利成长低波动,10,5,6,3,2,26,8,6,7,21,6,4,3,13,5,2,2,9,A,5,5,3,13,82
中证红利质量,12,7,5,3,2,29,9,4,5,18,4,3,3,10,5,5,2,12,A,5,4,3,12,81
中证红利低波动100,7,4,6,3,2,22,7,6,5,18,6,4,3,13,4,5,4,13,B,5,7,3,15,81
中证红利低波动,10,6,6,3,2,27,8,5,6,19,6,5,3,14,3,1,1,5,B,5,7,3,15,80
标普中国A股红利机会,10,6,5,3,2,26,7,4,5,16,4,4,3,11,4,3,4,11,C,5,7,3,15,79
上证红利,9,5,5,3,2,24,7,7,5,19,5,4,3,12,4,1,2,7,A,5,7,3,15,77
中证红利,9,5,5,3,2,24,7,5,5,17,5,5,3,13,4,2,1,7,B,5,7,3,15,76
标普中国A股大盘红利低波50,6,4,6,3,1,20,8,8,6,22,6,5,3,14,3,3,2,8,C,5,5,1,11,75
深证红利,9,5,4,2,2,22,4,1,2,7,3,2,1,6,1,4,1,6,A,1,7,3,11,49-54（中位52）
