年份,业务,收入_亿元,占比_%,同比_%,来源
2020,增值服务,2642.1200,54.8085,,腾讯官方年度业绩公告分部收入表
2020,营销服务,822.7100,17.0664,,腾讯官方年度业绩公告分部收入表
2020,金融科技及企业服务,1280.8600,26.5703,,腾讯官方年度业绩公告分部收入表
2020,其他,74.9500,1.5548,,腾讯官方年度业绩公告分部收入表
2021,增值服务,2915.7200,52.0555,10.3553,腾讯官方年度业绩公告分部收入表
2021,营销服务,886.6600,15.8299,7.7731,腾讯官方年度业绩公告分部收入表
2021,金融科技及企业服务,1721.9500,30.7426,34.4370,腾讯官方年度业绩公告分部收入表
2021,其他,76.8500,1.3720,2.5350,腾讯官方年度业绩公告分部收入表
2022,增值服务,2875.6500,51.8554,-1.3743,腾讯官方年度业绩公告分部收入表
2022,营销服务,827.2900,14.9182,-6.6959,腾讯官方年度业绩公告分部收入表
2022,金融科技及企业服务,1770.6400,31.9292,2.8276,腾讯官方年度业绩公告分部收入表
2022,其他,71.9400,1.2973,-6.3891,腾讯官方年度业绩公告分部收入表
2023,增值服务,2983.7500,48.9930,3.7592,腾讯官方年度业绩公告分部收入表
2023,营销服务,1014.8200,16.6633,22.6680,腾讯官方年度业绩公告分部收入表
2023,金融科技及企业服务,2037.6300,33.4578,15.0787,腾讯官方年度业绩公告分部收入表
2023,其他,53.9500,0.8859,-25.0070,腾讯官方年度业绩公告分部收入表
2024,增值服务,3191.6800,48.3400,6.9687,腾讯官方年度业绩公告分部收入表
2024,营销服务,1213.7400,18.3828,19.6015,腾讯官方年度业绩公告分部收入表
2024,金融科技及企业服务,2119.5600,32.1020,4.0208,腾讯官方年度业绩公告分部收入表
2024,其他,77.5900,1.1751,43.8184,腾讯官方年度业绩公告分部收入表
2025,增值服务,3692.8100,49.1218,15.7011,腾讯官方年度业绩公告分部收入表
2025,营销服务,1449.7300,19.2843,19.4432,腾讯官方年度业绩公告分部收入表
2025,金融科技及企业服务,2294.3500,30.5195,8.2465,腾讯官方年度业绩公告分部收入表
2025,其他,80.7700,1.0744,4.0985,腾讯官方年度业绩公告分部收入表
