发布日期,标题,链接
20210427,2020 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0427/2021042701532.pdf
20200924,2020 INTERIM REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0924/2020092401511.pdf
20220428,2021 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0428/2022042803673.pdf
20210924,2021 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0924/2021092400741.pdf
20230414,2022 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0414/2023041400852.pdf
20220923,2022 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0923/2022092301828.pdf
20240418,2023 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0418/2024041802052.pdf
20230922,2023 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200818.pdf
20250425,2024 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042503151.pdf
20240920,2024 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0920/2024092001250.pdf
20260417,2025 ANNUAL REPORT,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0417/2026041701389.pdf
20250923,2025 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0923/2025092300352.pdf
20210825,ANNOUNCEMENT OF 2021 INTERIM RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0825/2021082500952.pdf
20220824,ANNOUNCEMENT OF 2022 INTERIM RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0824/2022082401171.pdf
20230829,ANNOUNCEMENT OF 2023 INTERIM RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0829/2023082901057.pdf
20240827,ANNOUNCEMENT OF 2024 INTERIM RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0827/2024082700898.pdf
20250826,ANNOUNCEMENT OF 2025 INTERIM RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0826/2025082600883.pdf
20210325,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2020",https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0325/2021032500638.pdf
20220328,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2021",https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0328/2022032800416.pdf
20230328,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2022",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0328/2023032800975.pdf
20240326,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2023",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0326/2024032601475.pdf
20250325,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2024",https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0325/2025032501053.pdf
20260324,"ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2025",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0324/2026032401065.pdf
20260706,Monthly Return of Equity Issuer on Movements in Securities for the month ended 30 June 2026,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0706/2026070601336.pdf
