date,close,ttm_cny,market_cap_hkd,pe_ttm
2020-12-31,54.95,52.77,6180.1,105.4
2021-01-04,60.6,52.77,6815.6,116.24
2021-01-05,64.55,52.77,7259.8,123.82
2021-01-06,65.0,52.77,7310.4,124.68
2021-01-07,65.2,52.77,7332.9,125.06
2021-01-08,66.6,52.77,7490.4,127.75
2021-01-11,62.0,52.77,6973.0,118.93
2021-01-12,62.9,52.77,7074.3,120.65
2021-01-13,61.0,52.77,6860.6,117.01
2021-01-14,59.6,52.77,6703.1,114.32
2021-01-15,58.35,52.77,6562.5,111.92
2021-01-18,61.95,52.77,6967.4,118.83
2021-01-19,62.4,52.77,7018.0,119.69
2021-01-20,62.0,52.77,6973.0,118.93
2021-01-21,60.9,52.77,6849.3,116.82
2021-01-22,58.9,52.77,6624.4,112.98
2021-01-25,63.5,52.77,7141.7,121.8
2021-01-26,62.9,52.77,7074.3,120.65
2021-01-27,60.85,52.77,6843.7,116.72
2021-01-28,58.55,52.77,6585.0,112.31
2021-01-29,58.55,52.77,6585.0,112.31
2021-02-01,59.8,52.77,6725.6,114.71
2021-02-02,61.25,52.77,6888.7,117.49
2021-02-03,62.4,52.77,7018.0,119.69
2021-02-04,61.9,52.77,6961.8,118.73
2021-02-05,60.5,52.77,6804.3,116.05
2021-02-08,58.75,52.77,6607.5,112.69
2021-02-09,60.95,52.77,6854.9,116.91
2021-02-10,61.55,52.77,6922.4,118.06
2021-02-11,62.2,52.77,6995.5,119.31
2021-02-16,64.9,52.77,7299.2,124.49
2021-02-17,65.95,52.77,7417.3,126.5
2021-02-18,63.65,52.77,7158.6,122.09
2021-02-19,64.0,52.77,7198.0,122.76
2021-02-22,61.1,52.77,6871.8,117.2
2021-02-23,59.8,52.77,6725.6,114.71
2021-02-24,55.95,52.77,6292.6,107.32
2021-02-25,56.7,52.77,6377.0,108.76
2021-02-26,51.5,52.77,5792.1,98.79
2021-03-01,52.3,52.77,5882.1,100.32
2021-03-02,49.5,52.77,5567.2,94.95
2021-03-03,48.85,52.77,5494.1,93.7
2021-03-04,46.55,52.77,5235.4,89.29
2021-03-05,45.45,52.77,5111.7,87.18
2021-03-08,42.15,52.77,4740.5,80.85
2021-03-09,41.05,52.77,4616.8,78.74
2021-03-10,41.7,52.77,4689.9,79.99
2021-03-11,44.0,52.77,4948.6,84.4
2021-03-12,43.3,52.77,4869.9,83.06
2021-03-15,44.0,52.77,4948.6,84.4
2021-03-16,44.3,52.77,4982.3,84.97
2021-03-17,44.4,52.77,4993.6,85.17
2021-03-18,44.75,52.77,5033.0,85.84
2021-03-19,44.0,52.77,4948.6,84.4
2021-03-22,43.65,52.77,4909.2,83.73
2021-03-23,42.1,52.77,4734.9,80.75
2021-03-24,39.0,52.77,4386.3,74.81
2021-03-25,40.95,52.77,4605.6,78.55
2021-03-26,40.0,52.77,4498.7,76.73
2021-03-29,38.8,52.77,4363.8,74.42
2021-03-30,39.55,52.77,4448.1,75.86
2021-03-31,38.75,52.77,4358.1,74.33
2021-04-01,40.15,52.77,4515.6,77.01
2021-04-07,39.7,52.77,4465.0,76.15
2021-04-08,38.7,52.77,4352.5,74.23
2021-04-09,38.25,52.77,4301.9,73.37
2021-04-12,37.7,52.77,4240.1,72.31
2021-04-13,38.15,52.77,4290.7,73.18
2021-04-14,38.6,52.77,4341.3,74.04
2021-04-15,39.1,52.77,4397.5,75.0
2021-04-16,39.95,52.77,4493.1,76.63
2021-04-19,40.55,52.77,4560.6,77.78
2021-04-20,42.05,52.77,4729.3,80.66
2021-04-21,41.1,52.77,4622.5,78.84
2021-04-22,41.85,52.77,4706.8,80.28
2021-04-23,41.35,52.77,4650.6,79.32
2021-04-26,41.6,52.77,4678.7,79.8
2021-04-27,42.65,52.77,4796.8,81.81
2021-04-28,42.2,52.77,4746.2,80.95
2021-04-29,41.65,52.77,4684.3,79.89
2021-04-30,41.15,52.77,4628.1,78.93
2021-05-03,40.7,52.77,4577.5,78.07
2021-05-04,41.05,52.77,4616.8,78.74
2021-05-05,40.45,52.77,4549.3,77.59
2021-05-06,40.25,52.77,4526.9,77.21
2021-05-07,39.25,52.77,4414.4,75.29
2021-05-10,39.0,52.77,4386.3,74.81
2021-05-11,38.5,52.77,4330.0,73.85
2021-05-12,38.4,52.77,4318.8,73.66
2021-05-13,37.4,52.77,4206.3,71.74
2021-05-14,38.05,52.77,4279.4,72.99
2021-05-17,37.9,52.77,4262.6,72.7
2021-05-18,37.4,52.77,4206.3,71.74
2021-05-20,38.9,52.77,4375.0,74.62
2021-05-21,41.4,52.77,4656.2,79.41
2021-05-24,42.05,52.77,4729.3,80.66
2021-05-25,44.0,52.77,4948.6,84.4
2021-05-26,43.25,52.77,4864.3,82.96
2021-05-27,45.35,52.77,5100.4,86.99
2021-05-28,44.7,52.77,5027.3,85.74
2021-05-31,45.9,52.77,5162.3,88.04
2021-06-01,45.5,52.77,5117.3,87.28
2021-06-02,44.45,52.77,4999.2,85.26
2021-06-03,44.05,52.77,4954.2,84.5
2021-06-04,43.25,52.77,4864.3,82.96
2021-06-07,43.3,52.77,4869.9,83.06
2021-06-08,43.35,52.77,4875.5,83.15
2021-06-09,43.7,52.77,4914.9,83.82
2021-06-10,43.2,52.77,4858.6,82.86
2021-06-11,43.05,52.77,4841.8,82.58
2021-06-15,41.8,52.77,4701.2,80.18
2021-06-16,41.3,52.77,4644.9,79.22
2021-06-17,41.1,52.77,4622.5,78.84
2021-06-18,42.05,52.77,4729.3,80.66
2021-06-21,40.95,52.77,4605.6,78.55
2021-06-22,40.45,52.77,4549.3,77.59
