年份,产品,收入_亿元,占比_%,同比_%,来源
2020,包装饮用水,139.6600,61.0482,,各年度港交所官方年报管理层讨论与分析产品收入表
2020,茶饮料,30.8800,13.4983,,各年度港交所官方年报管理层讨论与分析产品收入表
2020,功能饮料,27.9200,12.2044,,各年度港交所官方年报管理层讨论与分析产品收入表
2020,果汁饮料,19.7700,8.6419,,各年度港交所官方年报管理层讨论与分析产品收入表
2020,其他,10.5400,4.6072,,各年度港交所官方年报管理层讨论与分析产品收入表
2021,包装饮用水,170.5800,57.4421,22.1395,各年度港交所官方年报管理层讨论与分析产品收入表
2021,茶饮料,45.7900,15.4196,48.2837,各年度港交所官方年报管理层讨论与分析产品收入表
2021,功能饮料,36.9500,12.4428,32.3424,各年度港交所官方年报管理层讨论与分析产品收入表
2021,果汁饮料,26.1400,8.8025,32.2205,各年度港交所官方年报管理层讨论与分析产品收入表
2021,其他,17.5000,5.8930,66.0342,各年度港交所官方年报管理层讨论与分析产品收入表
2022,包装饮用水,182.6300,54.9445,7.0641,各年度港交所官方年报管理层讨论与分析产品收入表
2022,茶饮料,69.0600,20.7768,50.8190,各年度港交所官方年报管理层讨论与分析产品收入表
2022,功能饮料,38.3800,11.5467,3.8701,各年度港交所官方年报管理层讨论与分析产品收入表
2022,果汁饮料,28.7900,8.6615,10.1377,各年度港交所官方年报管理层讨论与分析产品收入表
2022,其他,13.5300,4.0705,-22.6857,各年度港交所官方年报管理层讨论与分析产品收入表
2023,包装饮用水,202.6200,47.4887,10.9456,各年度港交所官方年报管理层讨论与分析产品收入表
2023,茶饮料,126.5900,29.6693,83.3044,各年度港交所官方年报管理层讨论与分析产品收入表
2023,功能饮料,49.0200,11.4890,27.7228,各年度港交所官方年报管理层讨论与分析产品收入表
2023,果汁饮料,35.3300,8.2804,22.7162,各年度港交所官方年报管理层讨论与分析产品收入表
2023,其他,13.1100,3.0726,-3.1042,各年度港交所官方年报管理层讨论与分析产品收入表
2024,包装饮用水,159.5200,37.1876,-21.2713,各年度港交所官方年报管理层讨论与分析产品收入表
2024,茶饮料,167.4500,39.0363,32.2774,各年度港交所官方年报管理层讨论与分析产品收入表
2024,功能饮料,49.3200,11.4976,0.6120,各年度港交所官方年报管理层讨论与分析产品收入表
2024,果汁饮料,40.8500,9.5230,15.6241,各年度港交所官方年报管理层讨论与分析产品收入表
2024,其他,11.8200,2.7555,-9.8398,各年度港交所官方年报管理层讨论与分析产品收入表
2025,包装饮用水,187.0900,35.6009,17.2831,各年度港交所官方年报管理层讨论与分析产品收入表
2025,茶饮料,215.9600,41.0945,28.9698,各年度港交所官方年报管理层讨论与分析产品收入表
2025,功能饮料,57.6200,10.9644,16.8289,各年度港交所官方年报管理层讨论与分析产品收入表
2025,果汁饮料,51.7600,9.8493,26.7075,各年度港交所官方年报管理层讨论与分析产品收入表
2025,其他,13.0900,2.4909,10.7445,各年度港交所官方年报管理层讨论与分析产品收入表
