资料,文件,来源,字节数
2020年报,年报/annual_report_2020.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0427/2021042701532.pdf,4415859
2021年报,年报/annual_report_2021.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0428/2022042803673.pdf,2667345
2022年报,年报/annual_report_2022.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0414/2023041400852.pdf,5297652
2023年报,年报/annual_report_2023.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0418/2024041802052.pdf,10753322
2024年报,年报/annual_report_2024.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042503151.pdf,5966926
2025年报,年报/annual_report_2025.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0417/2026041701389.pdf,7997588
2020中报,年报/interim_report_2020.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0924/2020092401511.pdf,629678
2021中报,年报/interim_report_2021.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0924/2021092400741.pdf,1150050
2022中报,年报/interim_report_2022.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0923/2022092301828.pdf,1547290
2023中报,年报/interim_report_2023.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200818.pdf,2525549
2024中报,年报/interim_report_2024.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0920/2024092001250.pdf,943331
2025中报,年报/interim_report_2025.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0923/2025092300352.pdf,2721259
2026年6月证券变动月报,年报/monthly_return_2026-06.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0706/2026070601336.pdf,67970
