date,中长期存款,储备,其他应付款及应计费用,其他投资,其他非流动负债,净流动资产,净资产,受限制存款及现金,可转换可赎回优先股,土地使用权,存货,少数股东权益,应付帐款,应付税项,应收帐款,应收票据,总权益,总权益及总负债,总权益及非流动负债,总负债,总资产,总资产减总负债合计,总资产减流动负债,拨备(流动),拨备(非流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动负债合计,流动资产合计,物业厂房及设备,现金及等价物,短期存款,短期投资,短期贷款,股东权益,股本,贷款及垫款(流动),递延税项负债,递延税项资产,长期投资,长期贷款,非流动负债其他项目,非流动负债合计,非流动资产其他项目,非流动资产合计,预付款按金及其他应收款,预付款项,预收款项
2015-12-31,,-86714628000.0,1275068000.0,1729269000.0,,8488247000.0,-86638308000.0,67060000.0,105932869000.0,,8643183000.0,76170000.0,14225540000.0,101345000.0,1470155000.0,,-86638308000.0,39136537000.0,22672257000.0,125774845000.0,39136537000.0,-86638308000.0,22672257000.0,331652000.0,11963000.0,8390794000.0,789943000.0,553759000.0,16464280000.0,24952527000.0,290183000.0,8394078000.0,739360000.0,1629000000.0,,-86714478000.0,150000.0,100980000.0,103564000.0,394144000.0,,3246800000.0,15369000.0,109310565000.0,225309000.0,14184010000.0,3118768000.0,2600552000.0,530675000.0
2016-12-31,,-92191820000.0,1876267000.0,1852563000.0,,4573056000.0,-92057875000.0,633964000.0,115802177000.0,3494041000.0,8378342000.0,133795000.0,17577702000.0,257558000.0,2089518000.0,,-92057875000.0,50765601000.0,24702339000.0,142823476000.0,50765601000.0,-92057875000.0,24702339000.0,747061000.0,101970000.0,12349198000.0,3437537000.0,1120133000.0,26063262000.0,30636318000.0,848377000.0,9230320000.0,440156000.0,80000000.0,3768500000.0,-92191670000.0,150000.0,1598063000.0,458289000.0,446303000.0,,390000000.0,7778000.0,116760214000.0,18668000.0,20129283000.0,4748418000.0,,1836174000.0
2017-12-31,,-127272511000.0,4223979000.0,1710819000.0,,14005790000.0,-127210691000.0,2711119000.0,161451203000.0,3416359000.0,16342928000.0,61670000.0,34003331000.0,421113000.0,5469507000.0,,-127210691000.0,89869761000.0,42737090000.0,217080452000.0,89869761000.0,,42737090000.0,1542797000.0,191404000.0,18856961000.0,4488076000.0,2274352000.0,47132671000.0,61138461000.0,1730872000.0,11563282000.0,225146000.0,800000000.0,3550801000.0,-127272361000.0,150000.0,8144493000.0,1018651000.0,591576000.0,,7251312000.0,35211000.0,169947781000.0,150361000.0,28731300000.0,11393910000.0,,3390650000.0
2018-12-31,,71322608000.0,6312770000.0,8639238000.0,,44072403000.0,71250129000.0,1480178000.0,,3402968000.0,29480685000.0,-72856000.0,46287271000.0,661816000.0,5598443000.0,,71250129000.0,145227950000.0,83287792000.0,73977821000.0,145227950000.0,,83287792000.0,1123585000.0,559016000.0,18636208000.0,6648526000.0,2061192000.0,61940158000.0,106012561000.0,5068053000.0,30230147000.0,1365991000.0,,3075194000.0,71322985000.0,377000.0,10293645000.0,777645000.0,1312245000.0,,7856143000.0,2844859000.0,12037663000.0,95485000.0,39215389000.0,20914946000.0,,4479522000.0
2019-12-31,590157000.0,81330186000.0,9101343000.0,9300507000.0,,45358381000.0,81657676000.0,1538266000.0,,,32585438000.0,327102000.0,59527940000.0,479350000.0,6948567000.0,,81657676000.0,183629207000.0,91448502000.0,101971531000.0,183629207000.0,,91448502000.0,1998398000.0,667857000.0,20679363000.0,16463390000.0,1672002000.0,92180705000.0,137539086000.0,6992331000.0,25919861000.0,21523043000.0,,12836555000.0,81330574000.0,388000.0,12723503000.0,579902000.0,1283415000.0,,4786856000.0,3756211000.0,9790826000.0,5572346000.0,46090121000.0,19837018000.0,,8237119000.0
2020-12-31,9608677000.0,123691287000.0,13619655000.0,12781995000.0,,68355907000.0,124013515000.0,3625257000.0,,,41670719000.0,321819000.0,72198856000.0,674298000.0,10161019000.0,200000000.0,124013515000.0,253679823000.0,145752895000.0,129666308000.0,253679823000.0,,145752895000.0,2473096000.0,802590000.0,35215319000.0,23173843000.0,4265619000.0,107926928000.0,176282835000.0,6305657000.0,54752443000.0,17598946000.0,,6961937000.0,123691696000.0,409000.0,8919088000.0,300556000.0,2011072000.0,232798000.0,10634806000.0,10001428000.0,21739380000.0,6975851000.0,77396988000.0,16181520000.0,,11999086000.0
2021-12-31,16195419000.0,137212499000.0,20224499000.0,10230751000.0,,70123930000.0,137432496000.0,4319661000.0,,,52397946000.0,219590000.0,74643005000.0,2335124000.0,17985503000.0,14033000.0,137432496000.0,292891870000.0,177164399000.0,155459374000.0,292891870000.0,,177164399000.0,3708616000.0,895747000.0,50113702000.0,30022713000.0,5579159000.0,115727471000.0,185851401000.0,6964621000.0,23511579000.0,31041129000.0,1597919000.0,5527050000.0,137212906000.0,407000.0,5109034000.0,1202717000.0,1661947000.0,351362000.0,20719790000.0,16913649000.0,39731903000.0,15943508000.0,107040469000.0,19851884000.0,,9289177000.0
2022-12-31,16788346000.0,143658052000.0,18440716000.0,7932192000.0,,70787262000.0,143923060000.0,3956786000.0,,,50437891000.0,264602000.0,53093543000.0,1384133000.0,11795074000.0,40003000.0,143923060000.0,273507211000.0,183879678000.0,129584151000.0,273507211000.0,,183879678000.0,4970441000.0,945270000.0,55979974000.0,10295019000.0,4629676000.0,89627533000.0,160414795000.0,9138221000.0,27607261000.0,29874707000.0,,2150741000.0,143658458000.0,406000.0,7829563000.0,983256000.0,2278175000.0,405371000.0,21493261000.0,16534831000.0,39956618000.0,15940461000.0,113092416000.0,18578491000.0,,9587959000.0
2023-12-31,18293650000.0,163995082000.0,25614650000.0,6922241000.0,,83465104000.0,164261768000.0,4794031000.0,,,44422837000.0,266279000.0,62098500000.0,1838222000.0,12150928000.0,125661000.0,164261768000.0,324247439000.0,208659843000.0,159985671000.0,324247439000.0,,208659843000.0,6238092000.0,1215546000.0,60199798000.0,20775793000.0,8628739000.0,115587596000.0,199052700000.0,13720825000.0,33631313000.0,52797857000.0,502816000.0,6183376000.0,163995489000.0,407000.0,9772589000.0,1494287000.0,2160750000.0,364476000.0,21673969000.0,20014273000.0,44398075000.0,14904260000.0,125194739000.0,20078875000.0,,13614756000.0
2024-12-31,58520305000.0,188737370000.0,36372035000.0,6151055000.0,18312200000.0,50323776000.0,189205119000.0,5476417000.0,,,62509682000.0,467342000.0,98280585000.0,3822134000.0,14588579000.0,1255767000.0,189205119000.0,403155289000.0,227770299000.0,213950170000.0,403155289000.0,,227770299000.0,7001687000.0,1695063000.0,62112188000.0,29804839000.0,8152721000.0,175384990000.0,225708766000.0,18087583000.0,33661442000.0,36350271000.0,700163000.0,13327297000.0,188737777000.0,407000.0,12261490000.0,1282196000.0,2781982000.0,3219462000.0,17275721000.0,,38565180000.0,18421227000.0,177446523000.0,29100116000.0,,16581252000.0
2025-12-31,92045627000.0,266218235000.0,35351923000.0,6268209000.0,20392784000.0,62405312000.0,266323269000.0,4578635000.0,,,80989452000.0,104608000.0,110699472000.0,6649117000.0,15239877000.0,,266323269000.0,508095967000.0,315690490000.0,241772698000.0,508095967000.0,,315690490000.0,7229961000.0,3652246000.0,80881337000.0,29273546000.0,8319373000.0,192405477000.0,254810789000.0,27950293000.0,26914377000.0,51308666000.0,200000000.0,13202226000.0,266218661000.0,426000.0,12580269000.0,2400758000.0,3636008000.0,13405600000.0,22921433000.0,,49367221000.0,20778731000.0,253285178000.0,33725967000.0,,19272778000.0
