date,偿还借款,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,出售附属公司,加:减值及拨备,加:利息支出,加:折旧及摊销,加:经营调整其他项目,加:购股权开支,发行债券,发行股份,受限制存款及现金增加(减少),吸收投资所得,回购股份,处置固定资产,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(融资),已付税项,已付股息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资业务其他项目,投资业务现金净额,投资支付现金,收回投资所得现金,收购附属公司,新增借款,期初现金,期末现金,期间变动其他项目,现金净额,经营业务现金净额,经营产生现金,营运资本变动其他项目,营运资金变动前经营溢利,融资业务其他项目,融资业务现金净额,融资前现金净额,购买子公司少数股权而支付的现金,购建固定资产,贷款和垫款(增加)减少,除税前溢利(业务利润),预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2015-12-31,4001826000.0,,279000.0,37682000.0,303940000.0,-506528000.0,-5412445000.0,,1230298000.0,123549000.0,206461000.0,,690742000.0,,1390492000.0,,,,398000.0,,364740000.0,14534000.0,-777398000.0,67083000.0,307556000.0,,198285000.0,7510000.0,1601403000.0,-529748000.0,,873395000.0,76337522000.0,79514546000.0,,3246800000.0,9264955000.0,8394078000.0,288656000.0,-1159533000.0,-2601311000.0,-2293755000.0,109055000.0,355611000.0,,568383000.0,,,2524356000.0,-102927000.0,-7472511000.0,-878739000.0,-2435752000.0
2016-12-31,50000000.0,,11170000.0,89233000.0,51063000.0,-54291000.0,114418000.0,,728948000.0,175479000.0,240031000.0,,871230000.0,,,-624330000.0,,,49855000.0,,57426000.0,299204000.0,-15204000.0,137811000.0,183253000.0,,106983000.0,104255000.0,3352162000.0,-628852000.0,,-3735267000.0,55971490000.0,53502171000.0,,740000000.0,8394078000.0,9230320000.0,112386000.0,723856000.0,4531264000.0,4714517000.0,484597000.0,2979604000.0,,-72141000.0,,,1826245000.0,-1522238000.0,1175509000.0,-418981000.0,426003000.0
2017-12-31,4531248000.0,,513000.0,242518000.0,375723000.0,-144265000.0,-47700505000.0,,927995000.0,215734000.0,360956000.0,909155000.0,,,67573000.0,-288872000.0,,,1531000.0,,-1788284000.0,193428000.0,-8617146000.0,,1522990000.0,,266054000.0,141548000.0,15476486000.0,-3396954000.0,,-2677714000.0,115894726000.0,113832257000.0,,11174861000.0,9230320000.0,11563282000.0,-208585000.0,2541547000.0,-995669000.0,527321000.0,912603000.0,7810504000.0,-207384000.0,6214930000.0,-3673383000.0,,1217806000.0,-6856767000.0,-41829352000.0,-5070104000.0,2056983000.0
2018-12-31,10505637000.0,,10295000.0,601065000.0,-99046000.0,-14550000.0,17071252000.0,-25655000.0,3646916000.0,384692000.0,748216000.0,12380668000.0,,,23340587000.0,906900000.0,2781000000.0,,27367000.0,,,-1157295000.0,-16114975000.0,,1536742000.0,,489816000.0,131804000.0,12627385000.0,-91003000.0,,-7508040000.0,147248747000.0,144094865000.0,34936000.0,10269415000.0,11563282000.0,30230147000.0,1015304000.0,17651561000.0,-1414571000.0,122171000.0,229297000.0,13518600000.0,-53093000.0,26574172000.0,-8922611000.0,165000000.0,3785259000.0,-2752183000.0,13927124000.0,-8413008000.0,1118058000.0
2019-12-31,10417425000.0,578063000.0,-7467000.0,930889000.0,61844000.0,34632000.0,3813012000.0,,4958651000.0,528460000.0,1381059000.0,2201722000.0,,,,75773000.0,155496000.0,2932111000.0,67735000.0,,-136394000.0,-20793124000.0,-6964428000.0,,2141885000.0,,864226000.0,347205000.0,13534575000.0,-1276714000.0,,-31570136000.0,138596252000.0,129945237000.0,,17036724000.0,30230147000.0,25919861000.0,328258000.0,-4638544000.0,23810354000.0,25952239000.0,1083496000.0,16399628000.0,-32156000.0,3121238000.0,-7759782000.0,187000000.0,3405163000.0,-3448312000.0,12162646000.0,5715330000.0,1045058000.0
2020-12-31,32586382000.0,493899000.0,6475000.0,963555000.0,1742322000.0,-693222000.0,13173479000.0,,5669207000.0,3364852000.0,1708461000.0,2328319000.0,,5801022000.0,19907936000.0,275823000.0,3429000000.0,454872000.0,63088000.0,,-2407001000.0,-5456293000.0,-11602421000.0,,1953302000.0,,1052389000.0,119612000.0,10341399000.0,-4272814000.0,,-17678852000.0,206241147000.0,195770505000.0,-38517000.0,30582175000.0,25919861000.0,54752443000.0,-1582634000.0,30415216000.0,21878500000.0,23831802000.0,608647000.0,19511662000.0,-245235000.0,26215568000.0,4199648000.0,,3025523000.0,727548000.0,21633432000.0,7390455000.0,3534327000.0
2021-12-31,13301236000.0,1115859000.0,4336000.0,1229826000.0,2634379000.0,-483287000.0,7722876000.0,,6705299000.0,2841457000.0,3061646000.0,2035569000.0,,,,500000000.0,3471000000.0,7006824000.0,35365000.0,,1007208000.0,-22278586000.0,-13746697000.0,,2442495000.0,,1228830000.0,229612000.0,2456421000.0,-7548686000.0,,-45007945000.0,188124750000.0,172157374000.0,1086477000.0,22528578000.0,54752443000.0,23511579000.0,-516893000.0,-30723971000.0,9785288000.0,12227783000.0,1414983000.0,27952874000.0,-576973000.0,4498686000.0,-35222657000.0,,7169313000.0,3706922000.0,24417033000.0,-7083938000.0,4068696000.0
2022-12-31,23655586000.0,1281785000.0,7345000.0,1663941000.0,-147491000.0,-998602000.0,-1662010000.0,,8463389000.0,546483000.0,3707393000.0,2497358000.0,,,,,806000000.0,2386143000.0,17334000.0,,350688000.0,2272482000.0,-5448990000.0,,3420277000.0,255576000.0,1301900000.0,201561000.0,-20514286000.0,4346873000.0,,15548773000.0,81986975000.0,99567147000.0,25106000.0,19857851000.0,23511579000.0,27607261000.0,791438000.0,3304244000.0,-4389730000.0,-969453000.0,1353124000.0,20285396000.0,-939560000.0,-7854799000.0,11159043000.0,,5799570000.0,-2545224000.0,3933956000.0,1743564000.0,-540598000.0
2023-12-31,4022423000.0,1197692000.0,1592633000.0,3558347000.0,203184000.0,124405000.0,3501053000.0,101294000.0,4190419000.0,1555970000.0,4836287000.0,3378670000.0,,,,,1417086000.0,1356825000.0,72833000.0,,-659788000.0,-23561379000.0,2173795000.0,,3011748000.0,2884215000.0,3258117000.0,197583000.0,11147623000.0,-1652782000.0,-18144000.0,-35169054000.0,62187239000.0,53236781000.0,,8866088000.0,27607261000.0,33631313000.0,397583000.0,5626469000.0,41300495000.0,44312243000.0,3592484000.0,26992771000.0,-1326991000.0,-504972000.0,6131441000.0,,6268900000.0,-1983565000.0,22011047000.0,1600556000.0,3101149000.0
2024-12-31,19265488000.0,2476524000.0,9147000.0,3836204000.0,298647000.0,-319630000.0,1050772000.0,,5958520000.0,212447000.0,6318269000.0,3027360000.0,,,,,2053079000.0,4047876000.0,358488000.0,1544837000.0,-735361000.0,-23446909000.0,-24131971000.0,,3467218000.0,1790035000.0,3646092000.0,427139000.0,36092511000.0,-8387158000.0,110461000.0,-35386391000.0,118367260000.0,107638068000.0,,25998066000.0,33631313000.0,33661442000.0,119997000.0,-89868000.0,39295499000.0,42762717000.0,1200898000.0,38768109000.0,-4394389000.0,-3998976000.0,3909108000.0,75809000.0,7297307000.0,-2567194000.0,28126653000.0,-5353379000.0,7876262000.0
