报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025,,6.96亿,24.73亿,16.85亿,6.96亿,6.97亿,,24.73亿,24.73亿,16.85亿,4.66亿,3283.17万,7.64亿,1.75亿,2.26亿,424.71万,443.58万,225.26万,1517.63万,217.41万,False,False,5.25万,3413.86万,8.22亿,51.73万,False,2246.38万,False,8.00亿,1.04亿,6.96亿,6.96亿,6.96亿,False,6.97亿,,2.83,2.83,141.67万,141.67万,6.97亿,6.97亿,False
2024,,3.38亿,19.43亿,15.52亿,3.38亿,3.48亿,,19.43亿,19.43亿,15.52亿,4.21亿,2542.43万,7.05亿,1.70亿,2.21亿,97.48万,571.28万,565.75万,341.68万,461.95万,False,-2.42万,-97.84万,3435.10万,4.25亿,29.19万,False,3001.11万,False,3.95亿,5696.95万,3.38亿,3.38亿,3.38亿,False,3.48亿,,1.38,1.38,False,False,3.38亿,3.38亿,False
2023,,2.40亿,14.68亿,12.11亿,2.40亿,2.40亿,,14.68亿,14.68亿,12.11亿,3.32亿,1641.27万,5.35亿,1.54亿,1.67亿,-622.53万,143.79万,791.36万,829.44万,373.23万,False,False,-3.75万,2036.08万,2.77亿,9.56万,False,1162.21万,False,2.65亿,2495.72万,2.40亿,2.40亿,2.40亿,False,2.40亿,,1.38,1.38,False,False,2.40亿,2.40亿,False
2022,,2.12亿,12.50亿,10.20亿,2.12亿,2.08亿,,12.50亿,12.50亿,10.20亿,2.66亿,1563.88万,4.63亿,1.32亿,1.46亿,-809.15万,93.75万,993.43万,440.54万,102.67万,False,False,42.08万,1947.82万,2.50亿,302.41万,False,1940.84万,False,2.34亿,2203.39万,2.12亿,2.12亿,2.12亿,False,2.08亿,,1.72,1.72,False,False,2.12亿,2.12亿,False
2021,,2.09亿,10.28亿,7.94亿,1.95亿,1.85亿,,10.28亿,10.28亿,7.94亿,2.25亿,1380.04万,3.38亿,1.18亿,8844.66万,613.29万,599.08万,83.06万,376.13万,1.60万,False,314.50万,516.32万,611.47万,2.48亿,723.42万,False,1208.98万,False,2.44亿,3443.45万,2.09亿,2.09亿,1.95亿,1440.55万,1.85亿,,2.39,2.38,53.09万,53.09万,2.10亿,1.95亿,1440.55万
2020,,9346.02万,6.89亿,5.90亿,8797.86万,8513.38万,,6.89亿,6.89亿,5.90亿,1.85亿,981.09万,2.44亿,7712.60万,6319.35万,624.50万,593.66万,22.15万,284.40万,107.65万,False,False,-7.78万,667.25万,1.06亿,3.34万,False,322.93万,False,1.03亿,908.15万,9346.02万,9346.02万,8797.86万,548.16万,8513.38万,,1.09,1.08,-219.51万,-219.51万,9126.51万,8578.35万,548.16万
2019,,2951.08万,5.42亿,5.10亿,3589.38万,3316.43万,,5.42亿,5.42亿,5.10亿,1.45亿,953.14万,2.19亿,7275.64万,5396.68万,448.24万,445.66万,15.25万,212.74万,263.39万,False,False,8700.00,507.50万,3768.79万,6.64万,False,193.78万,False,3581.65万,630.57万,2951.08万,2951.08万,3589.38万,-638.30万,3316.43万,,0.45,0.45,False,False,2951.08万,3589.38万,-638.30万
2018,,900.83万,4.31亿,4.23亿,1365.87万,1074.98万,,4.31亿,4.31亿,4.23亿,1.19亿,1038.31万,1.93亿,5359.14万,4096.80万,312.22万,307.17万,13.72万,263.76万,False,False,False,3.09万,374.78万,1152.45万,100.00万,False,135.65万,False,1116.80万,215.97万,900.83万,900.83万,1365.87万,-465.04万,1074.98万,,0.17,0.17,False,False,900.83万,1365.87万,-465.04万
2017,,3843.78万,3.60亿,3.19亿,3943.71万,3575.72万,,3.60亿,3.60亿,3.19亿,9394.17万,921.91万,1.34亿,4252.85万,3428.16万,293.41万,300.85万,13.44万,176.63万,False,False,False,-6.02万,470.06万,4614.57万,6.93万,False,38.04万,False,4583.46万,739.67万,3843.78万,3843.78万,3943.71万,-99.93万,3575.72万,,0.49,0.49,False,False,3843.78万,3943.71万,-99.93万
2016,,5427.93万,3.39亿,2.89亿,5427.93万,4190.96万,,3.39亿,3.39亿,2.89亿,8410.64万,822.69万,1.32亿,5664.99万,False,734.09万,False,False,75.88万,False,False,304.00万,459.12万,False,5808.18万,660.12万,False,20.00万,False,6448.30万,1020.37万,5427.93万,5427.93万,5427.93万,False,4190.96万,,0.90,0.90,False,False,5427.93万,5427.93万,False
2015,,2197.96万,2.87亿,2.66亿,2197.96万,1797.06万,,2.87亿,2.87亿,2.66亿,8509.20万,475.33万,1.10亿,5110.42万,False,1229.96万,False,False,227.92万,False,False,13.75万,False,False,2157.85万,473.57万,77.90万,1.92万,False,2629.50万,431.54万,2197.96万,False,2197.96万,False,1797.06万,,0.37,0.37,False,False,2197.96万,2197.96万,False
2014,,3101.02万,2.55亿,2.37亿,3101.02万,1440.93万,,2.55亿,2.55亿,2.37亿,6255.56万,331.97万,1.09亿,4699.68万,False,1091.82万,False,False,408.93万,False,False,5.00万,False,False,1806.98万,1963.28万,False,10.16万,False,3760.10万,659.08万,3101.02万,False,3101.02万,False,1440.93万,,0.52,0.52,False,False,3101.02万,False,False
2013,,4609.73万,2.19亿,1.67亿,4609.73万,4320.47万,,2.19亿,2.19亿,1.67亿,2993.20万,204.88万,9948.06万,3429.03万,False,62.26万,False,False,30.88万,False,False,False,False,False,5194.84万,344.70万,False,3.75万,False,5535.78万,926.05万,4609.73万,False,4609.73万,False,4320.47万,,0.77,0.77,False,False,4609.73万,False,False
