报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,财务费用,投资损失,递延所得税资产减少,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025,,2359.27万,7.53亿,-2.70亿,-4.58亿,3.86亿,,,24.39亿,32.06万,1786.72万,24.58亿,1.86亿,6.20亿,3.09亿,5.88亿,17.04亿,7.53亿,,False,False,5.00万,False,463.16万,468.16万,2.71亿,False,False,389.08万,2.74亿,-2.70亿,,1922.36万,False,1.81亿,3729.82万,2.38亿,3.11亿,3.51亿,3382.96万,6.96亿,-4.58亿,-166.91万,2359.27万,3.63亿,3.86亿,,,6.96亿,1517.63万,1.01亿,1156.87万,259.31万,-5.25万,49.51万,610.48万,False,436.85万,-4760.19万,-1.75亿,1.30亿,659.85万,7.53亿,,,3.86亿,3.63亿,2359.27万
2024,,-1.18亿,4.17亿,-2.16亿,-3.19亿,3.63亿,,,18.79亿,False,1969.81万,18.99亿,1.47亿,5.58亿,2.15亿,5.62亿,14.82亿,4.17亿,,False,False,32.60万,False,False,32.60万,1.99亿,1000.00万,False,728.41万,2.16亿,-2.16亿,,2216.75万,False,3.10亿,486.74万,3.37亿,1.80亿,4.67亿,924.74万,6.56亿,-3.19亿,-10.93万,-1.18亿,4.80亿,3.63亿,,,3.38亿,341.68万,9291.48万,958.65万,400.06万,97.84万,1405.06万,582.21万,False,184.19万,-2099.04万,-1.44亿,9554.42万,1155.20万,4.17亿,,,3.63亿,4.80亿,-1.18亿
2023,,-2834.17万,3.18亿,-2.62亿,-8416.80万,4.80亿,,,13.98亿,1372.46万,2046.24万,14.32亿,1.29亿,4.60亿,1.23亿,4.02亿,11.14亿,3.18亿,,False,False,2.12万,False,False,2.12万,2.62亿,False,False,False,2.62亿,-2.62亿,,2530.34万,False,7000.00万,2350.38万,1.19亿,False,1.78亿,2448.55万,2.03亿,-8416.80万,20.00万,-2834.17万,5.09亿,4.80亿,,,2.40亿,1202.67万,8489.10万,392.01万,452.84万,3.75万,False,123.79万,False,73.57万,-2204.89万,-1.04亿,7316.64万,2342.05万,3.18亿,,,4.80亿,5.09亿,-2834.17万
2022,,-1.71亿,2.86亿,-2.99亿,-1.58亿,5.09亿,,,12.54亿,1065.29万,2709.41万,12.92亿,1.14亿,3.63亿,1.45亿,3.84亿,10.06亿,2.86亿,,False,False,7.68万,False,False,7.68万,2.99亿,False,False,False,2.99亿,-2.99亿,,2756.41万,False,2000.00万,151.36万,4907.78万,1.20亿,8084.27万,665.95万,2.08亿,-1.58亿,-8.96万,-1.71亿,6.80亿,5.09亿,,,2.12亿,543.21万,7207.52万,229.95万,565.35万,-42.08万,4900.00,102.71万,False,-561.95万,-3434.52万,-3751.34万,2351.09万,4247.47万,2.86亿,,,5.09亿,6.80亿,-1.71亿
2021,,6.43亿,3.07亿,-2.02亿,5.38亿,6.80亿,,,10.33亿,552.99万,2397.21万,10.62亿,1.04亿,2.60亿,1.09亿,2.82亿,7.55亿,3.07亿,,23.72万,False,1902.65万,125.72万,300.00万,2352.08万,9505.51万,1.30亿,False,False,2.26亿,-2.02亿,,5.80亿,False,1.00亿,120.00万,6.81亿,8000.00万,4712.95万,1612.88万,1.43亿,5.38亿,-12.50万,6.43亿,3721.88万,6.80亿,,,2.09亿,377.73万,6603.85万,124.61万,621.26万,-516.32万,1700.00,611.58万,-314.50万,-259.07万,-2780.28万,-3342.97万,7327.44万,1331.31万,3.07亿,,,6.80亿,3721.88万,6.43亿
2020,,-108.83万,1.22亿,-1.08亿,-1507.69万,3721.88万,,,6.50亿,12.99万,1055.33万,6.61亿,7870.23万,1.80亿,7398.90万,2.06亿,5.39亿,1.22亿,,False,False,4500.00,False,False,4530.97,1.08亿,False,False,False,1.08亿,-1.08亿,,False,False,1.20亿,1165.55万,1.32亿,1.30亿,1619.62万,53.62万,1.47亿,-1507.69万,-2.25万,-108.83万,3830.71万,3721.88万,,,9346.02万,392.06万,4428.90万,121.77万,335.08万,7.78万,False,595.91万,False,-46.95万,871.37万,-6127.21万,1872.26万,418.83万,1.22亿,,,3721.88万,3830.71万,-108.83万
2019,,993.59万,7408.12万,-6994.43万,578.79万,3830.71万,,,5.03亿,21.73万,3216.55万,5.35亿,5579.61万,1.46亿,6542.17万,1.94亿,4.61亿,7408.12万,,False,False,3.14万,False,False,3.14万,6997.57万,False,False,False,6997.57万,-6994.43万,,190.00万,190.00万,1.43亿,False,1.45亿,1.03亿,2445.66万,1165.55万,1.39亿,578.79万,1.11万,993.59万,2837.12万,3830.71万,,,2951.08万,476.13万,3969.49万,86.24万,310.07万,-8700.00,False,444.55万,False,-755.03万,-2567.98万,-4704.79万,6307.73万,891.51万,7408.12万,,,3830.71万,2837.12万,993.59万
2018,,608.49万,4400.88万,-4508.77万,723.00万,2837.12万,,,4.40亿,1.44万,371.77万,4.44亿,4889.93万,1.07亿,7069.59万,1.74亿,4.00亿,4400.88万,,False,False,19.91万,False,False,19.91万,4528.68万,False,False,False,4528.68万,-4508.77万,,3086.90万,1070.00万,8000.00万,False,1.11亿,8000.00万,2287.78万,76.12万,1.04亿,723.00万,-6.62万,608.49万,2228.62万,2837.12万,,,900.83万,263.76万,3505.25万,79.15万,224.04万,-3.09万,95.83万,294.40万,False,-21.55万,-362.53万,-1933.86万,1210.06万,148.58万,4400.88万,,,2837.12万,2228.62万,608.49万
2017,,-6832.56万,3269.72万,-3138.02万,-6967.83万,2228.62万,,,3.55亿,False,396.34万,3.59亿,4646.69万,7542.14万,6740.89万,1.37亿,3.27亿,3269.72万,,False,False,10.47万,False,False,10.47万,2928.97万,219.51万,False,False,3148.48万,-3138.02万,,400.00万,400.00万,5000.00万,False,5400.00万,1.08亿,1300.85万,266.98万,1.24亿,-6967.83万,3.57万,-6832.56万,9061.19万,2228.62万,,,3843.78万,176.63万,3651.70万,72.89万,20.63万,6.02万,False,297.28万,False,3.20万,-805.92万,-2664.23万,-1332.26万,False,3269.72万,,,2228.62万,9061.19万,-6832.56万
2016,,7978.04万,2812.25万,814.43万,4349.34万,9061.19万,,,3.16亿,False,476.69万,3.21亿,4553.58万,5501.27万,6827.83万,1.24亿,2.93亿,2812.25万,,340.00万,14.00万,783.38万,False,39.10万,1176.48万,362.05万,False,False,False,362.05万,814.43万,,8220.00万,False,1.10亿,False,1.92亿,1.20亿,655.69万,2214.97万,1.49亿,4349.34万,2.02万,7978.04万,1083.15万,9061.19万,,,5427.93万,75.88万,3728.07万,75.23万,False,-459.12万,False,698.82万,-304.00万,-260.08万,-1034.18万,-6038.71万,902.41万,False,2812.25万,,,9061.19万,1083.15万,7978.04万
2015,,-1006.42万,2143.28万,1709.66万,-4829.47万,1083.15万,,,2.68亿,False,347.56万,2.72亿,4455.16万,4742.89万,5282.16万,1.06亿,2.50亿,2143.28万,,False,13.75万,1374.70万,False,1130.00万,2518.45万,468.70万,340.09万,False,False,808.79万,1709.66万,,False,False,1.30亿,False,1.30亿,1.67亿,1059.47万,70.00万,1.78亿,-4829.47万,-29.89万,-1006.42万,2089.57万,1083.15万,,,2197.96万,227.92万,3684.51万,76.68万,False,-77.90万,False,1179.07万,-13.75万,-182.61万,-99.18万,-5143.27万,293.85万,False,2143.28万,,,1083.15万,2089.57万,-1006.42万
2014,,-470.92万,1299.82万,-6282.92万,4518.24万,2089.57万,,,2.42亿,False,389.07万,2.46亿,5103.53万,4606.29万,3770.36万,9785.91万,2.33亿,1299.82万,,False,5.00万,1569.96万,False,496.00万,2070.96万,8179.21万,False,174.67万,False,8353.88万,-6282.92万,,False,False,2.50亿,2641.64万,2.76亿,2.21亿,1053.40万,False,2.31亿,4518.24万,-6.06万,-470.92万,2560.49万,2089.57万,,,3101.02万,408.93万,3211.21万,75.18万,False,-1519.89万,False,1018.53万,-5.00万,-21.70万,-1872.18万,-4812.64万,1716.35万,False,1299.82万,,,2089.57万,2560.49万,-470.92万
2013,,-6358.86万,839.85万,-1.20亿,4815.78万,2560.49万,,,2.03亿,False,205.54万,2.05亿,3452.09万,4143.39万,2906.07万,9191.30万,1.97亿,839.85万,,False,False,300.00,False,1277.24万,1277.27万,1.33亿,False,False,False,1.33亿,-1.20亿,,False,False,6570.00万,300.00万,6870.00万,False,367.06万,1687.16万,2054.22万,4815.78万,6.26万,-6358.86万,8919.35万,2560.49万,,,4609.73万,30.88万,1017.60万,69.87万,False,400.00,False,59.01万,False,125.85万,-1045.05万,-5212.27万,1184.19万,False,839.85万,,,2560.49万,8919.35万,-6358.86万
2012,,-736.16万,4196.19万,-9825.17万,4872.60万,8919.35万,,,2.33亿,False,554.07万,2.39亿,2614.25万,3418.76万,4707.51万,8946.28万,1.97亿,4196.19万,,False,15.00万,3.14万,False,482.00万,500.14万,1.03亿,False,False,False,1.03亿,-9825.17万,,False,False,6000.00万,False,6000.00万,False,False,1127.40万,1127.40万,4872.60万,20.23万,-736.16万,9655.51万,8919.35万,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2011,,5102.21万,2453.92万,-3984.71万,6721.11万,9655.51万,,,2.03亿,False,2214.42万,2.25亿,2369.04万,2864.60万,3734.20万,1.11亿,2.01亿,2453.92万,,274.02万,2.95万,11.61万,False,100.00万,388.58万,4205.60万,67.45万,False,100.24万,4373.29万,-3984.71万,,1.06亿,False,False,False,1.06亿,1514.70万,2353.27万,False,3867.97万,6721.11万,-88.11万,5102.21万,4553.30万,9655.51万,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
