公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-05-14,0,4.5,10.0,实施,2026-05-22,2026-05-21,
2025-09-16,0,0.0,7.0,实施,2025-09-24,2025-09-23,
2025-05-14,0,4.0,10.0,实施,2025-05-22,2025-05-21,
2024-10-08,0,0.0,5.0,实施,2024-10-16,2024-10-15,
2024-05-14,0,4.0,30.0,实施,2024-05-22,2024-05-21,
2023-09-15,0,4.0,10.0,实施,2023-09-22,2023-09-21,
2023-05-12,0,0.0,10.0,实施,2023-05-22,2023-05-19,
2022-09-15,0,0.0,5.0,实施,2022-09-23,2022-09-22,
2022-05-13,0,0.0,4.0,实施,2022-05-20,2022-05-19,
2021-09-23,0,0.0,2.5,实施,2021-09-29,2021-09-28,
2021-05-14,0,0.0,2.5,实施,2021-05-21,2021-05-20,
2020-05-14,0,0.0,1.25,实施,2020-05-21,2020-05-20,
2019-05-31,0,0.0,2.5,实施,2019-06-11,2019-06-10,
2018-05-24,0,0.0,2.5,实施,2018-06-01,2018-05-31,
2017-06-13,0,0.0,1.25,实施,2017-06-21,2017-06-20,
