SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,RECEIVE_INVEST_INCOME,RII_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO,CCE_ADD,CCE_ADD_RATIO,CUSTOMER_DEPOSIT_ADD,CDA_RATIO,DEPOSIT_IOFI_OTHER,DIO_RATIO,LOAN_ADVANCE_ADD,LAA_RATIO,RECEIVE_INTEREST_COMMISSION,RIC_RATIO,INVEST_PAY_CASH,IPC_RATIO,BEGIN_CCE,BEGIN_CCE_RATIO,END_CCE,END_CCE_RATIO,RECEIVE_ORIGIC_PREMIUM,ROP_RATIO,PAY_ORIGIC_COMPENSATE,POC_RATIO
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2026-04-29 00:00:00,2026-03-31 00:00:00,1381035479,1236.2843473333,9272606483.0,8300.7123482557,3495816072.0,3129.4074313712,-629277897.0,-563.3210920456,1850739.0,1.6567566087,600828845.0,537.8538841288,-399938519.0,-358.0195718747,111708563.0,-89.3317855632,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-03-31 00:00:00,2025-12-31 00:00:00,10144968535,373.3640864723,36889267207.0,1357.6313720299,8809386828.0,324.2108296413,-509395375.0,-18.7472182081,7734020.0,0.2846342305,2037744137.0,74.9948583429,-6723683207.0,-247.4509240368,2717178460.0,172.2520588544,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2025-10-30 00:00:00,2025-09-30 00:00:00,7272860295,336.4369404604,27569990776.0,1275.3666327916,7022216396.0,324.8423458849,-125901472.0,-5.8241055542,4744837.0,0.2194925213,1526930407.0,70.6346297866,-4929402144.0,-228.030363345,2161730601.0,170.0620077522,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2025-08-28 00:00:00,2025-06-30 00:00:00,3922092201,198.0785662608,17718258486.0,894.8303756474,5187333130.0,261.9773978912,631375096.0,31.8865206067,2998783.0,0.1514484124,1016735002.0,51.3484643252,-2609170268.0,-131.7716869797,1980068957.0,1918.0974608469,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2026-04-29 00:00:00,2025-03-31 00:00:00,1494408057,142.7165937872,8732237374.0,833.932317429,3400100568.0,324.7110247606,-433339920.0,-41.3841434036,1566278.0,0.1495802034,497382577.0,47.5002439033,-30251198.0,-2.8890020475,1047115838.0,-56.6776757615,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-03-31 00:00:00,2024-12-31 00:00:00,12432041281,330.5784259437,40142581629.0,1067.4249826143,8118905890.0,215.8885310012,-7383210799.0,-196.32578023,5360901.0,0.1425508631,1959448254.0,52.1033758563,-8881713399.0,-236.1722237531,-3760693471.0,-1132.1071189702,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2025-10-30 00:00:00,2024-09-30 00:00:00,11072880996,358.8737069376,31577572788.0,1023.4337934829,6428507799.0,208.348886323,-7209924012.0,-233.6747010881,2799041.0,0.0907173318,1417824137.0,45.951889487,-6858781704.0,-222.2941270731,-3085453401.0,-26.5927282687,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2025-08-28 00:00:00,2024-06-30 00:00:00,8495794956,8658.9621881432,21802433530.0,22221.1633547545,4646525262.0,4735.764782258,-6630203017.0,-6757.5403504025,1138654.0,1.1605225859,910971335.0,928.4671281616,-1789553168.0,-1823.9226930071,98115626.0,103.2849082315,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2025-04-29 00:00:00,2024-03-31 00:00:00,2864694162,118.5209934054,9929908497.0,410.8301106279,3060807360.0,126.6347848723,-400882530.0,-16.5857131713,,,402111624.0,16.6365644782,-40270646.0,-1.6661174628,2417035227.0,231.1602332333,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2025-04-29 00:00:00,2023-12-31 00:00:00,11062025295,3624.2252183806,35248869704.0,11548.5039216455,7016482018.0,2298.7934302992,-692931575.0,-227.0235351805,328800.0,0.1077239674,2688667990.0,880.8819428044,-10775685768.0,-3530.4124754969,-305224555.0,-107.9466619026,,,,,,,,,,,,,,,,,,
