date,year,quarter,PARENT_NETPROFIT_q,DEDUCT_PARENT_NETPROFIT_q,TOTAL_OPERATE_INCOME_q,non_gaap_ttm_yi,net_profit_ttm_yi
2018-03-31,2018,1,8.07191051,7.77646404,32.36282868,,
2018-06-30,2018,2,10.644992619999998,10.641419899999999,35.72105369,,
2018-09-30,2018,3,10.24948414,10.03667059,34.714216480000005,,
2018-12-31,2018,4,8.22597442,8.4521889,34.73547583999999,36.90674343,37.19236169
2019-03-31,2019,1,10.05701549,9.98068688,39.05926079,39.11096627,39.177466669999994
2019-06-30,2019,2,13.6338901,13.304420270000001,42.996461000000004,41.77396664,42.16636415
2019-09-30,2019,3,13.020912539999998,12.947763909999999,41.73887140999999,44.685059960000004,44.93779255
2019-12-31,2019,4,10.094649369999999,9.916946539999998,41.76531994,46.149817600000006,46.8064675
2020-03-31,2020,1,13.13277159,12.52861016,47.41266531,48.69774088,49.8822236
2020-06-30,2020,2,21.403509670000002,21.13265645,58.231005020000005,56.52597706,57.65184317
2020-09-30,2020,3,19.095277709999998,18.98693781,54.992916059999985,62.56515096,63.72620834
2020-12-31,2020,4,12.945201650000001,12.748359879999995,49.62187750000001,65.3965643,66.57676062
2021-03-31,2021,1,17.15036341,16.95726614,57.81049735,69.82522028,70.59435244
2021-06-30,2021,2,26.293933040000002,26.136599409999995,69.97297898,74.82916323999999,75.48477581
2021-09-30,2021,3,23.18453562,22.34808098,66.13164642,78.19030640999999,79.57403372
2021-12-31,2021,4,13.38670399,13.062225810000001,58.780685430000005,78.50417234,80.01553606
2022-03-31,2022,1,21.05071901,20.72184897,69.43108994,82.26875516999999,83.91589166
2022-06-30,2022,2,31.82580387,31.74908759,84.12467084999999,87.88124335,89.44776249
2022-09-30,2022,3,28.14681783999999,27.565857649999998,79.4025459,93.09902002,94.41004471
2022-12-31,2022,4,15.048400220000005,15.214381070000002,70.69813142000001,95.25117528,96.07174094000001
2023-03-31,2023,1,25.71117273,25.29128371,83.64281841,99.82061002,100.73219466
2023-06-30,2023,2,38.708735759999996,38.11570281,101.11491654999999,106.18722524,107.61512654999999
2023-09-30,2023,3,33.92313091,33.4523457,88.28024468000001,112.07371329,113.39143962
2023-12-31,2023,4,17.47922145000001,17.478017350000002,76.28102919999998,114.33734957,115.82226084999999
2024-03-31,2024,1,31.59898674,30.37009378,93.72811209,119.41615964,121.71007486000002
2024-06-30,2024,2,44.00839069999999,43.42922254999999,111.5778559,124.72967938,127.0097298
2024-09-30,2024,3,30.76337561000001,30.570128370000006,89.54208693999999,121.84746205,123.84997450000003
2024-12-31,2024,4,10.314118589999993,10.050916130000005,72.40944055,114.42036083,116.68487164000001
2025-03-31,2025,1,26.28580553,25.30581109,82.37179005,109.35607814,111.37169042999999
2025-06-30,2025,2,24.40186545,24.187419939999998,85.05824849,90.11427553000001,91.76516518
2025-09-30,2025,3,25.012774200000003,25.13358438000001,90.90902689,84.67773154000001,86.01456377
2025-12-31,2025,4,5.657308909999998,6.058692669999999,74.48252860999997,80.68550808,81.35775409
2026-03-31,2026,1,23.29658005,22.9647004,83.52015912,78.34439739000001,78.36852861
2026-06-30,2026,2,24.67341995,24.88529960,93.94984088,79.04227705,78.64008311
