类别,资料,日期或期间,来源,本地文件或用途
公司公告,伊利股份2020年年度报告,2020,巨潮资讯,../年报/2020_伊利股份_年度报告.pdf
公司公告,伊利股份2021年年度报告,2021,巨潮资讯,../年报/2021_伊利股份_年度报告.pdf
公司公告,伊利股份2022年年度报告,2022,巨潮资讯,../年报/2022_伊利股份_年度报告.pdf
公司公告,伊利股份2023年年度报告,2023,巨潮资讯,../年报/2023_伊利股份_年度报告.pdf
公司公告,伊利股份2024年年度报告,2024,巨潮资讯,../年报/2024_伊利股份_年度报告.pdf
公司公告,伊利股份2025年年度报告,2025,巨潮资讯,../年报/2025_伊利股份_年度报告.pdf
公司公告,伊利股份2026年第一季度报告,2026Q1,巨潮资讯,../年报/2026Q1_伊利股份_第一季度报告.pdf
财务数据,同花顺年度主要指标,2015-2025,同花顺导出,../600887_main_year.xls
季度数据,同花顺单季度主要指标,2008Q2-2026Q1,同花顺导出,../600887_main_simple.xls
估值与行情,伊利及光明估值历史和最新行情,截至2026-07-16,东方财富API,valuation_history.csv; market_snapshot.json; peer_snapshot.csv
港股同行行情,蒙牛/飞鹤/优然最新行情,2026-07-16,腾讯行情 https://qt.gtimg.cn/,peer_snapshot.csv
历史股价,伊利前复权与不复权收盘价,截至2026-07-16,Yahoo Finance 600887.SS,600887_季度数据.csv
行业与产品,行业供需/份额/产品结构/渠道/治理/分红,2025,伊利股份2025年报,报告正文对应章节
公司公告,潘刚减持股份实施结果,2026-03-18,巨潮资讯 https://static.cninfo.com.cn/finalpage/2026-03-18/1225013713.PDF,治理与管理层持股
公司公告,认购优然牧业新股完成公告,2026-06-30,巨潮资讯 https://static.cninfo.com.cn/finalpage/2026-06-30/1225397626.PDF,资本配置与上游协同
公司公告,呼和浩特投资股份质押公告,2026-07-15,巨潮资讯 https://static.cninfo.com.cn/finalpage/2026-07-15/1225422777.PDF,第一大股东质押
