报告期,同花顺行业大类,前十大中占比(%),占基金净值比例(%),前十大持仓合计(%)
20190331,基建,61.91,17.00,27.46
20190331,制造,20.39,5.60,27.46
20190331,消费,17.70,4.86,27.46
20190630,基建,59.78,16.38,27.40
20190630,制造,31.61,8.66,27.40
20190630,消费,8.61,2.36,27.40
20190930,基建,50.84,13.94,27.42
20190930,制造,31.00,8.50,27.42
20190930,消费,9.34,2.56,27.42
20190930,金融,8.82,2.42,27.42
20191231,基建,60.06,16.21,26.99
20191231,周期,31.23,8.43,26.99
20191231,制造,8.71,2.35,26.99
20200331,基建,59.05,16.51,27.96
20200331,周期,31.47,8.80,27.96
20200331,制造,9.48,2.65,27.96
20200630,基建,53.30,15.17,28.46
20200630,周期,28.60,8.14,28.46
20200630,制造,9.87,2.81,28.46
20200630,金融,8.23,2.34,28.46
20200930,基建,55.09,16.99,30.84
20200930,周期,19.20,5.92,30.84
20200930,制造,18.26,5.63,30.84
20200930,金融,7.45,2.30,30.84
20201231,周期,53.88,14.31,26.56
20201231,基建,38.18,10.14,26.56
20201231,金融,7.94,2.11,26.56
20210331,周期,47.32,13.78,29.12
20210331,基建,36.37,10.59,29.12
20210331,金融,16.31,4.75,29.12
20210630,周期,47.46,16.47,34.70
20210630,基建,29.16,10.12,34.70
20210630,金融,13.32,4.62,34.70
20210630,消费,10.06,3.49,34.70
20210930,周期,67.29,25.78,38.31
20210930,基建,25.16,9.64,38.31
20210930,消费,7.55,2.89,38.31
20211231,基建,47.24,12.68,26.84
20211231,周期,26.97,7.24,26.84
20211231,消费,17.11,4.59,26.84
20211231,金融,8.68,2.33,26.84
20220331,基建,44.24,13.43,30.36
20220331,周期,33.40,10.14,30.36
20220331,金融,15.25,4.63,30.36
20220331,消费,7.11,2.16,30.36
20220630,基建,37.03,11.68,31.54
20220630,周期,34.69,10.94,31.54
20220630,金融,21.24,6.70,31.54
20220630,消费,7.04,2.22,31.54
20220930,周期,37.59,13.15,34.98
20220930,基建,34.85,12.19,34.98
20220930,科技,12.72,4.45,34.98
20220930,消费,8.18,2.86,34.98
20220930,金融,6.66,2.33,34.98
20221231,周期,42.87,11.12,25.94
20221231,制造,19.39,5.03,25.94
20221231,消费,18.89,4.90,25.94
20221231,金融,9.75,2.53,25.94
20221231,基建,9.10,2.36,25.94
20230331,周期,42.86,11.44,26.69
20230331,制造,19.78,5.28,26.69
20230331,科技,18.70,4.99,26.69
20230331,消费,9.37,2.50,26.69
20230331,金融,9.29,2.48,26.69
20230630,周期,37.40,11.29,30.19
20230630,科技,27.63,8.34,30.19
20230630,金融,26.13,7.89,30.19
20230630,制造,8.84,2.67,30.19
20230930,周期,37.99,11.17,29.40
20230930,金融,26.33,7.74,29.40
20230930,科技,17.79,5.23,29.40
20230930,基建,8.98,2.64,29.40
20230930,制造,8.91,2.62,29.40
20231231,周期,62.77,16.37,26.08
20231231,金融,18.17,4.74,26.08
20231231,消费,10.08,2.63,26.08
20231231,基建,8.98,2.34,26.08
20240331,周期,54.24,14.79,27.27
20240331,金融,27.17,7.41,27.27
20240331,基建,9.53,2.60,27.27
20240331,消费,9.06,2.47,27.27
20240630,周期,42.13,11.77,27.94
20240630,基建,30.10,8.41,27.94
20240630,金融,27.77,7.76,27.94
20240930,金融,47.29,12.72,26.90
20240930,周期,33.01,8.88,26.90
20240930,基建,19.70,5.30,26.90
20241231,周期,30.48,7.50,24.61
20241231,金融,30.07,7.40,24.61
20241231,基建,28.24,6.95,24.61
20241231,消费,11.21,2.76,24.61
20250331,金融,41.15,10.30,25.03
20250331,基建,29.24,7.32,25.03
20250331,消费,10.15,2.54,25.03
20250331,周期,9.91,2.48,25.03
20250331,制造,9.55,2.39,25.03
20250630,金融,79.00,21.70,27.47
20250630,基建,21.00,5.77,27.47
20250930,金融,58.02,15.84,27.30
20250930,基建,18.97,5.18,27.30
20250930,消费,12.64,3.45,27.30
20250930,周期,10.37,2.83,27.30
20251231,金融,62.06,15.59,25.12
20251231,制造,18.59,4.67,25.12
20251231,消费,10.27,2.58,25.12
20251231,医疗,9.08,2.28,25.12
20260331,金融,61.10,15.25,24.96
20260331,周期,19.75,4.93,24.96
20260331,医疗,9.94,2.48,24.96
20260331,制造,9.21,2.30,24.96
20260630,金融,71.41,17.86,25.01
20260630,制造,19.03,4.76,25.01
20260630,基建,9.56,2.39,25.01
