证券代码,证券名称,同花顺行业大类,2026Q2基金净值权重(%),2025归母净利同比(%),2021-2025归母净利CAGR(%),2025加权ROE(%),2025基本EPS(元),2025每股税前分红(元),2025分红支付率(%),接口可见分红年份数
600177,雅戈尔,消费,2.71,-11.57,-16.88,5.75,0.53,0.440,83.0,28
000937,冀中能源,周期,2.55,-49.30,-31.23,3.07,0.17,0.100,57.7,26
601006,大秦铁路,基建,2.39,-34.73,-16.58,3.64,0.30,0.222,73.9,20
000538,云南白药,医疗,2.12,8.51,16.42,13.02,2.89,1.583,54.8,32
000651,格力电器,制造,1.82,-9.89,5.90,20.30,5.20,3.000,57.7,27
000895,双汇发展,消费,1.73,2.32,1.20,24.10,1.47,1.450,98.4,26
601668,中国建筑,基建,1.69,-15.42,-6.70,8.15,0.94,0.272,28.9,17
002032,苏泊尔,制造,1.68,-6.58,1.91,35.08,2.63,2.630,99.8,21
601928,凤凰传媒,科技,1.63,12.37,-7.54,9.12,0.71,0.500,70.4,15
600941,中国移动,科技,1.56,-0.92,4.28,9.90,6.35,4.704,74.1,5
