上期报告期,本期报告期,连续进入前十大数量,新进入前十大,退出前十大,本期前十大持仓合计(%)
20200930,20201231,7,002110_三钢闽光；600188_兖矿能源；601003_柳钢股份,600398_海澜之家；600971_恒源煤电；601088_中国神华,21.67
20201231,20210331,8,000036_华联控股；600808_马钢股份,600019_宝钢股份；600188_兖矿能源,22.22
20210331,20210630,7,600377_宁沪高速；601169_北京银行；603328_依顿电子,600023_浙能电力；600808_马钢股份；601003_柳钢股份,22.91
20210630,20210930,4,001979_招商蛇口；002233_塔牌集团；600023_浙能电力；600153_建发股份；600170_上海建工；600479_千金药业,000036_华联控股；002110_三钢闽光；600377_宁沪高速；601169_北京银行；601288_农业银行；603328_依顿电子,21.73
20210930,20211231,5,002146_荣盛发展；600016_民生银行；600377_宁沪高速；600566_济川药业；601098_中南传媒,001979_招商蛇口；002233_塔牌集团；600023_浙能电力；600028_中国石化；600170_上海建工,19.45
20211231,20220331,5,600028_中国石化；600056_中国医药；600177_雅戈尔；600606_绿地控股；600901_江苏金租,600016_民生银行；600153_建发股份；600479_千金药业；600566_济川药业；601328_交通银行,20.87
20220331,20220630,6,000651_格力电器；600016_民生银行；600066_宇通客车；601288_农业银行,002146_荣盛发展；600056_中国医药；600606_绿地控股；601098_中南传媒,19.93
20220630,20220930,5,002563_森马服饰；600398_海澜之家；600729_重百集团；601000_唐山港；601098_中南传媒,600016_民生银行；600066_宇通客车；600377_宁沪高速；601288_农业银行；601988_中国银行,21.27
20220930,20221231,6,000581_威孚高科；002110_三钢闽光；002233_塔牌集团；603156_养元饮品,600729_重百集团；600901_江苏金租；601000_唐山港；601098_中南传媒,20.00
20221231,20230331,9,600350_山东高速,600398_海澜之家,19.64
20230331,20230630,6,000789_万年青；000895_双汇发展；600282_南钢股份；600782_新钢股份,000581_威孚高科；600028_中国石化；600350_山东高速；603156_养元饮品,20.52
20230630,20230930,5,002030_达安基因；600064_南京高科；600327_大东方；600997_开滦股份；601088_中国神华,000651_格力电器；000789_万年青；002110_三钢闽光；002233_塔牌集团；002563_森马服饰,19.54
20230930,20231231,7,000825_太钢不锈；600273_嘉化能源；600295_鄂尔多斯,002030_达安基因；600327_大东方；600782_新钢股份,18.52
20231231,20240331,8,600585_海螺水泥；600782_新钢股份,600997_开滦股份；601088_中国神华,17.59
20240331,20240630,8,002233_塔牌集团；600755_厦门国贸,600282_南钢股份；600295_鄂尔多斯,18.76
20240630,20240930,6,000937_冀中能源；600039_四川路桥；600153_建发股份；603156_养元饮品,000825_太钢不锈；002233_塔牌集团；600585_海螺水泥；600782_新钢股份,19.81
20240930,20241231,7,000830_鲁西化工；600282_南钢股份；601568_北元化工,600039_四川路桥；600064_南京高科；600153_建发股份,19.89
20241231,20250331,8,600028_中国石化；601225_陕西煤业,000830_鲁西化工；600282_南钢股份,19.13
20250331,20250630,8,000983_山西焦煤；601088_中国神华,601225_陕西煤业；603156_养元饮品,19.93
20250630,20250930,7,002032_苏泊尔；600750_华润江中；603156_养元饮品,000983_山西焦煤；600273_嘉化能源；601568_北元化工,18.16
20250930,20251231,8,000651_格力电器；002737_葵花药业,601088_中国神华；603156_养元饮品,17.70
20251231,20260331,6,600132_重庆啤酒；600256_广汇能源；600502_安徽建工；601919_中远海控,002737_葵花药业；600028_中国石化；600750_华润江中；600755_厦门国贸,20.44
20260331,20260630,6,000538_云南白药；600941_中国移动；601668_中国建筑；601928_凤凰传媒,600132_重庆啤酒；600256_广汇能源；600502_安徽建工；601919_中远海控,19.88
