报告期,排名,证券代码,证券名称,同花顺行业大类,占基金净值比例(%),前十大持仓合计(%)
20200331,1,600019,宝钢股份,周期,4.62,31.91
20200331,2,600688,上海石化,周期,4.06,31.91
20200331,3,600028,中国石化,周期,3.99,31.91
20200331,4,601006,大秦铁路,基建,3.03,31.91
20200331,5,600104,上汽集团,制造,2.92,31.91
20200331,6,600177,雅戈尔,消费,2.79,31.91
20200331,7,000898,鞍钢股份,周期,2.74,31.91
20200331,8,601088,中国神华,周期,2.71,31.91
20200331,9,600398,海澜之家,消费,2.60,31.91
20200331,10,600023,浙能电力,基建,2.45,31.91
20200630,1,600019,宝钢股份,周期,4.47,30.60
20200630,2,600688,上海石化,周期,3.74,30.60
20200630,3,600028,中国石化,周期,3.64,30.60
20200630,4,601006,大秦铁路,基建,3.24,30.60
20200630,5,600177,雅戈尔,消费,2.70,30.60
20200630,6,600606,绿地控股,基建,2.64,30.60
20200630,7,600023,浙能电力,基建,2.62,30.60
20200630,8,000898,鞍钢股份,周期,2.58,30.60
20200630,9,600104,上汽集团,制造,2.49,30.60
20200630,10,601088,中国神华,周期,2.48,30.60
20200930,1,601088,中国神华,周期,5.25,34.32
20200930,2,600028,中国石化,周期,4.67,34.32
20200930,3,601006,大秦铁路,基建,3.87,34.32
20200930,4,600019,宝钢股份,周期,3.46,34.32
20200930,5,600023,浙能电力,基建,3.27,34.32
20200930,6,600606,绿地控股,基建,3.14,34.32
20200930,7,601225,陕西煤业,周期,2.92,34.32
20200930,8,600025,华能水电,基建,2.75,34.32
20200930,9,600398,海澜之家,消费,2.60,34.32
20200930,10,600170,上海建工,基建,2.39,34.32
20201231,1,601088,中国神华,周期,5.50,35.57
20201231,2,600028,中国石化,周期,4.62,35.57
20201231,3,600019,宝钢股份,周期,3.96,35.57
20201231,4,601006,大秦铁路,基建,3.76,35.57
20201231,5,600660,福耀玻璃,制造,3.33,35.57
20201231,6,600023,浙能电力,基建,3.14,35.57
20201231,7,601225,陕西煤业,周期,3.11,35.57
20201231,8,600025,华能水电,基建,2.83,35.57
20201231,9,600606,绿地控股,基建,2.75,35.57
20201231,10,600398,海澜之家,消费,2.57,35.57
20210331,1,601006,大秦铁路,基建,4.37,32.99
20210331,2,601088,中国神华,周期,4.07,32.99
20210331,3,002146,荣盛发展,基建,3.97,32.99
20210331,4,600028,中国石化,周期,3.58,32.99
20210331,5,600023,浙能电力,基建,3.14,32.99
20210331,6,001979,招商蛇口,基建,3.05,32.99
20210331,7,600019,宝钢股份,周期,2.79,32.99
20210331,8,600377,宁沪高速,基建,2.75,32.99
20210331,9,600025,华能水电,基建,2.65,32.99
20210331,10,600236,桂冠电力,基建,2.62,32.99
20210630,1,601006,大秦铁路,基建,4.20,32.39
20210630,2,601088,中国神华,周期,4.04,32.39
20210630,3,600028,中国石化,周期,3.69,32.39
20210630,4,002146,荣盛发展,基建,3.55,32.39
20210630,5,600236,桂冠电力,基建,2.99,32.39
20210630,6,600023,浙能电力,基建,2.97,32.39
20210630,7,001979,招商蛇口,基建,2.78,32.39
20210630,8,600377,宁沪高速,基建,2.76,32.39
20210630,9,600025,华能水电,基建,2.71,32.39
20210630,10,600019,宝钢股份,周期,2.70,32.39
20210930,1,601088,中国神华,周期,5.32,33.96
20210930,2,600027,华电国际,基建,4.44,33.96
20210930,3,600023,浙能电力,基建,3.43,33.96
20210930,4,600177,雅戈尔,消费,3.40,33.96
20210930,5,600048,保利发展,基建,3.38,33.96
20210930,6,601006,大秦铁路,基建,3.37,33.96
20210930,7,001979,招商蛇口,基建,3.06,33.96
20210930,8,000651,格力电器,制造,2.68,33.96
20210930,9,002146,荣盛发展,基建,2.45,33.96
20210930,10,600585,海螺水泥,基建,2.43,33.96
20211231,1,601088,中国神华,周期,5.70,37.65
20211231,2,600027,华电国际,基建,5.42,37.65
20211231,3,600048,保利发展,基建,4.06,37.65
20211231,4,600177,雅戈尔,消费,3.96,37.65
20211231,5,601006,大秦铁路,基建,3.73,37.65
20211231,6,600023,浙能电力,基建,3.64,37.65
20211231,7,001979,招商蛇口,基建,3.39,37.65
20211231,8,000651,格力电器,制造,2.75,37.65
20211231,9,600585,海螺水泥,基建,2.59,37.65
20211231,10,601668,中国建筑,基建,2.41,37.65
20220331,1,601006,大秦铁路,基建,4.34,33.54
20220331,2,600177,雅戈尔,消费,3.93,33.54
20220331,3,600028,中国石化,周期,3.78,33.54
20220331,4,000651,格力电器,制造,3.63,33.54
20220331,5,600606,绿地控股,基建,3.61,33.54
20220331,6,000002,万科A,基建,3.04,33.54
20220331,7,001979,招商蛇口,基建,2.92,33.54
20220331,8,600377,宁沪高速,基建,2.83,33.54
20220331,9,600023,浙能电力,基建,2.75,33.54
20220331,10,600663,陆家嘴,基建,2.71,33.54
20220630,1,601006,大秦铁路,基建,4.30,33.14
20220630,2,600177,雅戈尔,消费,3.97,33.14
20220630,3,000651,格力电器,制造,3.91,33.14
20220630,4,600028,中国石化,周期,3.69,33.14
20220630,5,000002,万科A,基建,3.36,33.14
20220630,6,600377,宁沪高速,基建,2.98,33.14
20220630,7,600023,浙能电力,基建,2.91,33.14
20220630,8,600606,绿地控股,基建,2.74,33.14
20220630,9,001979,招商蛇口,基建,2.68,33.14
20220630,10,000800,一汽解放,制造,2.60,33.14
20220930,1,600028,中国石化,周期,5.47,35.35
20220930,2,000651,格力电器,制造,4.98,35.35
20220930,3,601006,大秦铁路,基建,4.54,35.35
20220930,4,600177,雅戈尔,消费,4.04,35.35
20220930,5,600585,海螺水泥,基建,3.14,35.35
20220930,6,600663,陆家嘴,基建,2.79,35.35
20220930,7,601298,青岛港,基建,2.67,35.35
20220930,8,600377,宁沪高速,基建,2.65,35.35
20220930,9,601668,中国建筑,基建,2.54,35.35
20220930,10,001965,招商公路,基建,2.53,35.35
20221231,1,600028,中国石化,周期,5.39,34.81
20221231,2,000651,格力电器,制造,4.79,34.81
20221231,3,601006,大秦铁路,基建,4.33,34.81
20221231,4,600177,雅戈尔,消费,3.91,34.81
20221231,5,600377,宁沪高速,基建,2.93,34.81
20221231,6,600585,海螺水泥,基建,2.89,34.81
20221231,7,600663,陆家嘴,基建,2.73,34.81
20221231,8,601298,青岛港,基建,2.65,34.81
20221231,9,688009,中国通号,制造,2.60,34.81
20221231,10,601668,中国建筑,基建,2.59,34.81
20230331,1,600028,中国石化,周期,5.48,36.23
20230331,2,601728,中国电信,科技,4.04,36.23
20230331,3,601138,工业富联,科技,4.00,36.23
20230331,4,603156,养元饮品,消费,3.99,36.23
20230331,5,000651,格力电器,制造,3.95,36.23
20230331,6,600177,雅戈尔,消费,3.22,36.23
20230331,7,601006,大秦铁路,基建,3.15,36.23
20230331,8,601857,中国石油,周期,2.84,36.23
20230331,9,000725,京东方A,科技,2.78,36.23
20230331,10,000039,中集集团,制造,2.78,36.23
