date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-10-30,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-11-01,1.0002,1.0002,1.000200,0.000000,1.0000,
2019-11-08,1.0002,1.0002,1.000200,0.000000,1.0000,
2019-11-13,0.9829,0.9829,0.982900,0.000000,1.0000,
2019-11-14,0.9765,0.9765,0.976500,0.000000,1.0000,
2019-11-15,0.9737,0.9737,0.973700,0.000000,1.0000,
2019-11-18,0.9861,0.9861,0.986100,0.000000,1.0000,
2019-11-19,1.0003,1.0003,1.000300,0.000000,1.0000,
2019-11-20,0.9975,0.9975,0.997500,0.000000,1.0000,
2019-11-21,0.9885,0.9885,0.988500,0.000000,1.0000,
2019-11-22,0.9888,0.9888,0.988800,0.000000,1.0000,
2019-11-25,1.0054,1.0054,1.005400,0.000000,1.0000,
2019-11-26,1.0047,1.0047,1.004700,0.000000,1.0000,
2019-11-27,1.0069,1.0069,1.006900,0.000000,1.0000,
2019-11-28,1.0023,1.0023,1.002300,0.000000,1.0000,
2019-11-29,0.9895,0.9895,0.989500,0.000000,1.0000,
2019-12-02,0.9967,0.9967,0.996700,0.000000,1.0000,
2019-12-03,0.9981,0.9981,0.998100,0.000000,1.0000,
2019-12-04,0.9903,0.9903,0.990300,0.000000,1.0000,
2019-12-05,0.9962,0.9962,0.996200,0.000000,1.0000,
2019-12-06,0.9994,0.9994,0.999400,0.000000,1.0000,
2019-12-09,1.0097,1.0097,1.009700,0.000000,1.0000,
2019-12-10,1.0076,1.0076,1.007600,0.000000,1.0000,
2019-12-11,1.0188,1.0188,1.018800,0.000000,1.0000,
2019-12-12,1.0210,1.0210,1.021000,0.000000,1.0000,
2019-12-13,1.0325,1.0325,1.032500,0.000000,1.0000,
2019-12-16,1.0390,1.0390,1.039000,0.000000,1.0000,
2019-12-17,1.0498,1.0498,1.049800,0.000000,1.0000,
2019-12-18,1.0508,1.0508,1.050800,0.000000,1.0000,
2019-12-19,1.0474,1.0474,1.047400,0.000000,1.0000,
2019-12-20,1.0464,1.0464,1.046400,0.000000,1.0000,
2019-12-23,1.0469,1.0469,1.046900,0.000000,1.0000,
2019-12-24,1.0462,1.0462,1.046200,0.000000,1.0000,
2019-12-25,1.0452,1.0452,1.045200,0.000000,1.0000,
2019-12-26,1.0415,1.0415,1.041500,0.000000,1.0000,
2019-12-27,1.0566,1.0566,1.056600,0.000000,1.0000,
2019-12-30,1.0619,1.0619,1.061900,0.000000,1.0000,
2019-12-31,1.0603,1.0603,1.060300,0.000000,1.0000,
2020-01-02,1.0806,1.0806,1.080600,0.000000,1.0000,
2020-01-03,1.0780,1.0780,1.078000,0.000000,1.0000,
2020-01-06,1.0640,1.0640,1.064000,0.000000,1.0000,
2020-01-07,1.0680,1.0680,1.068000,0.000000,1.0000,
2020-01-08,1.0500,1.0500,1.050000,0.000000,1.0000,
2020-01-09,1.0615,1.0615,1.061500,0.000000,1.0000,
2020-01-10,1.0542,1.0542,1.054200,0.000000,1.0000,
2020-01-13,1.0560,1.0560,1.056000,0.000000,1.0000,
2020-01-14,1.0554,1.0554,1.055400,0.000000,1.0000,
2020-01-15,1.0476,1.0476,1.047600,0.000000,1.0000,
2020-01-16,1.0645,1.0645,1.064500,0.000000,1.0000,
2020-01-17,1.0658,1.0658,1.065800,0.000000,1.0000,
2020-01-20,1.0491,1.0491,1.049100,0.000000,1.0000,
2020-01-21,1.0114,1.0114,1.011400,0.000000,1.0000,
2020-01-22,1.0306,1.0306,1.030600,0.000000,1.0000,
2020-01-23,1.0012,1.0012,1.001200,0.000000,1.0000,
2020-02-03,0.9349,0.9349,0.934900,0.000000,1.0000,
2020-02-04,0.9596,0.9596,0.959600,0.000000,1.0000,
2020-02-05,0.9633,0.9633,0.963300,0.000000,1.0000,
2020-02-06,0.9853,0.9853,0.985300,0.000000,1.0000,
2020-02-07,0.9747,0.9747,0.974700,0.000000,1.0000,
2020-02-10,0.9749,0.9749,0.974900,0.000000,1.0000,
2020-02-11,0.9878,0.9878,0.987800,0.000000,1.0000,
2020-02-12,0.9960,0.9960,0.996000,0.000000,1.0000,
2020-02-13,1.0023,1.0023,1.002300,0.000000,1.0000,
2020-02-14,1.0135,1.0135,1.013500,0.000000,1.0000,
2020-02-17,1.0138,1.0138,1.013800,0.000000,1.0000,
2020-02-18,1.0008,1.0008,1.000800,0.000000,1.0000,
2020-02-19,1.0090,1.0090,1.009000,0.000000,1.0000,
2020-02-20,1.0046,1.0046,1.004600,0.000000,1.0000,
2020-02-21,0.9976,0.9976,0.997600,0.000000,1.0000,
2020-02-24,0.9768,0.9768,0.976800,0.000000,1.0000,
2020-02-25,0.9759,0.9759,0.975900,0.000000,1.0000,
2020-02-26,0.9780,0.9780,0.978000,0.000000,1.0000,
2020-02-27,0.9864,0.9864,0.986400,0.000000,1.0000,
2020-02-28,0.9597,0.9597,0.959700,0.000000,1.0000,
2020-03-02,0.9752,0.9752,0.975200,0.000000,1.0000,
2020-03-03,0.9708,0.9708,0.970800,0.000000,1.0000,
2020-03-04,0.9813,0.9813,0.981300,0.000000,1.0000,
2020-03-05,0.9873,0.9873,0.987300,0.000000,1.0000,
2020-03-06,0.9708,0.9708,0.970800,0.000000,1.0000,
2020-03-09,0.9199,0.9199,0.919900,0.000000,1.0000,
2020-03-10,0.9244,0.9244,0.924400,0.000000,1.0000,
2020-03-11,0.9300,0.9300,0.930000,0.000000,1.0000,
2020-03-12,0.9002,0.9002,0.900200,0.000000,1.0000,
2020-03-13,0.8868,0.8868,0.886800,0.000000,1.0000,
2020-03-16,0.8523,0.8523,0.852300,0.000000,1.0000,
2020-03-17,0.8308,0.8308,0.830800,0.000000,1.0000,
2020-03-18,0.7944,0.7944,0.794400,0.000000,1.0000,
2020-03-19,0.7617,0.7617,0.761700,0.000000,1.0000,
2020-03-20,0.8060,0.8060,0.806000,0.000000,1.0000,
2020-03-23,0.7685,0.7685,0.768500,0.000000,1.0000,
2020-03-24,0.8010,0.8010,0.801000,0.000000,1.0000,
2020-03-25,0.8370,0.8370,0.837000,0.000000,1.0000,
2020-03-26,0.8400,0.8400,0.840000,0.000000,1.0000,
2020-03-27,0.8506,0.8506,0.850600,0.000000,1.0000,
2020-03-30,0.8392,0.8392,0.839200,0.000000,1.0000,
2020-03-31,0.8649,0.8649,0.864900,0.000000,1.0000,
2020-04-01,0.8501,0.8501,0.850100,0.000000,1.0000,
2020-04-02,0.8606,0.8606,0.860600,0.000000,1.0000,
2020-04-03,0.8586,0.8586,0.858600,0.000000,1.0000,
2020-04-07,0.8797,0.8797,0.879700,0.000000,1.0000,
2020-04-08,0.8709,0.8709,0.870900,0.000000,1.0000,
2020-04-09,0.8899,0.8899,0.889900,0.000000,1.0000,
2020-04-10,0.8876,0.8876,0.887600,0.000000,1.0000,
2020-04-13,0.8869,0.8869,0.886900,0.000000,1.0000,
2020-04-14,0.8994,0.8994,0.899400,0.000000,1.0000,
2020-04-15,0.8871,0.8871,0.887100,0.000000,1.0000,
2020-04-16,0.8863,0.8863,0.886300,0.000000,1.0000,
2020-04-17,0.9014,0.9014,0.901400,0.000000,1.0000,
2020-04-20,0.8965,0.8965,0.896500,0.000000,1.0000,
2020-04-21,0.8787,0.8787,0.878700,0.000000,1.0000,
2020-04-22,0.8789,0.8789,0.878900,0.000000,1.0000,
2020-04-23,0.8807,0.8807,0.880700,0.000000,1.0000,
2020-04-24,0.8724,0.8724,0.872400,0.000000,1.0000,
2020-04-27,0.8867,0.8867,0.886700,0.000000,1.0000,
2020-04-28,0.8946,0.8946,0.894600,0.000000,1.0000,
