date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-09-11,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-09-12,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-09-20,1.0004,1.0004,1.000400,0.000000,1.0000,
2019-09-27,1.0008,1.0008,1.000800,0.000000,1.0000,
2019-09-30,1.0009,1.0009,1.000900,0.000000,1.0000,
2019-10-08,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-10-09,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-10-10,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-10-11,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-10-14,1.0015,1.0015,1.001500,0.000000,1.0000,
2019-10-15,1.0014,1.0014,1.001400,0.000000,1.0000,
2019-10-16,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-10-17,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-10-18,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-10-21,1.0004,1.0004,1.000400,0.000000,1.0000,
2019-10-22,1.0009,1.0009,1.000900,0.000000,1.0000,
2019-10-23,0.9996,0.9996,0.999600,0.000000,1.0000,
2019-10-24,0.9990,0.9990,0.999000,0.000000,1.0000,
2019-10-25,1.0003,1.0003,1.000300,0.000000,1.0000,
2019-10-28,1.0018,1.0018,1.001800,0.000000,1.0000,
2019-10-29,1.0024,1.0024,1.002400,0.000000,1.0000,
2019-10-30,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-10-31,1.0023,1.0023,1.002300,0.000000,1.0000,
2019-11-01,1.0066,1.0066,1.006600,0.000000,1.0000,
2019-11-04,1.0081,1.0081,1.008100,0.000000,1.0000,
2019-11-05,1.0092,1.0092,1.009200,0.000000,1.0000,
2019-11-06,1.0074,1.0074,1.007400,0.000000,1.0000,
2019-11-07,1.0079,1.0079,1.007900,0.000000,1.0000,
2019-11-08,1.0079,1.0079,1.007900,0.000000,1.0000,
2019-11-11,1.0023,1.0023,1.002300,0.000000,1.0000,
2019-11-12,1.0021,1.0021,1.002100,0.000000,1.0000,
2019-11-13,1.0028,1.0028,1.002800,0.000000,1.0000,
2019-11-14,1.0029,1.0029,1.002900,0.000000,1.0000,
2019-11-15,1.0004,1.0004,1.000400,0.000000,1.0000,
2019-11-18,1.0031,1.0031,1.003100,0.000000,1.0000,
2019-11-19,1.0074,1.0074,1.007400,0.000000,1.0000,
2019-11-20,1.0049,1.0049,1.004900,0.000000,1.0000,
2019-11-21,1.0022,1.0022,1.002200,0.000000,1.0000,
2019-11-22,0.9961,0.9961,0.996100,0.000000,1.0000,
2019-11-25,1.0028,1.0028,1.002800,0.000000,1.0000,
2019-11-26,1.0052,1.0052,1.005200,0.000000,1.0000,
2019-11-27,1.0015,1.0015,1.001500,0.000000,1.0000,
2019-11-28,0.9979,0.9979,0.997900,0.000000,1.0000,
2019-11-29,0.9898,0.9898,0.989800,0.000000,1.0000,
2019-12-02,0.9908,0.9908,0.990800,0.000000,1.0000,
2019-12-03,0.9923,0.9923,0.992300,0.000000,1.0000,
2019-12-04,0.9913,0.9913,0.991300,0.000000,1.0000,
2019-12-05,0.9954,0.9954,0.995400,0.000000,1.0000,
2019-12-06,1.0018,1.0018,1.001800,0.000000,1.0000,
2019-12-09,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-12-10,1.0023,1.0023,1.002300,0.000000,1.0000,
2019-12-11,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-12-12,0.9992,0.9992,0.999200,0.000000,1.0000,
2019-12-13,1.0111,1.0111,1.011100,0.000000,1.0000,
2019-12-16,1.0171,1.0171,1.017100,0.000000,1.0000,
2019-12-17,1.0275,1.0275,1.027500,0.000000,1.0000,
2019-12-18,1.0250,1.0250,1.025000,0.000000,1.0000,
2019-12-19,1.0240,1.0240,1.024000,0.000000,1.0000,
2019-12-20,1.0248,1.0248,1.024800,0.000000,1.0000,
2019-12-23,1.0168,1.0168,1.016800,0.000000,1.0000,
2019-12-24,1.0182,1.0182,1.018200,0.000000,1.0000,
2019-12-25,1.0162,1.0162,1.016200,0.000000,1.0000,
2019-12-26,1.0211,1.0211,1.021100,0.000000,1.0000,
2019-12-27,1.0269,1.0269,1.026900,0.000000,1.0000,
2019-12-30,1.0446,1.0446,1.044600,0.000000,1.0000,
2019-12-31,1.0488,1.0488,1.048800,0.000000,1.0000,
2020-01-02,1.0559,1.0559,1.055900,0.000000,1.0000,
2020-01-03,1.0484,1.0484,1.048400,0.000000,1.0000,
2020-01-06,1.0382,1.0382,1.038200,0.000000,1.0000,
2020-01-07,1.0473,1.0473,1.047300,0.000000,1.0000,
2020-01-08,1.0430,1.0430,1.043000,0.000000,1.0000,
2020-01-09,1.0569,1.0569,1.056900,0.000000,1.0000,
2020-01-10,1.0563,1.0563,1.056300,0.000000,1.0000,
2020-01-13,1.0644,1.0644,1.064400,0.000000,1.0000,
2020-01-14,1.0588,1.0588,1.058800,0.000000,1.0000,
2020-01-15,1.0550,1.0550,1.055000,0.000000,1.0000,
2020-01-16,1.0532,1.0532,1.053200,0.000000,1.0000,
2020-01-17,1.0523,1.0523,1.052300,0.000000,1.0000,
2020-01-20,1.0488,1.0488,1.048800,0.000000,1.0000,
2020-01-21,1.0286,1.0286,1.028600,0.000000,1.0000,
2020-01-22,1.0329,1.0329,1.032900,0.000000,1.0000,
2020-01-23,1.0022,1.0022,1.002200,0.000000,1.0000,
2020-02-03,0.9299,0.9299,0.929900,0.000000,1.0000,
2020-02-04,0.9546,0.9546,0.954600,0.000000,1.0000,
2020-02-05,0.9660,0.9660,0.966000,0.000000,1.0000,
2020-02-06,0.9771,0.9771,0.977100,0.000000,1.0000,
2020-02-07,0.9763,0.9763,0.976300,0.000000,1.0000,
2020-02-10,0.9825,0.9825,0.982500,0.000000,1.0000,
2020-02-11,0.9964,0.9964,0.996400,0.000000,1.0000,
2020-02-12,1.0002,1.0002,1.000200,0.000000,1.0000,
2020-02-13,0.9984,0.9984,0.998400,0.000000,1.0000,
