date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2021-12-30,1.0000,1.0000,1.000000,0.000000,1.0000,
2021-12-31,1.0000,1.0000,1.000000,0.000000,1.0000,
2022-01-07,1.0012,1.0012,1.001200,0.000000,1.0000,
2022-01-14,0.9954,0.9954,0.995400,0.000000,1.0000,
2022-01-21,0.9949,0.9949,0.994900,0.000000,1.0000,
2022-01-24,0.9939,0.9939,0.993900,0.000000,1.0000,
2022-01-25,0.9778,0.9778,0.977800,0.000000,1.0000,
2022-01-26,0.9821,0.9821,0.982100,0.000000,1.0000,
2022-01-27,0.9755,0.9755,0.975500,0.000000,1.0000,
2022-01-28,0.9726,0.9726,0.972600,0.000000,1.0000,
2022-02-07,0.9911,0.9911,0.991100,0.000000,1.0000,
2022-02-08,1.0065,1.0065,1.006500,0.000000,1.0000,
2022-02-09,1.0090,1.0090,1.009000,0.000000,1.0000,
2022-02-10,1.0145,1.0145,1.014500,0.000000,1.0000,
2022-02-11,1.0118,1.0118,1.011800,0.000000,1.0000,
2022-02-14,1.0019,1.0019,1.001900,0.000000,1.0000,
2022-02-15,0.9992,0.9992,0.999200,0.000000,1.0000,
2022-02-16,1.0046,1.0046,1.004600,0.000000,1.0000,
2022-02-17,1.0009,1.0009,1.000900,0.000000,1.0000,
2022-02-18,1.0126,1.0126,1.012600,0.000000,1.0000,
2022-02-21,1.0148,1.0148,1.014800,0.000000,1.0000,
2022-02-22,1.0079,1.0079,1.007900,0.000000,1.0000,
2022-02-23,1.0038,1.0038,1.003800,0.000000,1.0000,
2022-02-24,0.9918,0.9918,0.991800,0.000000,1.0000,
2022-02-25,0.9927,0.9927,0.992700,0.000000,1.0000,
2022-02-28,0.9917,0.9917,0.991700,0.000000,1.0000,
2022-03-01,0.9974,0.9974,0.997400,0.000000,1.0000,
2022-03-02,1.0020,1.0020,1.002000,0.000000,1.0000,
2022-03-03,1.0157,1.0157,1.015700,0.000000,1.0000,
2022-03-04,1.0103,1.0103,1.010300,0.000000,1.0000,
2022-03-07,1.0034,1.0034,1.003400,0.000000,1.0000,
2022-03-08,0.9792,0.9792,0.979200,0.000000,1.0000,
2022-03-09,0.9711,0.9711,0.971100,0.000000,1.0000,
2022-03-10,0.9858,0.9858,0.985800,0.000000,1.0000,
2022-03-11,0.9887,0.9887,0.988700,0.000000,1.0000,
2022-03-14,0.9707,0.9707,0.970700,0.000000,1.0000,
2022-03-15,0.9242,0.9242,0.924200,0.000000,1.0000,
2022-03-16,0.9444,0.9444,0.944400,0.000000,1.0000,
2022-03-17,0.9519,0.9519,0.951900,0.000000,1.0000,
2022-03-18,0.9708,0.9708,0.970800,0.000000,1.0000,
2022-03-21,0.9703,0.9703,0.970300,0.000000,1.0000,
2022-03-22,0.9805,0.9805,0.980500,0.000000,1.0000,
2022-03-23,0.9778,0.9778,0.977800,0.000000,1.0000,
2022-03-24,0.9768,0.9768,0.976800,0.000000,1.0000,
2022-03-25,0.9741,0.9741,0.974100,0.000000,1.0000,
2022-03-28,0.9820,0.9820,0.982000,0.000000,1.0000,
2022-03-29,0.9816,0.9816,0.981600,0.000000,1.0000,
2022-03-30,0.9945,0.9945,0.994500,0.000000,1.0000,
2022-03-31,1.0011,1.0011,1.001100,0.000000,1.0000,
2022-04-01,1.0079,1.0079,1.007900,0.000000,1.0000,
2022-04-06,1.0237,1.0237,1.023700,0.000000,1.0000,
2022-04-07,1.0068,1.0068,1.006800,0.000000,1.0000,
2022-04-08,1.0154,1.0154,1.015400,0.000000,1.0000,
2022-04-11,1.0026,1.0026,1.002600,0.000000,1.0000,
2022-04-12,1.0097,1.0097,1.009700,0.000000,1.0000,
2022-04-13,1.0011,1.0011,1.001100,0.000000,1.0000,
2022-04-14,1.0089,1.0089,1.008900,0.000000,1.0000,
2022-04-15,1.0052,1.0052,1.005200,0.000000,1.0000,
2022-04-18,0.9974,0.9974,0.997400,0.000000,1.0000,
2022-04-19,1.0066,1.0066,1.006600,0.000000,1.0000,
2022-04-20,0.9875,0.9875,0.987500,0.000000,1.0000,
2022-04-21,0.9700,0.9700,0.970000,0.000000,1.0000,
2022-04-22,0.9815,0.9815,0.981500,0.000000,1.0000,
2022-04-25,0.9485,0.9485,0.948500,0.000000,1.0000,
2022-04-26,0.9421,0.9421,0.942100,0.000000,1.0000,
2022-04-27,0.9562,0.9562,0.956200,0.000000,1.0000,
