date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-04-23,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-04-26,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-04-30,0.9999,0.9999,0.999900,0.000000,1.0000,
2024-05-10,1.0018,1.0018,1.001800,0.000000,1.0000,
2024-05-17,1.0047,1.0047,1.004700,0.000000,1.0000,
2024-05-22,1.0073,1.0073,1.007300,0.000000,1.0000,
2024-05-23,1.0045,1.0045,1.004500,0.000000,1.0000,
2024-05-24,1.0039,1.0039,1.003900,0.000000,1.0000,
2024-05-27,1.0113,1.0113,1.011300,0.000000,1.0000,
2024-05-28,1.0095,1.0095,1.009500,0.000000,1.0000,
2024-05-29,1.0088,1.0088,1.008800,0.000000,1.0000,
2024-05-30,1.0027,1.0027,1.002700,0.000000,1.0000,
2024-05-31,1.0033,1.0033,1.003300,0.000000,1.0000,
2024-06-03,0.9979,0.9979,0.997900,0.000000,1.0000,
2024-06-04,1.0014,1.0014,1.001400,0.000000,1.0000,
2024-06-05,0.9903,0.9903,0.990300,0.000000,1.0000,
2024-06-06,0.9926,0.9926,0.992600,0.000000,1.0000,
2024-06-07,1.0009,1.0009,1.000900,0.000000,1.0000,
2024-06-11,0.9839,0.9839,0.983900,0.000000,1.0000,
2024-06-12,0.9914,0.9914,0.991400,0.000000,1.0000,
2024-06-13,0.9824,0.9824,0.982400,0.000000,1.0000,
2024-06-14,0.9849,0.9849,0.984900,0.000000,1.0000,
2024-06-17,0.9764,0.9764,0.976400,0.000000,1.0000,
2024-06-18,0.9810,0.9810,0.981000,0.000000,1.0000,
2024-06-19,0.9814,0.9814,0.981400,0.000000,1.0000,
2024-06-20,0.9804,0.9804,0.980400,0.000000,1.0000,
2024-06-21,0.9820,0.9820,0.982000,0.000000,1.0000,
2024-06-24,0.9728,0.9728,0.972800,0.000000,1.0000,
2024-06-25,0.9770,0.9770,0.977000,0.000000,1.0000,
2024-06-26,0.9814,0.9814,0.981400,0.000000,1.0000,
2024-06-27,0.9830,0.9830,0.983000,0.000000,1.0000,
2024-06-28,0.9932,0.9932,0.993200,0.000000,1.0000,
2024-06-30,0.9932,0.9932,0.993200,0.000000,1.0000,
2024-07-01,1.0092,1.0092,1.009200,0.000000,1.0000,
2024-07-02,1.0147,1.0147,1.014700,0.000000,1.0000,
2024-07-03,1.0063,1.0063,1.006300,0.000000,1.0000,
2024-07-04,1.0034,1.0034,1.003400,0.000000,1.0000,
2024-07-05,0.9954,0.9954,0.995400,0.000000,1.0000,
2024-07-08,0.9922,0.9922,0.992200,0.000000,1.0000,
2024-07-09,1.0033,1.0033,1.003300,0.000000,1.0000,
2024-07-10,0.9894,0.9894,0.989400,0.000000,1.0000,
2024-07-11,0.9893,0.9893,0.989300,0.000000,1.0000,
2024-07-12,0.9931,0.9931,0.993100,0.000000,1.0000,
2024-07-15,1.0021,1.0021,1.002100,0.000000,1.0000,
2024-07-16,0.9992,0.9992,0.999200,0.000000,1.0000,
2024-07-17,0.9964,0.9964,0.996400,0.000000,1.0000,
2024-07-18,1.0012,1.0012,1.001200,0.000000,1.0000,
2024-07-19,0.9935,0.9935,0.993500,0.000000,1.0000,
2024-07-22,0.9846,0.9846,0.984600,0.000000,1.0000,
2024-07-23,0.9839,0.9839,0.983900,0.000000,1.0000,
2024-07-24,0.9875,0.9875,0.987500,0.000000,1.0000,
2024-07-25,0.9822,0.9822,0.982200,0.000000,1.0000,
2024-07-26,0.9736,0.9736,0.973600,0.000000,1.0000,
2024-07-29,0.9800,0.9800,0.980000,0.000000,1.0000,
2024-07-30,0.9739,0.9739,0.973900,0.000000,1.0000,
2024-07-31,0.9791,0.9791,0.979100,0.000000,1.0000,
2024-08-01,0.9801,0.9801,0.980100,0.000000,1.0000,
2024-08-02,0.9794,0.9794,0.979400,0.000000,1.0000,
2024-08-05,0.9669,0.9669,0.966900,0.000000,1.0000,
2024-08-06,0.9622,0.9622,0.962200,0.000000,1.0000,
2024-08-07,0.9652,0.9652,0.965200,0.000000,1.0000,
2024-08-08,0.9666,0.9666,0.966600,0.000000,1.0000,
2024-08-09,0.9672,0.9672,0.967200,0.000000,1.0000,
2024-08-12,0.9706,0.9706,0.970600,0.000000,1.0000,
2024-08-13,0.9745,0.9745,0.974500,0.000000,1.0000,
2024-08-14,0.9740,0.9740,0.974000,0.000000,1.0000,
2024-08-15,0.9831,0.9831,0.983100,0.000000,1.0000,
2024-08-16,0.9870,0.9870,0.987000,0.000000,1.0000,
2024-08-19,1.0029,1.0029,1.002900,0.000000,1.0000,
2024-08-20,0.9951,0.9951,0.995100,0.000000,1.0000,
2024-08-21,0.9880,0.9880,0.988000,0.000000,1.0000,
2024-08-22,0.9923,0.9923,0.992300,0.000000,1.0000,
2024-08-23,0.9913,0.9913,0.991300,0.000000,1.0000,
2024-08-26,0.9912,0.9912,0.991200,0.000000,1.0000,
2024-08-27,0.9971,0.9971,0.997100,0.000000,1.0000,
2024-08-28,0.9904,0.9904,0.990400,0.000000,1.0000,
2024-08-29,0.9683,0.9683,0.968300,0.000000,1.0000,
2024-08-30,0.9601,0.9601,0.960100,0.000000,1.0000,
2024-09-02,0.9648,0.9648,0.964800,0.000000,1.0000,
2024-09-03,0.9526,0.9526,0.952600,0.000000,1.0000,
2024-09-04,0.9497,0.9497,0.949700,0.000000,1.0000,
2024-09-05,0.9483,0.9483,0.948300,0.000000,1.0000,
2024-09-06,0.9437,0.9437,0.943700,0.000000,1.0000,
2024-09-09,0.9299,0.9299,0.929900,0.000000,1.0000,
2024-09-10,0.9314,0.9314,0.931400,0.000000,1.0000,
2024-09-11,0.9099,0.9099,0.909900,0.000000,1.0000,
2024-09-12,0.9153,0.9153,0.915300,0.000000,1.0000,
2024-09-13,0.9139,0.9139,0.913900,0.000000,1.0000,
2024-09-18,0.9248,0.9248,0.924800,0.000000,1.0000,
2024-09-19,0.9242,0.9242,0.924200,0.000000,1.0000,
2024-09-20,0.9241,0.9241,0.924100,0.000000,1.0000,
2024-09-23,0.9342,0.9342,0.934200,0.000000,1.0000,
2024-09-24,0.9708,0.9708,0.970800,0.000000,1.0000,
2024-09-25,0.9844,0.9844,0.984400,0.000000,1.0000,
2024-09-26,1.0106,1.0106,1.010600,0.000000,1.0000,
2024-09-27,1.0112,1.0112,1.011200,0.000000,1.0000,
2024-09-30,1.0672,1.0672,1.067200,0.000000,1.0000,
