date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2025-03-12,1.0000,1.0000,1.000000,0.000000,1.0000,
2025-03-14,1.0037,1.0037,1.003700,0.000000,1.0000,
2025-03-21,0.9892,0.9892,0.989200,0.000000,1.0000,
2025-03-24,0.9987,0.9987,0.998700,0.000000,1.0000,
2025-03-25,0.9970,0.9970,0.997000,0.000000,1.0000,
2025-03-26,0.9935,0.9935,0.993500,0.000000,1.0000,
2025-03-27,0.9997,0.9997,0.999700,0.000000,1.0000,
2025-03-28,0.9991,0.9991,0.999100,0.000000,1.0000,
2025-03-31,0.9983,0.9983,0.998300,0.000000,1.0000,
2025-04-01,1.0027,1.0027,1.002700,0.000000,1.0000,
2025-04-02,1.0025,1.0025,1.002500,0.000000,1.0000,
2025-04-03,0.9893,0.9893,0.989300,0.000000,1.0000,
2025-04-07,0.9205,0.9205,0.920500,0.000000,1.0000,
2025-04-08,0.9347,0.9347,0.934700,0.000000,1.0000,
2025-04-09,0.9394,0.9394,0.939400,0.000000,1.0000,
2025-04-10,0.9534,0.9534,0.953400,0.000000,1.0000,
2025-04-11,0.9552,0.9552,0.955200,0.000000,1.0000,
2025-04-14,0.9623,0.9623,0.962300,0.000000,1.0000,
2025-04-15,0.9694,0.9694,0.969400,0.000000,1.0000,
2025-04-16,0.9692,0.9692,0.969200,0.000000,1.0000,
2025-04-17,0.9704,0.9704,0.970400,0.000000,1.0000,
2025-04-18,0.9689,0.9689,0.968900,0.000000,1.0000,
2025-04-21,0.9754,0.9754,0.975400,0.000000,1.0000,
2025-04-22,0.9740,0.9740,0.974000,0.000000,1.0000,
2025-04-23,0.9742,0.9742,0.974200,0.000000,1.0000,
2025-04-24,0.9785,0.9785,0.978500,0.000000,1.0000,
2025-04-25,0.9765,0.9765,0.976500,0.000000,1.0000,
2025-04-28,0.9672,0.9672,0.967200,0.000000,1.0000,
2025-04-29,0.9659,0.9659,0.965900,0.000000,1.0000,
2025-04-30,0.9646,0.9646,0.964600,0.000000,1.0000,
2025-05-06,0.9697,0.9697,0.969700,0.000000,1.0000,
2025-05-07,0.9757,0.9757,0.975700,0.000000,1.0000,
2025-05-08,0.9807,0.9807,0.980700,0.000000,1.0000,
2025-05-09,0.9816,0.9816,0.981600,0.000000,1.0000,
2025-05-12,0.9902,0.9902,0.990200,0.000000,1.0000,
2025-05-13,0.9916,0.9916,0.991600,0.000000,1.0000,
2025-05-14,1.0029,1.0029,1.002900,0.000000,1.0000,
2025-05-15,1.0002,1.0002,1.000200,0.000000,1.0000,
2025-05-16,0.9953,0.9953,0.995300,0.000000,1.0000,
2025-05-19,0.9967,0.9967,0.996700,0.000000,1.0000,
2025-05-20,1.0059,1.0059,1.005900,0.000000,1.0000,
2025-05-21,1.0102,1.0102,1.010200,0.000000,1.0000,
2025-05-22,1.0087,1.0087,1.008700,0.000000,1.0000,
2025-05-23,1.0024,1.0024,1.002400,0.000000,1.0000,
2025-05-26,0.9996,0.9996,0.999600,0.000000,1.0000,
2025-05-27,0.9957,0.9957,0.995700,0.000000,1.0000,
2025-05-28,1.0007,1.0007,1.000700,0.000000,1.0000,
2025-05-29,1.0068,1.0068,1.006800,0.000000,1.0000,
2025-05-30,1.0011,1.0011,1.001100,0.000000,1.0000,
2025-06-03,1.0064,1.0064,1.006400,0.000000,1.0000,
2025-06-04,1.0132,1.0132,1.013200,0.000000,1.0000,
2025-06-05,1.0129,1.0129,1.012900,0.000000,1.0000,
2025-06-06,1.0124,1.0124,1.012400,0.000000,1.0000,
2025-06-09,1.0128,1.0128,1.012800,0.000000,1.0000,
2025-06-10,1.0102,1.0102,1.010200,0.000000,1.0000,
2025-06-11,1.0177,1.0177,1.017700,0.000000,1.0000,
2025-06-12,1.0192,1.0192,1.019200,0.000000,1.0000,
2025-06-13,1.0130,1.0130,1.013000,0.000000,1.0000,
2025-06-16,1.0060,1.0060,1.006000,0.000000,1.0000,
2025-06-17,1.0022,1.0022,1.002200,0.000000,1.0000,
2025-06-18,1.0026,1.0026,1.002600,0.000000,1.0000,
2025-06-19,0.9912,0.9912,0.991200,0.000000,1.0000,
2025-06-20,0.9914,0.9914,0.991400,0.000000,1.0000,
2025-06-23,0.9860,0.9860,0.986000,0.000000,1.0000,
2025-06-24,0.9958,0.9958,0.995800,0.000000,1.0000,
2025-06-25,1.0002,1.0002,1.000200,0.000000,1.0000,
2025-06-26,0.9948,0.9948,0.994800,0.000000,1.0000,
2025-06-27,0.9967,0.9967,0.996700,0.000000,1.0000,
2025-06-30,1.0060,1.0060,1.006000,0.000000,1.0000,
2025-07-01,1.0140,1.0140,1.014000,0.000000,1.0000,
2025-07-02,1.0150,1.0150,1.015000,0.000000,1.0000,
2025-07-03,1.0250,1.0250,1.025000,0.000000,1.0000,
2025-07-04,1.0233,1.0233,1.023300,0.000000,1.0000,
2025-07-07,1.0187,1.0187,1.018700,0.000000,1.0000,
2025-07-08,1.0222,1.0222,1.022200,0.000000,1.0000,
2025-07-09,1.0178,1.0178,1.017800,0.000000,1.0000,
2025-07-10,1.0192,1.0192,1.019200,0.000000,1.0000,
2025-07-11,1.0247,1.0247,1.024700,0.000000,1.0000,
2025-07-14,1.0239,1.0239,1.023900,0.000000,1.0000,
2025-07-15,1.0191,1.0221,1.022100,0.003000,1.0000,每10份派现金0.0300元
2025-07-16,1.0206,1.0236,1.023604,0.000000,1.0000,
2025-07-17,1.0253,1.0283,1.028318,0.000000,1.0000,
2025-07-18,1.0305,1.0335,1.033534,0.000000,1.0000,
2025-07-21,1.0430,1.0460,1.046070,0.000000,1.0000,
2025-07-22,1.0518,1.0548,1.054896,0.000000,1.0000,
2025-07-23,1.0515,1.0545,1.054595,0.000000,1.0000,
2025-07-24,1.0566,1.0596,1.059710,0.000000,1.0000,
2025-07-25,1.0527,1.0557,1.055799,0.000000,1.0000,
2025-07-28,1.0449,1.0479,1.047976,0.000000,1.0000,
2025-07-29,1.0467,1.0497,1.049781,0.000000,1.0000,
2025-07-30,1.0539,1.0569,1.057002,0.000000,1.0000,
2025-07-31,1.0333,1.0363,1.036342,0.000000,1.0000,
2025-08-01,1.0350,1.0380,1.038047,0.000000,1.0000,
2025-08-04,1.0455,1.0485,1.048578,0.000000,1.0000,
2025-08-05,1.0526,1.0556,1.055699,0.000000,1.0000,
2025-08-06,1.0627,1.0657,1.065828,0.000000,1.0000,
2025-08-07,1.0620,1.0650,1.065126,0.000000,1.0000,
2025-08-08,1.0655,1.0685,1.068637,0.000000,1.0000,
2025-08-11,1.0669,1.0699,1.070041,0.000000,1.0000,
2025-08-12,1.0692,1.0722,1.072347,0.000000,1.0000,
2025-08-13,1.0777,1.0807,1.080873,0.000000,1.0000,
2025-08-14,1.0722,1.0752,1.075356,0.000000,1.0000,
2025-08-15,1.0782,1.0842,1.084383,0.003000,1.0000,每10份派现金0.0300元
