date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-03-30,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-03-31,1.0001,1.0001,1.000100,0.000000,1.0000,
2023-04-07,1.0005,1.0005,1.000500,0.000000,1.0000,
2023-04-14,1.0185,1.0185,1.018500,0.000000,1.0000,
2023-04-20,1.0306,1.0306,1.030600,0.000000,1.0000,
2023-04-21,1.0163,1.0163,1.016300,0.000000,1.0000,
2023-04-24,1.0096,1.0096,1.009600,0.000000,1.0000,
2023-04-25,0.9924,0.9924,0.992400,0.000000,1.0000,
2023-04-26,0.9925,0.9925,0.992500,0.000000,1.0000,
2023-04-27,0.9898,0.9898,0.989800,0.000000,1.0000,
2023-04-28,0.9991,0.9991,0.999100,0.000000,1.0000,
2023-05-04,0.9940,0.9940,0.994000,0.000000,1.0000,
2023-05-05,0.9971,0.9971,0.997100,0.000000,1.0000,
2023-05-08,1.0182,1.0182,1.018200,0.000000,1.0000,
2023-05-09,1.0111,1.0111,1.011100,0.000000,1.0000,
2023-05-10,1.0100,1.0100,1.010000,0.000000,1.0000,
2023-05-11,1.0057,1.0057,1.005700,0.000000,1.0000,
2023-05-12,0.9848,0.9848,0.984800,0.000000,1.0000,
2023-05-15,0.9987,0.9987,0.998700,0.000000,1.0000,
2023-05-16,0.9919,0.9919,0.991900,0.000000,1.0000,
2023-05-17,0.9702,0.9702,0.970200,0.000000,1.0000,
2023-05-18,0.9819,0.9819,0.981900,0.000000,1.0000,
2023-05-19,0.9833,0.9833,0.983300,0.000000,1.0000,
2023-05-22,0.9851,0.9851,0.985100,0.000000,1.0000,
2023-05-23,0.9764,0.9764,0.976400,0.000000,1.0000,
2023-05-24,0.9563,0.9563,0.956300,0.000000,1.0000,
2023-05-25,0.9390,0.9390,0.939000,0.000000,1.0000,
2023-05-26,0.9413,0.9413,0.941300,0.000000,1.0000,
2023-05-29,0.9290,0.9290,0.929000,0.000000,1.0000,
2023-05-30,0.9234,0.9234,0.923400,0.000000,1.0000,
2023-05-31,0.8967,0.8967,0.896700,0.000000,1.0000,
2023-06-01,0.8957,0.8957,0.895700,0.000000,1.0000,
2023-06-02,0.9292,0.9292,0.929200,0.000000,1.0000,
2023-06-05,0.9311,0.9311,0.931100,0.000000,1.0000,
2023-06-06,0.9364,0.9364,0.936400,0.000000,1.0000,
2023-06-07,0.9402,0.9402,0.940200,0.000000,1.0000,
2023-06-08,0.9502,0.9502,0.950200,0.000000,1.0000,
2023-06-09,0.9534,0.9534,0.953400,0.000000,1.0000,
2023-06-12,0.9541,0.9541,0.954100,0.000000,1.0000,
2023-06-13,0.9585,0.9585,0.958500,0.000000,1.0000,
2023-06-14,0.9566,0.9566,0.956600,0.000000,1.0000,
2023-06-15,0.9691,0.9691,0.969100,0.000000,1.0000,
2023-06-16,0.9789,0.9789,0.978900,0.000000,1.0000,
2023-06-19,0.9702,0.9702,0.970200,0.000000,1.0000,
2023-06-20,0.9641,0.9641,0.964100,0.000000,1.0000,
2023-06-21,0.9521,0.9521,0.952100,0.000000,1.0000,
2023-06-26,0.9415,0.9415,0.941500,0.000000,1.0000,
2023-06-27,0.9623,0.9623,0.962300,0.000000,1.0000,
2023-06-28,0.9671,0.9671,0.967100,0.000000,1.0000,
2023-06-29,0.9554,0.9554,0.955400,0.000000,1.0000,
2023-06-30,0.9680,0.9680,0.968000,0.000000,1.0000,
2023-07-03,0.9909,0.9909,0.990900,0.000000,1.0000,
2023-07-04,0.9966,0.9966,0.996600,0.000000,1.0000,
2023-07-05,0.9881,0.9881,0.988100,0.000000,1.0000,
2023-07-06,0.9701,0.9701,0.970100,0.000000,1.0000,
2023-07-07,0.9636,0.9636,0.963600,0.000000,1.0000,
