date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-04-30,1.0002,1.0002,1.000200,0.000000,1.0000,
2024-05-10,1.0027,1.0027,1.002700,0.000000,1.0000,
2024-05-15,1.0031,1.0031,1.003100,0.000000,1.0000,
2024-05-16,1.0021,1.0021,1.002100,0.000000,1.0000,
2024-05-17,1.0086,1.0086,1.008600,0.000000,1.0000,
2024-05-20,1.0247,1.0247,1.024700,0.000000,1.0000,
2024-05-21,1.0321,1.0321,1.032100,0.000000,1.0000,
2024-05-22,1.0323,1.0323,1.032300,0.000000,1.0000,
2024-05-23,1.0199,1.0199,1.019900,0.000000,1.0000,
2024-05-24,1.0176,1.0176,1.017600,0.000000,1.0000,
2024-05-27,1.0354,1.0354,1.035400,0.000000,1.0000,
2024-05-28,1.0316,1.0347,1.034700,0.003100,1.0000,每10份派现金0.0310元
2024-05-29,1.0352,1.0383,1.038311,0.000000,1.0000,
2024-05-30,1.0202,1.0233,1.023266,0.000000,1.0000,
2024-05-31,1.0226,1.0257,1.025673,0.000000,1.0000,
2024-06-03,1.0207,1.0238,1.023767,0.000000,1.0000,
2024-06-04,1.0199,1.0230,1.022965,0.000000,1.0000,
2024-06-05,1.0093,1.0124,1.012333,0.000000,1.0000,
2024-06-06,1.0176,1.0207,1.020658,0.000000,1.0000,
2024-06-07,1.0260,1.0291,1.029083,0.000000,1.0000,
2024-06-11,1.0087,1.0118,1.011731,0.000000,1.0000,
2024-06-12,1.0295,1.0326,1.032594,0.000000,1.0000,
2024-06-13,1.0168,1.0240,1.023968,0.004100,1.0000,每10份派现金0.0410元
2024-06-14,1.0138,1.0210,1.020947,0.000000,1.0000,
2024-06-17,0.9988,1.0060,1.005841,0.000000,1.0000,
2024-06-18,1.0017,1.0089,1.008761,0.000000,1.0000,
2024-06-19,1.0017,1.0089,1.008761,0.000000,1.0000,
2024-06-20,1.0051,1.0123,1.012185,0.000000,1.0000,
2024-06-21,1.0028,1.0100,1.009869,0.000000,1.0000,
2024-06-24,0.9908,0.9980,0.997785,0.000000,1.0000,
2024-06-25,0.9936,1.0008,1.000604,0.000000,1.0000,
2024-06-26,0.9983,1.0055,1.005337,0.000000,1.0000,
2024-06-27,0.9973,1.0045,1.004330,0.000000,1.0000,
2024-06-28,1.0056,1.0128,1.012689,0.000000,1.0000,
2024-06-30,1.0056,1.0128,1.012689,0.000000,1.0000,
2024-07-01,1.0292,1.0364,1.036455,0.000000,1.0000,
2024-07-02,1.0303,1.0375,1.037563,0.000000,1.0000,
2024-07-03,1.0202,1.0274,1.027392,0.000000,1.0000,
2024-07-04,1.0183,1.0255,1.025478,0.000000,1.0000,
2024-07-05,1.0143,1.0215,1.021450,0.000000,1.0000,
2024-07-08,1.0115,1.0187,1.018630,0.000000,1.0000,
2024-07-09,1.0227,1.0299,1.029909,0.000000,1.0000,
2024-07-10,0.9978,1.0050,1.004834,0.000000,1.0000,
2024-07-11,0.9949,1.0021,1.001913,0.000000,1.0000,
2024-07-12,0.9923,0.9995,0.999295,0.000000,1.0000,
2024-07-15,1.0034,1.0147,1.014602,0.004100,1.0000,每10份派现金0.0410元
2024-07-16,1.0005,1.0118,1.011670,0.000000,1.0000,
2024-07-17,0.9932,1.0045,1.004288,0.000000,1.0000,
2024-07-18,0.9981,1.0094,1.009243,0.000000,1.0000,
2024-07-19,0.9917,1.0030,1.002772,0.000000,1.0000,
2024-07-22,0.9843,0.9956,0.995289,0.000000,1.0000,
2024-07-23,0.9779,0.9892,0.988818,0.000000,1.0000,
2024-07-24,0.9824,0.9937,0.993368,0.000000,1.0000,
2024-07-25,0.9787,0.9900,0.989627,0.000000,1.0000,
