date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2006-11-17,1.0000,1.0000,1.000000,0.000000,1.0000,
2006-11-22,1.0040,1.0040,1.004000,0.000000,1.0000,
2006-11-29,1.0160,1.0160,1.016000,0.000000,1.0000,
2006-12-06,1.0570,1.0570,1.057000,0.000000,1.0000,
2006-12-13,1.0990,1.0990,1.099000,0.000000,1.0000,
2006-12-20,1.1350,1.1350,1.135000,0.000000,1.0000,
2006-12-27,1.1610,1.1610,1.161000,0.000000,1.0000,
2006-12-29,1.1930,1.1930,1.193000,0.000000,1.0000,
2006-12-31,1.1930,1.1930,1.193000,0.000000,1.0000,
2007-01-04,1.1930,1.1930,1.193000,0.000000,1.0000,
2007-01-05,1.2450,1.2450,1.245000,0.000000,1.0000,
2007-01-10,2.0750,1.3600,2.075000,0.000000,1.0000,每份基金份额折算0.65527799份
2007-01-11,2.0180,1.3220,2.018000,0.000000,1.0000,
2007-01-12,1.9230,1.2600,1.923000,0.000000,1.0000,
2007-01-15,2.0190,1.3230,2.019000,0.000000,1.0000,
2007-01-16,2.0480,1.3420,2.048000,0.000000,1.0000,
2007-01-17,2.0270,1.3280,2.027000,0.000000,1.0000,
2007-01-18,2.0000,1.3110,2.000000,0.000000,1.0000,
2007-01-19,2.0450,1.3400,2.045000,0.000000,1.0000,
2007-01-22,2.1130,1.3850,2.113000,0.000000,1.0000,
2007-01-23,2.1680,1.4210,2.168000,0.000000,1.0000,
2007-01-24,2.2350,1.4650,2.235000,0.000000,1.0000,
2007-01-25,2.1380,1.4010,2.138000,0.000000,1.0000,
2007-01-26,2.1850,1.4320,2.185000,0.000000,1.0000,
2007-01-29,2.2580,1.4800,2.258000,0.000000,1.0000,
2007-01-30,2.2730,1.4890,2.273000,0.000000,1.0000,
2007-01-31,2.1170,1.3870,2.117000,0.000000,1.0000,
2007-02-01,2.0950,1.3730,2.095000,0.000000,1.0000,
2007-02-02,2.0010,1.3110,2.001000,0.000000,1.0000,
2007-02-05,1.9630,1.2860,1.963000,0.000000,1.0000,
2007-02-06,1.9930,1.3060,1.993000,0.000000,1.0000,
2007-02-07,2.0430,1.3390,2.043000,0.000000,1.0000,
2007-02-08,2.0770,1.3610,2.077000,0.000000,1.0000,
2007-02-09,2.0370,1.3350,2.037000,0.000000,1.0000,
2007-02-12,2.1210,1.3900,2.121000,0.000000,1.0000,
2007-02-13,2.1500,1.4090,2.150000,0.000000,1.0000,
2007-02-14,2.2100,1.4480,2.210000,0.000000,1.0000,
2007-02-15,2.2990,1.5060,2.299000,0.000000,1.0000,
2007-02-16,2.3260,1.5240,2.326000,0.000000,1.0000,
2007-02-26,2.4370,1.5970,2.437000,0.000000,1.0000,
2007-02-27,2.2080,1.4470,2.208000,0.000000,1.0000,
2007-02-28,2.3150,1.5170,2.315000,0.000000,1.0000,
2007-03-01,2.2570,1.4790,2.257000,0.000000,1.0000,
2007-03-02,2.2770,1.4920,2.277000,0.000000,1.0000,
2007-03-05,2.2400,1.4680,2.240000,0.000000,1.0000,
2007-03-06,2.2610,1.4820,2.261000,0.000000,1.0000,
2007-03-07,2.3150,1.5170,2.315000,0.000000,1.0000,
2007-03-08,2.3270,1.5250,2.327000,0.000000,1.0000,
2007-03-09,2.3230,1.5220,2.323000,0.000000,1.0000,
2007-03-12,2.3390,1.5330,2.339000,0.000000,1.0000,
2007-03-13,2.3500,1.5400,2.350000,0.000000,1.0000,
2007-03-14,2.2860,1.4980,2.286000,0.000000,1.0000,
2007-03-15,2.3390,1.5330,2.339000,0.000000,1.0000,
2007-03-16,2.2780,1.4930,2.278000,0.000000,1.0000,
2007-03-19,2.3210,1.5210,2.321000,0.000000,1.0000,
2007-03-20,2.3410,1.5340,2.341000,0.000000,1.0000,
2007-03-21,2.3700,1.5530,2.370000,0.000000,1.0000,
2007-03-22,2.3910,1.5670,2.391000,0.000000,1.0000,
2007-03-23,2.4000,1.5730,2.400000,0.000000,1.0000,
2007-03-26,2.4570,1.6100,2.457000,0.000000,1.0000,
2007-03-27,2.4700,1.6190,2.470000,0.000000,1.0000,
2007-03-28,2.4940,1.6340,2.494000,0.000000,1.0000,
2007-03-29,2.4670,1.6170,2.467000,0.000000,1.0000,
2007-03-30,2.4810,1.6260,2.481000,0.000000,1.0000,
2007-03-31,2.4810,1.6260,2.481000,0.000000,1.0000,
2007-04-02,2.5620,1.6790,2.562000,0.000000,1.0000,
