date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-08-23,1.0002,1.0002,1.000200,0.000000,1.0000,
2019-08-30,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-09-06,1.0032,1.0032,1.003200,0.000000,1.0000,
2019-09-12,1.0037,1.0037,1.003700,0.000000,1.0000,
2019-09-16,1.0038,1.0038,1.003800,0.000000,1.0000,
2019-09-20,1.0020,1.0020,1.002000,0.000000,1.0000,
2019-09-23,0.9866,0.9866,0.986600,0.000000,1.0000,
2019-09-24,0.9870,0.9870,0.987000,0.000000,1.0000,
2019-09-25,0.9816,0.9816,0.981600,0.000000,1.0000,
2019-09-26,0.9786,0.9786,0.978600,0.000000,1.0000,
2019-09-27,0.9750,0.9750,0.975000,0.000000,1.0000,
2019-09-30,0.9735,0.9735,0.973500,0.000000,1.0000,
2019-10-08,0.9805,0.9805,0.980500,0.000000,1.0000,
2019-10-09,0.9864,0.9864,0.986400,0.000000,1.0000,
2019-10-10,0.9893,0.9893,0.989300,0.000000,1.0000,
2019-10-11,0.9978,0.9978,0.997800,0.000000,1.0000,
2019-10-14,1.0088,1.0088,1.008800,0.000000,1.0000,
2019-10-15,1.0015,1.0015,1.001500,0.000000,1.0000,
2019-10-16,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-10-17,0.9970,0.9970,0.997000,0.000000,1.0000,
2019-10-18,0.9843,0.9843,0.984300,0.000000,1.0000,
2019-10-21,0.9903,0.9903,0.990300,0.000000,1.0000,
2019-10-22,0.9921,0.9921,0.992100,0.000000,1.0000,
2019-10-23,0.9882,0.9882,0.988200,0.000000,1.0000,
2019-10-24,0.9895,0.9895,0.989500,0.000000,1.0000,
2019-10-25,0.9939,0.9939,0.993900,0.000000,1.0000,
2019-10-28,0.9962,0.9962,0.996200,0.000000,1.0000,
2019-10-29,0.9937,0.9937,0.993700,0.000000,1.0000,
2019-10-30,0.9914,0.9914,0.991400,0.000000,1.0000,
2019-10-31,0.9879,0.9879,0.987900,0.000000,1.0000,
2019-11-01,1.0031,1.0031,1.003100,0.000000,1.0000,
2019-11-04,1.0080,1.0080,1.008000,0.000000,1.0000,
2019-11-05,1.0147,1.0147,1.014700,0.000000,1.0000,
2019-11-06,1.0112,1.0112,1.011200,0.000000,1.0000,
2019-11-07,1.0131,1.0131,1.013100,0.000000,1.0000,
2019-11-08,1.0093,1.0093,1.009300,0.000000,1.0000,
2019-11-11,0.9917,0.9917,0.991700,0.000000,1.0000,
2019-11-12,0.9936,0.9936,0.993600,0.000000,1.0000,
2019-11-13,0.9896,0.9896,0.989600,0.000000,1.0000,
2019-11-14,0.9864,0.9864,0.986400,0.000000,1.0000,
2019-11-15,0.9795,0.9795,0.979500,0.000000,1.0000,
2019-11-18,0.9920,0.9920,0.992000,0.000000,1.0000,
2019-11-19,1.0006,1.0006,1.000600,0.000000,1.0000,
2019-11-20,0.9929,0.9929,0.992900,0.000000,1.0000,
2019-11-21,0.9926,0.9926,0.992600,0.000000,1.0000,
2019-11-22,0.9915,0.9915,0.991500,0.000000,1.0000,
2019-11-25,1.0087,1.0087,1.008700,0.000000,1.0000,
2019-11-26,1.0107,1.0107,1.010700,0.000000,1.0000,
2019-11-27,1.0028,1.0028,1.002800,0.000000,1.0000,
2019-11-28,0.9961,0.9961,0.996100,0.000000,1.0000,
2019-11-29,0.9934,0.9934,0.993400,0.000000,1.0000,
2019-12-02,0.9954,0.9954,0.995400,0.000000,1.0000,
