date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2022-04-08,1.0003,1.0003,1.000300,0.000000,1.0000,
2022-04-15,1.0010,1.0010,1.001000,0.000000,1.0000,
2022-04-18,1.0009,1.0009,1.000900,0.000000,1.0000,
2022-04-22,0.9995,0.9995,0.999500,0.000000,1.0000,
2022-04-25,0.9589,0.9589,0.958900,0.000000,1.0000,
2022-04-26,0.9604,0.9604,0.960400,0.000000,1.0000,
2022-04-27,0.9713,0.9713,0.971300,0.000000,1.0000,
2022-04-28,1.0007,1.0007,1.000700,0.000000,1.0000,
2022-04-29,1.0159,1.0159,1.015900,0.000000,1.0000,
2022-05-05,0.9970,0.9970,0.997000,0.000000,1.0000,
2022-05-06,0.9780,0.9780,0.978000,0.000000,1.0000,
2022-05-09,0.9874,0.9874,0.987400,0.000000,1.0000,
2022-05-10,0.9787,0.9787,0.978700,0.000000,1.0000,
2022-05-11,0.9829,0.9829,0.982900,0.000000,1.0000,
2022-05-12,0.9682,0.9682,0.968200,0.000000,1.0000,
2022-05-13,0.9968,0.9968,0.996800,0.000000,1.0000,
2022-05-16,1.0035,1.0035,1.003500,0.000000,1.0000,
2022-05-17,1.0152,1.0152,1.015200,0.000000,1.0000,
2022-05-18,1.0157,1.0157,1.015700,0.000000,1.0000,
2022-05-19,1.0112,1.0112,1.011200,0.000000,1.0000,
2022-05-20,1.0300,1.0300,1.030000,0.000000,1.0000,
2022-05-23,1.0185,1.0185,1.018500,0.000000,1.0000,
2022-05-24,1.0130,1.0130,1.013000,0.000000,1.0000,
2022-05-25,1.0267,1.0267,1.026700,0.000000,1.0000,
2022-05-26,1.0350,1.0350,1.035000,0.000000,1.0000,
2022-05-27,1.0507,1.0507,1.050700,0.000000,1.0000,
2022-05-30,1.0403,1.0403,1.040300,0.000000,1.0000,
2022-05-31,1.0496,1.0496,1.049600,0.000000,1.0000,
2022-06-01,1.0547,1.0547,1.054700,0.000000,1.0000,
2022-06-02,1.0541,1.0541,1.054100,0.000000,1.0000,
2022-06-06,1.0458,1.0458,1.045800,0.000000,1.0000,
2022-06-07,1.0420,1.0420,1.042000,0.000000,1.0000,
2022-06-08,1.0613,1.0613,1.061300,0.000000,1.0000,
2022-06-09,1.0635,1.0635,1.063500,0.000000,1.0000,
2022-06-10,1.0536,1.0536,1.053600,0.000000,1.0000,
2022-06-13,1.0430,1.0430,1.043000,0.000000,1.0000,
2022-06-14,1.0526,1.0526,1.052600,0.000000,1.0000,
2022-06-15,1.0417,1.0417,1.041700,0.000000,1.0000,
2022-06-16,1.0062,1.0062,1.006200,0.000000,1.0000,
2022-06-17,0.9982,0.9982,0.998200,0.000000,1.0000,
2022-06-20,0.9944,0.9944,0.994400,0.000000,1.0000,
2022-06-21,1.0028,1.0028,1.002800,0.000000,1.0000,
2022-06-22,0.9907,0.9907,0.990700,0.000000,1.0000,
2022-06-23,1.0014,1.0014,1.001400,0.000000,1.0000,
2022-06-24,0.9967,0.9967,0.996700,0.000000,1.0000,
2022-06-27,1.0132,1.0132,1.013200,0.000000,1.0000,
2022-06-28,1.0327,1.0327,1.032700,0.000000,1.0000,
2022-06-29,1.0230,1.0230,1.023000,0.000000,1.0000,
2022-06-30,1.0246,1.0246,1.024600,0.000000,1.0000,
2022-07-01,1.0210,1.0210,1.021000,0.000000,1.0000,
2022-07-04,1.0099,1.0099,1.009900,0.000000,1.0000,
2022-07-05,1.0133,1.0133,1.013300,0.000000,1.0000,
2022-07-06,0.9966,0.9966,0.996600,0.000000,1.0000,
2022-07-07,0.9988,0.9988,0.998800,0.000000,1.0000,
2022-07-08,1.0084,1.0084,1.008400,0.000000,1.0000,
2022-07-11,0.9903,0.9903,0.990300,0.000000,1.0000,
2022-07-12,0.9914,0.9914,0.991400,0.000000,1.0000,
2022-07-13,0.9763,0.9763,0.976300,0.000000,1.0000,
2022-07-14,0.9689,0.9689,0.968900,0.000000,1.0000,
2022-07-15,0.9607,0.9607,0.960700,0.000000,1.0000,
2022-07-18,0.9874,0.9874,0.987400,0.000000,1.0000,
2022-07-19,0.9874,0.9874,0.987400,0.000000,1.0000,
2022-07-20,0.9909,0.9909,0.990900,0.000000,1.0000,
2022-07-21,0.9751,0.9751,0.975100,0.000000,1.0000,
2022-07-22,0.9672,0.9672,0.967200,0.000000,1.0000,
2022-07-25,0.9669,0.9669,0.966900,0.000000,1.0000,
2022-07-26,0.9843,0.9843,0.984300,0.000000,1.0000,
2022-07-27,0.9800,0.9800,0.980000,0.000000,1.0000,
2022-07-28,0.9802,0.9802,0.980200,0.000000,1.0000,
2022-07-29,0.9662,0.9662,0.966200,0.000000,1.0000,
2022-08-01,0.9597,0.9597,0.959700,0.000000,1.0000,
2022-08-02,0.9402,0.9402,0.940200,0.000000,1.0000,
2022-08-03,0.9432,0.9432,0.943200,0.000000,1.0000,
2022-08-04,0.9455,0.9455,0.945500,0.000000,1.0000,
