date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-02-07,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-02-08,1.0002,1.0002,1.000200,0.000000,1.0000,
2024-02-23,1.0006,1.0006,1.000600,0.000000,1.0000,
2024-03-01,0.9824,0.9824,0.982400,0.000000,1.0000,
2024-03-04,0.9778,0.9778,0.977800,0.000000,1.0000,
2024-03-05,0.9674,0.9674,0.967400,0.000000,1.0000,
2024-03-06,0.9752,0.9752,0.975200,0.000000,1.0000,
2024-03-07,0.9781,0.9781,0.978100,0.000000,1.0000,
2024-03-08,0.9894,0.9894,0.989400,0.000000,1.0000,
2024-03-11,0.9889,0.9889,0.988900,0.000000,1.0000,
2024-03-12,0.9968,0.9968,0.996800,0.000000,1.0000,
2024-03-13,0.9888,0.9888,0.988800,0.000000,1.0000,
2024-03-14,0.9900,0.9900,0.990000,0.000000,1.0000,
2024-03-15,0.9776,0.9776,0.977600,0.000000,1.0000,
2024-03-18,0.9829,0.9829,0.982900,0.000000,1.0000,
2024-03-19,0.9737,0.9737,0.973700,0.000000,1.0000,
2024-03-20,0.9747,0.9747,0.974700,0.000000,1.0000,
2024-03-21,0.9878,0.9878,0.987800,0.000000,1.0000,
2024-03-22,0.9744,0.9744,0.974400,0.000000,1.0000,
2024-03-25,0.9755,0.9755,0.975500,0.000000,1.0000,
2024-03-26,0.9733,0.9733,0.973300,0.000000,1.0000,
2024-03-27,0.9660,0.9660,0.966000,0.000000,1.0000,
2024-03-28,0.9675,0.9675,0.967500,0.000000,1.0000,
2024-03-29,0.9672,0.9672,0.967200,0.000000,1.0000,
2024-04-01,0.9670,0.9670,0.967000,0.000000,1.0000,
2024-04-02,0.9888,0.9888,0.988800,0.000000,1.0000,
2024-04-03,0.9880,0.9880,0.988000,0.000000,1.0000,
2024-04-08,0.9831,0.9831,0.983100,0.000000,1.0000,
2024-04-09,0.9831,0.9831,0.983100,0.000000,1.0000,
2024-04-10,0.9891,0.9891,0.989100,0.000000,1.0000,
2024-04-11,0.9913,0.9913,0.991300,0.000000,1.0000,
2024-04-12,0.9757,0.9757,0.975700,0.000000,1.0000,
2024-04-15,0.9888,0.9888,0.988800,0.000000,1.0000,
2024-04-16,0.9778,0.9778,0.977800,0.000000,1.0000,
2024-04-17,0.9878,0.9878,0.987800,0.000000,1.0000,
2024-04-18,0.9918,0.9918,0.991800,0.000000,1.0000,
2024-04-19,0.9948,0.9948,0.994800,0.000000,1.0000,
2024-04-22,0.9937,0.9937,0.993700,0.000000,1.0000,
2024-04-23,0.9936,0.9936,0.993600,0.000000,1.0000,
2024-04-24,1.0063,1.0063,1.006300,0.000000,1.0000,
2024-04-25,1.0158,1.0158,1.015800,0.000000,1.0000,
2024-04-26,1.0288,1.0288,1.028800,0.000000,1.0000,
2024-04-29,1.0375,1.0375,1.037500,0.000000,1.0000,
2024-04-30,1.0296,1.0296,1.029600,0.000000,1.0000,
2024-05-06,1.0454,1.0454,1.045400,0.000000,1.0000,
2024-05-07,1.0513,1.0513,1.051300,0.000000,1.0000,
2024-05-08,1.0425,1.0425,1.042500,0.000000,1.0000,
2024-05-09,1.0660,1.0660,1.066000,0.000000,1.0000,
2024-05-10,1.1152,1.1152,1.115200,0.000000,1.0000,
2024-05-13,1.1295,1.1295,1.129500,0.000000,1.0000,
2024-05-14,1.1183,1.1183,1.118300,0.000000,1.0000,
2024-05-15,1.1182,1.1182,1.118200,0.000000,1.0000,
2024-05-16,1.1380,1.1380,1.138000,0.000000,1.0000,
2024-05-17,1.1570,1.1570,1.157000,0.000000,1.0000,
2024-05-20,1.1559,1.1559,1.155900,0.000000,1.0000,
2024-05-21,1.1446,1.1446,1.144600,0.000000,1.0000,
2024-05-22,1.1509,1.1509,1.150900,0.000000,1.0000,
2024-05-23,1.1317,1.1317,1.131700,0.000000,1.0000,
2024-05-24,1.1230,1.1230,1.123000,0.000000,1.0000,
2024-05-27,1.1409,1.1409,1.140900,0.000000,1.0000,
2024-05-28,1.1422,1.1422,1.142200,0.000000,1.0000,
2024-05-29,1.1295,1.1295,1.129500,0.000000,1.0000,
2024-05-30,1.1116,1.1116,1.111600,0.000000,1.0000,
2024-05-31,1.1061,1.1061,1.106100,0.000000,1.0000,
2024-06-03,1.1211,1.1211,1.121100,0.000000,1.0000,
2024-06-04,1.1295,1.1295,1.129500,0.000000,1.0000,
2024-06-05,1.1162,1.1162,1.116200,0.000000,1.0000,
2024-06-06,1.1221,1.1221,1.122100,0.000000,1.0000,
2024-06-07,1.1364,1.1364,1.136400,0.000000,1.0000,
2024-06-11,1.1093,1.1093,1.109300,0.000000,1.0000,
2024-06-12,1.1074,1.1074,1.107400,0.000000,1.0000,
2024-06-13,1.1097,1.1097,1.109700,0.000000,1.0000,
2024-06-14,1.1098,1.1098,1.109800,0.000000,1.0000,
2024-06-17,1.0976,1.0976,1.097600,0.000000,1.0000,
2024-06-18,1.1083,1.1083,1.108300,0.000000,1.0000,
2024-06-19,1.1346,1.1346,1.134600,0.000000,1.0000,
2024-06-20,1.1392,1.1392,1.139200,0.000000,1.0000,
2024-06-21,1.1249,1.1249,1.124900,0.000000,1.0000,
2024-06-24,1.1218,1.1218,1.121800,0.000000,1.0000,
2024-06-25,1.1293,1.1293,1.129300,0.000000,1.0000,
2024-06-26,1.1310,1.1310,1.131000,0.000000,1.0000,
2024-06-27,1.1105,1.1105,1.110500,0.000000,1.0000,
2024-06-28,1.1306,1.1306,1.130600,0.000000,1.0000,
2024-06-30,1.1306,1.1306,1.130600,0.000000,1.0000,
2024-07-01,1.1305,1.1305,1.130500,0.000000,1.0000,
2024-07-02,1.1511,1.1511,1.151100,0.000000,1.0000,
2024-07-03,1.1655,1.1655,1.165500,0.000000,1.0000,
2024-07-04,1.1685,1.1685,1.168500,0.000000,1.0000,
2024-07-05,1.1564,1.1564,1.156400,0.000000,1.0000,
2024-07-08,1.1406,1.1406,1.140600,0.000000,1.0000,
2024-07-09,1.1384,1.1384,1.138400,0.000000,1.0000,
2024-07-10,1.1194,1.1194,1.119400,0.000000,1.0000,
2024-07-11,1.1334,1.1334,1.133400,0.000000,1.0000,
2024-07-12,1.1460,1.1460,1.146000,0.000000,1.0000,
2024-07-15,1.1405,1.1405,1.140500,0.000000,1.0000,
2024-07-16,1.1287,1.1287,1.128700,0.000000,1.0000,
2024-07-17,1.1114,1.1114,1.111400,0.000000,1.0000,
2024-07-18,1.1214,1.1214,1.121400,0.000000,1.0000,
2024-07-19,1.1010,1.1010,1.101000,0.000000,1.0000,
2024-07-22,1.1039,1.1039,1.103900,0.000000,1.0000,
2024-07-23,1.1010,1.1010,1.101000,0.000000,1.0000,
2024-07-24,1.1083,1.1083,1.108300,0.000000,1.0000,
2024-07-25,1.0821,1.0821,1.082100,0.000000,1.0000,
2024-07-26,1.0788,1.0788,1.078800,0.000000,1.0000,
2024-07-29,1.0881,1.0881,1.088100,0.000000,1.0000,
2024-07-30,1.0733,1.0733,1.073300,0.000000,1.0000,
2024-07-31,1.0925,1.0925,1.092500,0.000000,1.0000,
2024-08-01,1.0942,1.0942,1.094200,0.000000,1.0000,
2024-08-02,1.0900,1.0900,1.090000,0.000000,1.0000,
2024-08-05,1.0646,1.0646,1.064600,0.000000,1.0000,
2024-08-06,1.0613,1.0613,1.061300,0.000000,1.0000,
2024-08-07,1.0749,1.0749,1.074900,0.000000,1.0000,
2024-08-08,1.0735,1.0735,1.073500,0.000000,1.0000,
2024-08-09,1.0800,1.0800,1.080000,0.000000,1.0000,
2024-08-12,1.0800,1.0800,1.080000,0.000000,1.0000,
2024-08-13,1.0862,1.0862,1.086200,0.000000,1.0000,
2024-08-14,1.0838,1.0838,1.083800,0.000000,1.0000,
2024-08-15,1.0930,1.0930,1.093000,0.000000,1.0000,
2024-08-16,1.1034,1.1034,1.103400,0.000000,1.0000,
2024-08-19,1.1157,1.1157,1.115700,0.000000,1.0000,
2024-08-20,1.1086,1.1086,1.108600,0.000000,1.0000,
2024-08-21,1.1032,1.1032,1.103200,0.000000,1.0000,
2024-08-22,1.1050,1.1050,1.105000,0.000000,1.0000,
2024-08-23,1.1077,1.1077,1.107700,0.000000,1.0000,
2024-08-26,1.1067,1.1067,1.106700,0.000000,1.0000,
2024-08-27,1.1196,1.1196,1.119600,0.000000,1.0000,
2024-08-28,1.1072,1.1072,1.107200,0.000000,1.0000,
2024-08-29,1.0978,1.0978,1.097800,0.000000,1.0000,
2024-08-30,1.1027,1.1027,1.102700,0.000000,1.0000,
2024-09-02,1.0916,1.0916,1.091600,0.000000,1.0000,
2024-09-03,1.0807,1.0807,1.080700,0.000000,1.0000,
2024-09-04,1.0677,1.0677,1.067700,0.000000,1.0000,
2024-09-05,1.0627,1.0627,1.062700,0.000000,1.0000,
2024-09-06,1.0618,1.0618,1.061800,0.000000,1.0000,
2024-09-09,1.0336,1.0336,1.033600,0.000000,1.0000,
2024-09-10,1.0304,1.0304,1.030400,0.000000,1.0000,
2024-09-11,1.0159,1.0159,1.015900,0.000000,1.0000,
2024-09-12,1.0217,1.0217,1.021700,0.000000,1.0000,
2024-09-13,1.0296,1.0296,1.029600,0.000000,1.0000,
2024-09-18,1.0364,1.0364,1.036400,0.000000,1.0000,
2024-09-19,1.0548,1.0548,1.054800,0.000000,1.0000,
2024-09-20,1.0606,1.0606,1.060600,0.000000,1.0000,
2024-09-23,1.0678,1.0678,1.067800,0.000000,1.0000,
2024-09-24,1.1157,1.1157,1.115700,0.000000,1.0000,
2024-09-25,1.1273,1.1273,1.127300,0.000000,1.0000,
2024-09-26,1.1661,1.1661,1.166100,0.000000,1.0000,
