date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-05-18,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-05-19,0.9982,0.9982,0.998200,0.000000,1.0000,
2023-05-23,0.9963,0.9963,0.996300,0.000000,1.0000,
2023-05-26,0.9982,0.9982,0.998200,0.000000,1.0000,
2023-05-29,1.0028,1.0028,1.002800,0.000000,1.0000,
2023-05-30,1.0031,1.0031,1.003100,0.000000,1.0000,
2023-05-31,0.9963,0.9963,0.996300,0.000000,1.0000,
2023-06-01,0.9950,0.9950,0.995000,0.000000,1.0000,
2023-06-02,1.0005,1.0005,1.000500,0.000000,1.0000,
2023-06-05,1.0080,1.0080,1.008000,0.000000,1.0000,
2023-06-06,0.9966,0.9966,0.996600,0.000000,1.0000,
2023-06-07,1.0011,1.0011,1.001100,0.000000,1.0000,
2023-06-08,1.0168,1.0168,1.016800,0.000000,1.0000,
2023-06-09,1.0161,1.0161,1.016100,0.000000,1.0000,
2023-06-12,1.0075,1.0075,1.007500,0.000000,1.0000,
2023-06-13,1.0039,1.0039,1.003900,0.000000,1.0000,
2023-06-14,0.9968,0.9968,0.996800,0.000000,1.0000,
2023-06-15,0.9992,0.9992,0.999200,0.000000,1.0000,
2023-06-16,1.0047,1.0047,1.004700,0.000000,1.0000,
2023-06-19,0.9929,0.9929,0.992900,0.000000,1.0000,
2023-06-20,0.9811,0.9811,0.981100,0.000000,1.0000,
2023-06-21,0.9811,0.9811,0.981100,0.000000,1.0000,
2023-06-26,0.9655,0.9655,0.965500,0.000000,1.0000,
2023-06-27,0.9877,0.9877,0.987700,0.000000,1.0000,
2023-06-28,0.9907,0.9907,0.990700,0.000000,1.0000,
2023-06-29,0.9876,0.9876,0.987600,0.000000,1.0000,
2023-06-30,0.9927,0.9927,0.992700,0.000000,1.0000,
2023-07-03,1.0136,1.0136,1.013600,0.000000,1.0000,
2023-07-04,1.0063,1.0063,1.006300,0.000000,1.0000,
2023-07-05,1.0046,1.0046,1.004600,0.000000,1.0000,
2023-07-06,0.9998,0.9998,0.999800,0.000000,1.0000,
2023-07-07,1.0033,1.0033,1.003300,0.000000,1.0000,
2023-07-10,1.0034,1.0034,1.003400,0.000000,1.0000,
2023-07-11,1.0053,1.0053,1.005300,0.000000,1.0000,
2023-07-12,0.9969,0.9969,0.996900,0.000000,1.0000,
2023-07-13,1.0104,1.0104,1.010400,0.000000,1.0000,
2023-07-14,1.0129,1.0129,1.012900,0.000000,1.0000,
2023-07-17,1.0097,1.0097,1.009700,0.000000,1.0000,
2023-07-18,1.0070,1.0070,1.007000,0.000000,1.0000,
2023-07-19,1.0127,1.0127,1.012700,0.000000,1.0000,
2023-07-20,1.0063,1.0063,1.006300,0.000000,1.0000,
2023-07-21,1.0045,1.0045,1.004500,0.000000,1.0000,
2023-07-24,1.0032,1.0032,1.003200,0.000000,1.0000,
2023-07-25,1.0273,1.0273,1.027300,0.000000,1.0000,
2023-07-26,1.0235,1.0235,1.023500,0.000000,1.0000,
2023-07-27,1.0263,1.0263,1.026300,0.000000,1.0000,
2023-07-28,1.0473,1.0473,1.047300,0.000000,1.0000,
2023-07-31,1.0544,1.0544,1.054400,0.000000,1.0000,
2023-08-01,1.0574,1.0574,1.057400,0.000000,1.0000,
2023-08-02,1.0442,1.0442,1.044200,0.000000,1.0000,
2023-08-03,1.0494,1.0494,1.049400,0.000000,1.0000,
2023-08-04,1.0503,1.0503,1.050300,0.000000,1.0000,
2023-08-07,1.0396,1.0396,1.039600,0.000000,1.0000,
2023-08-08,1.0364,1.0364,1.036400,0.000000,1.0000,
2023-08-09,1.0330,1.0330,1.033000,0.000000,1.0000,
2023-08-10,1.0370,1.0370,1.037000,0.000000,1.0000,
2023-08-11,1.0173,1.0173,1.017300,0.000000,1.0000,
2023-08-14,1.0191,1.0191,1.019100,0.000000,1.0000,
2023-08-15,1.0268,1.0268,1.026800,0.000000,1.0000,
2023-08-16,1.0199,1.0199,1.019900,0.000000,1.0000,
2023-08-17,1.0212,1.0212,1.021200,0.000000,1.0000,
2023-08-18,1.0147,1.0147,1.014700,0.000000,1.0000,
2023-08-21,1.0039,1.0039,1.003900,0.000000,1.0000,
2023-08-22,1.0154,1.0154,1.015400,0.000000,1.0000,
2023-08-23,1.0085,1.0085,1.008500,0.000000,1.0000,
2023-08-24,0.9916,0.9916,0.991600,0.000000,1.0000,
2023-08-25,0.9942,0.9942,0.994200,0.000000,1.0000,
2023-08-28,1.0123,1.0123,1.012300,0.000000,1.0000,
2023-08-29,1.0091,1.0091,1.009100,0.000000,1.0000,
2023-08-30,1.0018,1.0018,1.001800,0.000000,1.0000,
2023-08-31,0.9932,0.9932,0.993200,0.000000,1.0000,
2023-09-01,1.0040,1.0040,1.004000,0.000000,1.0000,
2023-09-04,1.0263,1.0263,1.026300,0.000000,1.0000,
2023-09-05,1.0175,1.0175,1.017500,0.000000,1.0000,
2023-09-06,1.0148,1.0148,1.014800,0.000000,1.0000,
2023-09-07,1.0099,1.0099,1.009900,0.000000,1.0000,
2023-09-08,1.0045,1.0045,1.004500,0.000000,1.0000,
2023-09-11,1.0092,1.0092,1.009200,0.000000,1.0000,
2023-09-12,1.0059,1.0059,1.005900,0.000000,1.0000,
2023-09-13,1.0070,1.0070,1.007000,0.000000,1.0000,
2023-09-14,1.0148,1.0148,1.014800,0.000000,1.0000,
2023-09-15,1.0091,1.0091,1.009100,0.000000,1.0000,
2023-09-18,1.0046,1.0046,1.004600,0.000000,1.0000,
2023-09-19,1.0118,1.0118,1.011800,0.000000,1.0000,
2023-09-20,1.0128,1.0128,1.012800,0.000000,1.0000,
2023-09-21,1.0059,1.0059,1.005900,0.000000,1.0000,
2023-09-22,1.0140,1.0140,1.014000,0.000000,1.0000,
2023-09-25,1.0085,1.0085,1.008500,0.000000,1.0000,
2023-09-26,1.0043,1.0043,1.004300,0.000000,1.0000,
2023-09-27,1.0010,1.0010,1.001000,0.000000,1.0000,
2023-09-28,1.0025,1.0025,1.002500,0.000000,1.0000,
2023-10-09,0.9976,0.9976,0.997600,0.000000,1.0000,
2023-10-10,0.9825,0.9825,0.982500,0.000000,1.0000,
2023-10-11,0.9775,0.9775,0.977500,0.000000,1.0000,
2023-10-12,0.9927,0.9927,0.992700,0.000000,1.0000,
2023-10-13,0.9902,0.9902,0.990200,0.000000,1.0000,
2023-10-16,0.9934,0.9934,0.993400,0.000000,1.0000,
2023-10-17,1.0005,1.0005,1.000500,0.000000,1.0000,
2023-10-18,0.9972,0.9972,0.997200,0.000000,1.0000,
2023-10-19,0.9768,0.9768,0.976800,0.000000,1.0000,
2023-10-20,0.9706,0.9706,0.970600,0.000000,1.0000,
2023-10-23,0.9542,0.9542,0.954200,0.000000,1.0000,
2023-10-24,0.9588,0.9588,0.958800,0.000000,1.0000,
2023-10-25,0.9675,0.9675,0.967500,0.000000,1.0000,
2023-10-26,0.9724,0.9724,0.972400,0.000000,1.0000,
2023-10-27,0.9740,0.9740,0.974000,0.000000,1.0000,
2023-10-30,0.9617,0.9617,0.961700,0.000000,1.0000,
2023-10-31,0.9634,0.9634,0.963400,0.000000,1.0000,
2023-11-01,0.9642,0.9642,0.964200,0.000000,1.0000,
2023-11-02,0.9636,0.9636,0.963600,0.000000,1.0000,
2023-11-03,0.9596,0.9596,0.959600,0.000000,1.0000,
2023-11-06,0.9582,0.9582,0.958200,0.000000,1.0000,
2023-11-07,0.9587,0.9587,0.958700,0.000000,1.0000,
2023-11-08,0.9542,0.9542,0.954200,0.000000,1.0000,
2023-11-09,0.9596,0.9596,0.959600,0.000000,1.0000,
2023-11-10,0.9565,0.9565,0.956500,0.000000,1.0000,
2023-11-13,0.9623,0.9623,0.962300,0.000000,1.0000,
2023-11-14,0.9624,0.9624,0.962400,0.000000,1.0000,
2023-11-15,0.9702,0.9702,0.970200,0.000000,1.0000,
2023-11-16,0.9664,0.9664,0.966400,0.000000,1.0000,
2023-11-17,0.9650,0.9650,0.965000,0.000000,1.0000,
2023-11-20,0.9669,0.9669,0.966900,0.000000,1.0000,
2023-11-21,0.9728,0.9728,0.972800,0.000000,1.0000,
2023-11-22,0.9661,0.9661,0.966100,0.000000,1.0000,
2023-11-23,0.9704,0.9704,0.970400,0.000000,1.0000,
2023-11-24,0.9674,0.9674,0.967400,0.000000,1.0000,
2023-11-27,0.9620,0.9620,0.962000,0.000000,1.0000,
2023-11-28,0.9630,0.9630,0.963000,0.000000,1.0000,
2023-11-29,0.9555,0.9555,0.955500,0.000000,1.0000,
2023-11-30,0.9605,0.9605,0.960500,0.000000,1.0000,
2023-12-01,0.9645,0.9645,0.964500,0.000000,1.0000,
2023-12-04,0.9658,0.9658,0.965800,0.000000,1.0000,
2023-12-05,0.9506,0.9506,0.950600,0.000000,1.0000,
2023-12-06,0.9466,0.9466,0.946600,0.000000,1.0000,
2023-12-07,0.9475,0.9475,0.947500,0.000000,1.0000,
2023-12-08,0.9458,0.9458,0.945800,0.000000,1.0000,
2023-12-11,0.9496,0.9496,0.949600,0.000000,1.0000,
2023-12-12,0.9572,0.9572,0.957200,0.000000,1.0000,
2023-12-13,0.9483,0.9483,0.948300,0.000000,1.0000,
2023-12-14,0.9463,0.9463,0.946300,0.000000,1.0000,
2023-12-15,0.9406,0.9406,0.940600,0.000000,1.0000,
2023-12-18,0.9392,0.9392,0.939200,0.000000,1.0000,
2023-12-19,0.9368,0.9368,0.936800,0.000000,1.0000,
2023-12-20,0.9331,0.9331,0.933100,0.000000,1.0000,
2023-12-21,0.9345,0.9345,0.934500,0.000000,1.0000,
2023-12-22,0.9368,0.9368,0.936800,0.000000,1.0000,
2023-12-25,0.9370,0.9370,0.937000,0.000000,1.0000,
2023-12-26,0.9345,0.9345,0.934500,0.000000,1.0000,
2023-12-27,0.9404,0.9404,0.940400,0.000000,1.0000,
2023-12-28,0.9436,0.9436,0.943600,0.000000,1.0000,
2023-12-29,0.9451,0.9451,0.945100,0.000000,1.0000,
2023-12-31,0.9451,0.9451,0.945100,0.000000,1.0000,
2024-01-02,0.9503,0.9503,0.950300,0.000000,1.0000,
2024-01-03,0.9587,0.9587,0.958700,0.000000,1.0000,
2024-01-04,0.9614,0.9614,0.961400,0.000000,1.0000,
2024-01-05,0.9603,0.9603,0.960300,0.000000,1.0000,
2024-01-08,0.9507,0.9507,0.950700,0.000000,1.0000,
2024-01-09,0.9540,0.9540,0.954000,0.000000,1.0000,
2024-01-10,0.9477,0.9477,0.947700,0.000000,1.0000,
2024-01-11,0.9429,0.9429,0.942900,0.000000,1.0000,
2024-01-12,0.9480,0.9480,0.948000,0.000000,1.0000,
2024-01-15,0.9538,0.9538,0.953800,0.000000,1.0000,
2024-01-16,0.9567,0.9567,0.956700,0.000000,1.0000,
2024-01-17,0.9424,0.9424,0.942400,0.000000,1.0000,
2024-01-18,0.9348,0.9348,0.934800,0.000000,1.0000,
2024-01-19,0.9291,0.9291,0.929100,0.000000,1.0000,
2024-01-22,0.9072,0.9072,0.907200,0.000000,1.0000,
2024-01-23,0.9146,0.9146,0.914600,0.000000,1.0000,
2024-01-24,0.9434,0.9434,0.943400,0.000000,1.0000,
2024-01-25,0.9823,0.9823,0.982300,0.000000,1.0000,
2024-01-26,0.9955,0.9955,0.995500,0.000000,1.0000,
2024-01-29,1.0032,1.0032,1.003200,0.000000,1.0000,
2024-01-30,0.9913,0.9913,0.991300,0.000000,1.0000,
2024-01-31,0.9898,0.9898,0.989800,0.000000,1.0000,
2024-02-01,0.9754,0.9754,0.975400,0.000000,1.0000,
2024-02-02,0.9708,0.9708,0.970800,0.000000,1.0000,
2024-02-05,0.9682,0.9682,0.968200,0.000000,1.0000,
2024-02-06,0.9875,0.9875,0.987500,0.000000,1.0000,
2024-02-07,0.9968,0.9968,0.996800,0.000000,1.0000,
2024-02-08,0.9984,0.9984,0.998400,0.000000,1.0000,
2024-02-19,1.0185,1.0185,1.018500,0.000000,1.0000,
2024-02-20,1.0265,1.0265,1.026500,0.000000,1.0000,
2024-02-21,1.0340,1.0340,1.034000,0.000000,1.0000,
2024-02-22,1.0456,1.0456,1.045600,0.000000,1.0000,
2024-02-23,1.0465,1.0465,1.046500,0.000000,1.0000,
2024-02-26,1.0269,1.0269,1.026900,0.000000,1.0000,
2024-02-27,1.0303,1.0303,1.030300,0.000000,1.0000,
2024-02-28,1.0239,1.0239,1.023900,0.000000,1.0000,
2024-02-29,1.0346,1.0346,1.034600,0.000000,1.0000,
2024-03-01,1.0342,1.0342,1.034200,0.000000,1.0000,
2024-03-04,1.0348,1.0348,1.034800,0.000000,1.0000,
2024-03-05,1.0443,1.0443,1.044300,0.000000,1.0000,
2024-03-06,1.0395,1.0395,1.039500,0.000000,1.0000,
2024-03-07,1.0442,1.0442,1.044200,0.000000,1.0000,
2024-03-08,1.0454,1.0454,1.045400,0.000000,1.0000,
2024-03-11,1.0419,1.0419,1.041900,0.000000,1.0000,
2024-03-12,1.0214,1.0214,1.021400,0.000000,1.0000,
2024-03-13,1.0166,1.0166,1.016600,0.000000,1.0000,
2024-03-14,1.0197,1.0197,1.019700,0.000000,1.0000,
2024-03-15,1.0240,1.0240,1.024000,0.000000,1.0000,
2024-03-18,1.0267,1.0267,1.026700,0.000000,1.0000,
2024-03-19,1.0210,1.0210,1.021000,0.000000,1.0000,
2024-03-20,1.0269,1.0269,1.026900,0.000000,1.0000,
2024-03-21,1.0265,1.0265,1.026500,0.000000,1.0000,
2024-03-22,1.0179,1.0179,1.017900,0.000000,1.0000,
2024-03-25,1.0218,1.0218,1.021800,0.000000,1.0000,
2024-03-26,1.0263,1.0263,1.026300,0.000000,1.0000,
2024-03-27,1.0240,1.0240,1.024000,0.000000,1.0000,
2024-03-28,1.0179,1.0179,1.017900,0.000000,1.0000,
2024-03-29,1.0298,1.0298,1.029800,0.000000,1.0000,
2024-04-01,1.0368,1.0368,1.036800,0.000000,1.0000,
2024-04-02,1.0413,1.0413,1.041300,0.000000,1.0000,
2024-04-03,1.0454,1.0454,1.045400,0.000000,1.0000,
2024-04-08,1.0473,1.0473,1.047300,0.000000,1.0000,
2024-04-09,1.0417,1.0417,1.041700,0.000000,1.0000,
2024-04-10,1.0418,1.0418,1.041800,0.000000,1.0000,
2024-04-11,1.0471,1.0471,1.047100,0.000000,1.0000,
2024-04-12,1.0402,1.0402,1.040200,0.000000,1.0000,
2024-04-15,1.0697,1.0697,1.069700,0.000000,1.0000,
2024-04-16,1.0647,1.0647,1.064700,0.000000,1.0000,
2024-04-17,1.0852,1.0852,1.085200,0.000000,1.0000,
2024-04-18,1.0864,1.0864,1.086400,0.000000,1.0000,
2024-04-19,1.0896,1.0896,1.089600,0.000000,1.0000,
2024-04-22,1.0700,1.0700,1.070000,0.000000,1.0000,
2024-04-23,1.0554,1.0554,1.055400,0.000000,1.0000,
2024-04-24,1.0582,1.0582,1.058200,0.000000,1.0000,
2024-04-25,1.0624,1.0624,1.062400,0.000000,1.0000,
2024-04-26,1.0611,1.0611,1.061100,0.000000,1.0000,
2024-04-29,1.0569,1.0569,1.056900,0.000000,1.0000,
2024-04-30,1.0547,1.0547,1.054700,0.000000,1.0000,
2024-05-06,1.0621,1.0621,1.062100,0.000000,1.0000,
2024-05-07,1.0641,1.0641,1.064100,0.000000,1.0000,
2024-05-08,1.0633,1.0633,1.063300,0.000000,1.0000,
2024-05-09,1.0715,1.0715,1.071500,0.000000,1.0000,
2024-05-10,1.0782,1.0782,1.078200,0.000000,1.0000,
2024-05-13,1.0830,1.0830,1.083000,0.000000,1.0000,
2024-05-14,1.0748,1.0748,1.074800,0.000000,1.0000,
2024-05-15,1.0696,1.0696,1.069600,0.000000,1.0000,
