date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-05-06,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-05-10,1.0048,1.0048,1.004800,0.000000,1.0000,
2024-05-13,1.0075,1.0075,1.007500,0.000000,1.0000,
2024-05-14,1.0010,1.0010,1.001000,0.000000,1.0000,
2024-05-15,1.0006,1.0006,1.000600,0.000000,1.0000,
2024-05-16,1.0032,1.0032,1.003200,0.000000,1.0000,
2024-05-17,1.0106,1.0106,1.010600,0.000000,1.0000,
2024-05-20,1.0153,1.0153,1.015300,0.000000,1.0000,
2024-05-21,1.0201,1.0201,1.020100,0.000000,1.0000,
2024-05-22,1.0212,1.0212,1.021200,0.000000,1.0000,
2024-05-23,1.0138,1.0138,1.013800,0.000000,1.0000,
2024-05-24,1.0096,1.0096,1.009600,0.000000,1.0000,
2024-05-27,1.0234,1.0234,1.023400,0.000000,1.0000,
2024-05-28,1.0229,1.0229,1.022900,0.000000,1.0000,
2024-05-29,1.0222,1.0222,1.022200,0.000000,1.0000,
2024-05-30,1.0129,1.0129,1.012900,0.000000,1.0000,
2024-05-31,1.0122,1.0122,1.012200,0.000000,1.0000,
2024-06-03,1.0112,1.0112,1.011200,0.000000,1.0000,
2024-06-04,1.0109,1.0109,1.010900,0.000000,1.0000,
2024-06-05,1.0031,1.0031,1.003100,0.000000,1.0000,
2024-06-06,1.0093,1.0093,1.009300,0.000000,1.0000,
2024-06-07,1.0158,1.0158,1.015800,0.000000,1.0000,
2024-06-11,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-06-12,1.0067,1.0067,1.006700,0.000000,1.0000,
2024-06-13,0.9998,0.9998,0.999800,0.000000,1.0000,
2024-06-14,1.0012,1.0012,1.001200,0.000000,1.0000,
2024-06-17,0.9885,0.9885,0.988500,0.000000,1.0000,
2024-06-18,0.9929,0.9929,0.992900,0.000000,1.0000,
2024-06-19,0.9954,0.9954,0.995400,0.000000,1.0000,
2024-06-20,0.9983,0.9983,0.998300,0.000000,1.0000,
2024-06-21,0.9965,0.9965,0.996500,0.000000,1.0000,
2024-06-24,0.9941,0.9941,0.994100,0.000000,1.0000,
2024-06-25,0.9965,0.9965,0.996500,0.000000,1.0000,
2024-06-26,0.9992,0.9992,0.999200,0.000000,1.0000,
2024-06-27,1.0003,1.0003,1.000300,0.000000,1.0000,
2024-06-28,1.0092,1.0092,1.009200,0.000000,1.0000,
2024-06-30,1.0091,1.0091,1.009100,0.000000,1.0000,
2024-07-01,1.0233,1.0233,1.023300,0.000000,1.0000,
2024-07-02,1.0303,1.0303,1.030300,0.000000,1.0000,
2024-07-03,1.0234,1.0234,1.023400,0.000000,1.0000,
2024-07-04,1.0252,1.0252,1.025200,0.000000,1.0000,
2024-07-05,1.0158,1.0158,1.015800,0.000000,1.0000,
2024-07-08,1.0204,1.0204,1.020400,0.000000,1.0000,
2024-07-09,1.0283,1.0283,1.028300,0.000000,1.0000,
2024-07-10,1.0169,1.0169,1.016900,0.000000,1.0000,
2024-07-11,1.0173,1.0173,1.017300,0.000000,1.0000,
2024-07-12,1.0224,1.0224,1.022400,0.000000,1.0000,
2024-07-15,1.0349,1.0349,1.034900,0.000000,1.0000,
2024-07-16,1.0333,1.0333,1.033300,0.000000,1.0000,
2024-07-17,1.0287,1.0287,1.028700,0.000000,1.0000,
2024-07-18,1.0319,1.0319,1.031900,0.000000,1.0000,
2024-07-19,1.0278,1.0278,1.027800,0.000000,1.0000,
2024-07-22,1.0163,1.0163,1.016300,0.000000,1.0000,
2024-07-23,1.0138,1.0138,1.013800,0.000000,1.0000,
2024-07-24,1.0157,1.0157,1.015700,0.000000,1.0000,
2024-07-25,1.0088,1.0088,1.008800,0.000000,1.0000,
2024-07-26,1.0060,1.0060,1.006000,0.000000,1.0000,
2024-07-29,1.0131,1.0131,1.013100,0.000000,1.0000,
2024-07-30,1.0032,1.0032,1.003200,0.000000,1.0000,
2024-07-31,1.0058,1.0058,1.005800,0.000000,1.0000,
2024-08-01,1.0083,1.0083,1.008300,0.000000,1.0000,
2024-08-02,1.0060,1.0060,1.006000,0.000000,1.0000,
2024-08-05,0.9953,0.9953,0.995300,0.000000,1.0000,
2024-08-06,0.9886,0.9886,0.988600,0.000000,1.0000,
2024-08-07,0.9924,0.9924,0.992400,0.000000,1.0000,
2024-08-08,0.9935,0.9935,0.993500,0.000000,1.0000,
