date,nav
2021-08-02,1.0111
2021-08-03,1.0161
2021-08-04,1.0169
2021-08-05,1.0132
2021-08-06,1.0133
2021-08-09,1.0281
2021-08-10,1.0364
2021-08-11,1.0392
2021-08-12,1.0352
2021-08-13,1.0401
2021-08-16,1.0474
2021-08-17,1.0321
2021-08-18,1.0486
2021-08-19,1.0379
2021-08-20,1.0337
2021-08-23,1.0457
2021-08-24,1.0547
2021-08-25,1.061
2021-08-26,1.0611
2021-08-27,1.0699
2021-08-30,1.0719
2021-08-31,1.0865
2021-09-01,1.0923
2021-09-02,1.1124
2021-09-03,1.1124
2021-09-06,1.1245
2021-09-07,1.1403
2021-09-08,1.1547
2021-09-09,1.1691
2021-09-10,1.1656
2021-09-13,1.1766
2021-09-14,1.1489
2021-09-15,1.1516
2021-09-16,1.1375
2021-09-17,1.136
2021-09-22,1.1466
2021-09-23,1.1629
2021-09-24,1.136
2021-09-27,1.1017
2021-09-28,1.1138
2021-09-29,1.0858
2021-09-30,1.0949
2021-10-08,1.0975
2021-10-11,1.0838
2021-10-12,1.0609
2021-10-13,1.0542
2021-10-14,1.0566
2021-10-15,1.0518
2021-10-18,1.0593
2021-10-19,1.0672
2021-10-20,1.066
2021-10-21,1.0679
2021-10-22,1.057
2021-10-25,1.0674
2021-10-26,1.0644
2021-10-27,1.0557
2021-10-28,1.0459
2021-10-29,1.0559
2021-11-01,1.0655
2021-11-02,1.047
2021-11-03,1.0515
2021-11-04,1.0585
2021-11-05,1.0423
2021-11-08,1.043
2021-11-09,1.047
2021-11-10,1.0456
2021-11-11,1.0546
2021-11-12,1.0524
2021-11-15,1.0537
2021-11-16,1.0506
2021-11-17,1.0568
2021-11-18,1.0541
2021-11-19,1.066
2021-11-22,1.0737
2021-11-23,1.0789
2021-11-24,1.0817
2021-11-25,1.0831
2021-11-26,1.0795
2021-11-29,1.0758
2021-11-30,1.0768
2021-12-01,1.0866
2021-12-02,1.0895
2021-12-03,1.1066
2021-12-06,1.0943
2021-12-07,1.0964
2021-12-08,1.1024
2021-12-09,1.1061
2021-12-10,1.0957
2021-12-13,1.099
2021-12-14,1.0933
2021-12-15,1.0961
2021-12-16,1.1009
2021-12-17,1.1011
2021-12-20,1.0996
2021-12-21,1.1112
2021-12-22,1.1122
2021-12-23,1.1149
2021-12-24,1.1133
2021-12-27,1.115
2021-12-28,1.1149
2021-12-29,1.1134
2021-12-30,1.1155
2021-12-31,1.1243
2022-01-04,1.1428
2022-01-05,1.1413
2022-01-06,1.1455
2022-01-07,1.1545
2022-01-10,1.1635
2022-01-11,1.1694
2022-01-12,1.169
2022-01-13,1.1682
2022-01-14,1.1603
2022-01-17,1.1599
2022-01-18,1.1619
2022-01-19,1.1707
2022-01-20,1.1687
2022-01-21,1.1624
2022-01-24,1.1622
2022-01-25,1.1381
2022-01-26,1.1414
2022-01-27,1.132
2022-01-28,1.1317
2022-02-07,1.1613
2022-02-08,1.1761
2022-02-09,1.1828
2022-02-10,1.1902
2022-02-11,1.1751
2022-02-14,1.1615
2022-02-15,1.1505
2022-02-16,1.1621
2022-02-17,1.1551
2022-02-18,1.1691
