date,nav
2024-05-15,0.912
2024-05-16,0.912
2024-05-17,0.916
2024-05-20,0.934
2024-05-21,0.941
2024-05-22,0.942
2024-05-23,0.93
2024-05-24,0.928
2024-05-27,0.945
2024-05-28,0.944
2024-05-29,0.948
2024-05-30,0.933
2024-05-31,0.938
2024-06-03,0.934
2024-06-04,0.934
2024-06-05,0.921
2024-06-06,0.93
2024-06-07,0.938
2024-06-11,0.928
2024-06-12,0.942
2024-06-13,0.934
2024-06-14,0.933
2024-06-17,0.917
2024-06-18,0.918
2024-06-19,0.919
2024-06-20,0.922
2024-06-21,0.921
2024-06-24,0.908
2024-06-25,0.909
2024-06-26,0.914
2024-06-27,0.914
2024-06-28,0.922
2024-07-01,0.945
2024-07-02,0.946
2024-07-03,0.937
2024-07-04,0.934
2024-07-05,0.931
2024-07-08,0.928
2024-07-09,0.938
2024-07-10,0.915
2024-07-11,0.913
2024-07-12,0.911
2024-07-15,0.924
2024-07-16,0.921
2024-07-17,0.915
2024-07-18,0.917
2024-07-19,0.912
2024-07-22,0.904
2024-07-23,0.9
2024-07-24,0.902
2024-07-25,0.897
2024-07-26,0.894
2024-07-29,0.897
2024-07-30,0.892
2024-07-31,0.899
2024-08-01,0.901
2024-08-02,0.898
2024-08-05,0.883
2024-08-06,0.881
2024-08-07,0.886
2024-08-08,0.888
2024-08-09,0.885
2024-08-12,0.892
2024-08-13,0.893
2024-08-14,0.891
2024-08-15,0.902
2024-08-16,0.904
2024-08-19,0.915
2024-08-20,0.903
2024-08-21,0.894
2024-08-22,0.895
2024-08-23,0.892
2024-08-26,0.886
2024-08-27,0.893
2024-08-28,0.889
2024-08-29,0.868
2024-08-30,0.868
2024-09-02,0.875
2024-09-03,0.863
2024-09-04,0.862
2024-09-05,0.86
2024-09-06,0.854
2024-09-09,0.84
2024-09-10,0.84
2024-09-11,0.817
2024-09-12,0.82
2024-09-13,0.82
2024-09-18,0.831
2024-09-19,0.829
2024-09-20,0.828
2024-09-23,0.84
2024-09-24,0.884
2024-09-25,0.896
2024-09-26,0.922
2024-09-27,0.92
2024-09-30,0.975
2024-10-08,0.976
2024-10-09,0.916
2024-10-10,0.952
2024-10-11,0.938
2024-10-14,0.961
2024-10-15,0.939
2024-10-16,0.949
2024-10-17,0.938
2024-10-18,0.942
2024-10-21,0.936
2024-10-22,0.939
2024-10-23,0.938
2024-10-24,0.932
2024-10-25,0.931
2024-10-28,0.931
2024-10-29,0.92
2024-10-30,0.907
2024-10-31,0.898
2024-11-01,0.91
2024-11-04,0.913
2024-11-05,0.92
2024-11-06,0.914
2024-11-07,0.929
2024-11-08,0.922
2024-11-11,0.913
2024-11-12,0.906
2024-11-13,0.91
2024-11-14,0.904
2024-11-15,0.907
2024-11-18,0.924
2024-11-19,0.921
2024-11-20,0.921
2024-11-21,0.922
2024-11-22,0.905
2024-11-25,0.9
2024-11-26,0.901
2024-11-27,0.909
2024-11-28,0.907
2024-11-29,0.911
2024-12-02,0.91
2024-12-03,0.921
2024-12-04,0.929
2024-12-05,0.93
2024-12-06,0.943
2024-12-09,0.946
2024-12-10,0.946
2024-12-11,0.944
2024-12-12,0.946
2024-12-13,0.934
2024-12-16,0.944
2024-12-17,0.946
2024-12-18,0.951
2024-12-19,0.939
2024-12-20,0.93
2024-12-23,0.934
2024-12-24,0.942
2024-12-25,0.951
2024-12-26,0.946
2024-12-27,0.946
2024-12-30,0.958
2024-12-31,0.955
2025-01-02,0.928
2025-01-03,0.924
2025-01-06,0.921
2025-01-07,0.919
2025-01-08,0.917
2025-01-09,0.903
2025-01-10,0.893
2025-01-13,0.887
2025-01-14,0.9
2025-01-15,0.902
2025-01-16,0.909
2025-01-17,0.908
2025-01-20,0.898
2025-01-21,0.891
2025-01-22,0.884
2025-01-23,0.896
2025-01-24,0.9
2025-01-27,0.915
2025-02-05,0.897
2025-02-06,0.899
2025-02-07,0.904
2025-02-10,0.902
2025-02-11,0.904
2025-02-12,0.904
2025-02-13,0.906
2025-02-14,0.905
2025-02-17,0.903
2025-02-18,0.904
2025-02-19,0.898
2025-02-20,0.897
2025-02-21,0.889
2025-02-24,0.885
2025-02-25,0.877
2025-02-26,0.886
2025-02-27,0.889
2025-02-28,0.886
2025-03-03,0.884
2025-03-04,0.882
2025-03-05,0.883
2025-03-06,0.882
2025-03-07,0.882
2025-03-10,0.882
2025-03-11,0.886
2025-03-12,0.884
2025-03-13,0.896
2025-03-14,0.9
2025-03-17,0.905
2025-03-18,0.9
2025-03-19,0.902
2025-03-20,0.901
2025-03-21,0.901
2025-03-24,0.906
2025-03-25,0.918
2025-03-26,0.919
2025-03-27,0.918
2025-03-28,0.911
2025-03-31,0.91
2025-04-01,0.915
2025-04-02,0.918
2025-04-03,0.919
2025-04-07,0.866
2025-04-08,0.88
2025-04-09,0.878
2025-04-10,0.884
2025-04-11,0.878
2025-04-14,0.89
2025-04-15,0.894
2025-04-16,0.901
2025-04-17,0.902
2025-04-18,0.904
2025-04-21,0.898
2025-04-22,0.902
2025-04-23,0.898
2025-04-24,0.903
2025-04-25,0.902
2025-04-28,0.905
2025-04-29,0.898
2025-04-30,0.883
2025-05-06,0.885
2025-05-07,0.892
2025-05-08,0.893
2025-05-09,0.899
2025-05-12,0.902
2025-05-13,0.911
2025-05-14,0.921
2025-05-15,0.918
2025-05-16,0.912
2025-05-19,0.914
2025-05-20,0.914
2025-05-21,0.925
2025-05-22,0.926
2025-05-23,0.92
2025-05-26,0.915
2025-05-27,0.911
2025-05-28,0.912
2025-05-29,0.915
2025-05-30,0.918
2025-06-03,0.922
2025-06-04,0.925
2025-06-05,0.917
2025-06-06,0.918
2025-06-09,0.919
2025-06-10,0.922
2025-06-11,0.925
2025-06-12,0.924
2025-06-13,0.92
2025-06-16,0.922
2025-06-17,0.925
2025-06-18,0.926
2025-06-19,0.921
2025-06-20,0.926
2025-06-23,0.934
2025-06-24,0.933
2025-06-25,0.937
2025-06-26,0.938
2025-06-27,0.93
2025-06-30,0.931
2025-07-01,0.938
2025-07-02,0.946
2025-07-03,0.947
2025-07-04,0.953
2025-07-07,0.954
2025-07-08,0.952
2025-07-09,0.957
2025-07-10,0.965
2025-07-11,0.961
2025-07-14,0.966
2025-07-15,0.954
2025-07-16,0.948
2025-07-17,0.948
2025-07-18,0.952
2025-07-21,0.961
2025-07-22,0.985
2025-07-23,0.982
2025-07-24,0.986
2025-07-25,0.981
2025-07-28,0.968
2025-07-29,0.968
2025-07-30,0.97
2025-07-31,0.952
2025-08-01,0.95
2025-08-04,0.954
2025-08-05,0.965
2025-08-06,0.972
2025-08-07,0.974
2025-08-08,0.973
2025-08-11,0.967
2025-08-12,0.973
2025-08-13,0.964
2025-08-14,0.958
2025-08-15,0.957
2025-08-18,0.954
2025-08-19,0.952
2025-08-20,0.959
2025-08-21,0.966
2025-08-22,0.963
2025-08-25,0.972
2025-08-26,0.967
2025-08-27,0.948
2025-08-28,0.946
2025-08-29,0.939
2025-09-01,0.933
2025-09-02,0.94
2025-09-03,0.931
2025-09-04,0.935
2025-09-05,0.932
2025-09-08,0.934
2025-09-09,0.936
2025-09-10,0.933
2025-09-11,0.934
2025-09-12,0.932
2025-09-15,0.929
2025-09-16,0.93
2025-09-17,0.935
2025-09-18,0.918
2025-09-19,0.924
2025-09-22,0.918
2025-09-23,0.923
2025-09-24,0.924
2025-09-25,0.917
2025-09-26,0.919
2025-09-29,0.917
2025-09-30,0.915
2025-10-09,0.922
2025-10-10,0.934
2025-10-13,0.934
2025-10-14,0.953
2025-10-15,0.958
2025-10-16,0.973
2025-10-17,0.968
2025-10-20,0.982
2025-10-21,0.978
2025-10-22,0.977
2025-10-23,0.987
2025-10-24,0.981
2025-10-27,0.986
2025-10-28,0.982
2025-10-29,0.979
2025-10-30,0.974
2025-10-31,0.973
2025-11-03,0.989
2025-11-04,0.996
2025-11-05,1.001
2025-11-06,1.002
2025-11-07,1.001
2025-11-10,1.008
2025-11-11,1.004
2025-11-12,1.009
2025-11-13,1.011
2025-11-14,1.005
2025-11-17,1.002
2025-11-18,0.985
2025-11-19,0.991
2025-11-20,0.988
2025-11-21,0.975
2025-11-24,0.966
2025-11-25,0.969
2025-11-26,0.963
2025-11-27,0.966
2025-11-28,0.965
2025-12-01,0.969
2025-12-02,0.969
2025-12-03,0.968
2025-12-04,0.964
2025-12-05,0.959
2025-12-08,0.955
2025-12-09,0.948
2025-12-10,0.945
2025-12-11,0.938
2025-12-12,0.934
2025-12-15,0.942
2025-12-16,0.93
2025-12-17,0.93
2025-12-18,0.942
2025-12-19,0.941
2025-12-22,0.938
2025-12-23,0.937
2025-12-24,0.939
2025-12-25,0.941
2025-12-26,0.946
2025-12-29,0.944
2025-12-30,0.942
2025-12-31,0.938
2026-01-05,0.939
2026-01-06,0.948
2026-01-07,0.957
2026-01-08,0.956
2026-01-09,0.958
2026-01-12,0.959
2026-01-13,0.955
2026-01-14,0.948
2026-01-15,0.942
2026-01-16,0.932
2026-01-19,0.934
2026-01-20,0.943
2026-01-21,0.937
2026-01-22,0.945
2026-01-23,0.942
2026-01-26,0.952
2026-01-27,0.941
2026-01-28,0.959
2026-01-29,0.975
2026-01-30,0.968
2026-02-02,0.935
2026-02-03,0.937
2026-02-04,0.978
2026-02-05,0.968
2026-02-06,0.965
2026-02-09,0.969
2026-02-10,0.975
2026-02-11,0.983
2026-02-12,0.982
2026-02-13,0.97
2026-02-24,0.985
2026-02-25,0.984
2026-02-26,0.982
2026-02-27,0.996
2026-03-02,1.018
2026-03-03,1.039
2026-03-04,1.02
2026-03-05,1.016
2026-03-06,1.01
2026-03-09,1.02
2026-03-10,1.005
2026-03-11,1.021
2026-03-12,1.042
2026-03-13,1.039
2026-03-16,1.028
2026-03-17,1.018
2026-03-18,1.012
2026-03-19,1.014
2026-03-20,1.011
2026-03-23,0.999
2026-03-24,1.005
2026-03-25,1.001
2026-03-26,1.008
2026-03-27,1.005
2026-03-30,1.01
2026-03-31,0.991
2026-04-01,0.988
2026-04-02,0.992
2026-04-03,0.977
2026-04-07,0.983
2026-04-08,0.986
2026-04-09,0.979
2026-04-10,0.983
2026-04-13,0.987
2026-04-14,0.985
2026-04-15,0.987
2026-04-16,0.988
