date,nav
2022-04-25,0.794
2022-04-26,0.799
2022-04-27,0.814
2022-04-28,0.829
2022-04-29,0.84
2022-05-05,0.838
2022-05-06,0.816
2022-05-09,0.811
2022-05-10,0.813
2022-05-11,0.825
2022-05-12,0.812
2022-05-13,0.833
2022-05-16,0.836
2022-05-17,0.848
2022-05-18,0.854
2022-05-19,0.848
2022-05-20,0.869
2022-05-23,0.859
2022-05-24,0.851
2022-05-25,0.865
2022-05-26,0.874
2022-05-27,0.884
2022-05-30,0.876
2022-05-31,0.883
2022-06-01,0.891
2022-06-02,0.891
2022-06-06,0.882
2022-06-07,0.886
2022-06-08,0.903
2022-06-09,0.906
2022-06-10,0.895
2022-06-13,0.888
2022-06-14,0.893
2022-06-15,0.881
2022-06-16,0.851
2022-06-17,0.843
2022-06-20,0.829
2022-06-21,0.844
2022-06-22,0.834
2022-06-23,0.844
2022-06-24,0.836
2022-06-27,0.853
2022-06-28,0.866
2022-06-29,0.859
2022-06-30,0.861
2022-07-01,0.858
2022-07-04,0.848
2022-07-05,0.855
2022-07-06,0.826
2022-07-07,0.836
2022-07-08,0.847
2022-07-11,0.829
2022-07-12,0.829
2022-07-13,0.816
2022-07-14,0.805
2022-07-15,0.803
2022-07-18,0.828
2022-07-19,0.824
2022-07-20,0.829
2022-07-21,0.811
2022-07-22,0.803
2022-07-25,0.801
2022-07-26,0.821
2022-07-27,0.811
2022-07-28,0.814
2022-07-29,0.802
2022-08-01,0.795
2022-08-02,0.773
2022-08-03,0.773
2022-08-04,0.778
2022-08-05,0.777
2022-08-08,0.787
2022-08-09,0.792
2022-08-10,0.778
2022-08-11,0.792
2022-08-12,0.814
2022-08-15,0.806
2022-08-16,0.815
2022-08-17,0.826
2022-08-18,0.814
2022-08-19,0.829
2022-08-22,0.843
2022-08-23,0.846
2022-08-24,0.831
2022-08-25,0.854
2022-08-26,0.857
2022-08-29,0.86
2022-08-30,0.856
2022-08-31,0.843
2022-09-01,0.844
2022-09-02,0.83
2022-09-05,0.846
2022-09-06,0.853
2022-09-07,0.851
2022-09-08,0.832
2022-09-09,0.85
2022-09-13,0.851
2022-09-14,0.846
2022-09-15,0.854
2022-09-16,0.846
2022-09-19,0.825
2022-09-20,0.827
2022-09-21,0.821
2022-09-22,0.817
2022-09-23,0.803
2022-09-26,0.777
2022-09-27,0.774
2022-09-28,0.749
2022-09-29,0.723
2022-09-30,0.733
2022-10-10,0.727
2022-10-11,0.726
2022-10-12,0.725
2022-10-13,0.711
2022-10-14,0.722
2022-10-17,0.72
2022-10-18,0.721
2022-10-19,0.727
2022-10-20,0.717
2022-10-21,0.726
2022-10-24,0.692
2022-10-25,0.7
2022-10-26,0.695
2022-10-27,0.695
2022-10-28,0.668
2022-10-31,0.643
2022-11-01,0.662
2022-11-02,0.669
