date,nav
2023-05-30,0.862
2023-05-31,0.855
2023-06-01,0.854
2023-06-02,0.859
2023-06-05,0.865
2023-06-06,0.856
2023-06-07,0.861
2023-06-08,0.876
2023-06-09,0.874
2023-06-12,0.866
2023-06-13,0.863
2023-06-14,0.858
2023-06-15,0.859
2023-06-16,0.865
2023-06-19,0.856
2023-06-20,0.843
2023-06-21,0.843
2023-06-26,0.825
2023-06-27,0.846
2023-06-28,0.849
2023-06-29,0.847
2023-06-30,0.851
2023-07-03,0.872
2023-07-04,0.865
2023-07-05,0.864
2023-07-06,0.86
2023-07-07,0.862
2023-07-10,0.862
2023-07-11,0.864
2023-07-12,0.859
2023-07-13,0.869
2023-07-14,0.871
2023-07-17,0.869
2023-07-18,0.866
2023-07-19,0.871
2023-07-20,0.866
2023-07-21,0.865
2023-07-24,0.862
2023-07-25,0.885
2023-07-26,0.882
2023-07-27,0.884
2023-07-28,0.905
2023-07-31,0.913
2023-08-01,0.915
2023-08-02,0.903
2023-08-03,0.908
2023-08-04,0.908
2023-08-07,0.898
2023-08-08,0.895
2023-08-09,0.892
2023-08-10,0.896
2023-08-11,0.877
2023-08-14,0.879
2023-08-15,0.885
2023-08-16,0.879
2023-08-17,0.88
2023-08-18,0.878
2023-08-21,0.865
2023-08-22,0.875
2023-08-23,0.869
2023-08-24,0.853
2023-08-25,0.853
2023-08-28,0.872
2023-08-29,0.87
2023-08-30,0.863
2023-08-31,0.855
2023-09-01,0.863
2023-09-04,0.885
2023-09-05,0.877
2023-09-06,0.875
2023-09-07,0.869
2023-09-08,0.864
2023-09-11,0.869
2023-09-12,0.866
2023-09-13,0.867
2023-09-14,0.874
2023-09-15,0.87
2023-09-18,0.866
2023-09-19,0.871
2023-09-20,0.871
2023-09-21,0.866
2023-09-22,0.873
2023-09-25,0.868
2023-09-26,0.866
2023-09-27,0.864
2023-09-28,0.864
2023-10-09,0.858
2023-10-10,0.844
2023-10-11,0.839
2023-10-12,0.853
2023-10-13,0.849
2023-10-16,0.853
2023-10-17,0.859
2023-10-18,0.857
2023-10-19,0.84
2023-10-20,0.831
2023-10-23,0.815
2023-10-24,0.818
2023-10-25,0.827
2023-10-26,0.83
2023-10-27,0.835
2023-10-30,0.823
2023-10-31,0.824
2023-11-01,0.824
2023-11-02,0.824
2023-11-03,0.821
2023-11-06,0.82
2023-11-07,0.82
2023-11-08,0.815
2023-11-09,0.818
2023-11-10,0.817
2023-11-13,0.82
2023-11-14,0.821
2023-11-15,0.83
