date,nav
2025-04-28,0.948
2025-04-29,0.945
2025-04-30,0.932
2025-05-06,0.932
2025-05-07,0.941
2025-05-08,0.944
2025-05-09,0.949
2025-05-12,0.952
2025-05-13,0.96
2025-05-14,0.974
2025-05-15,0.97
2025-05-16,0.962
2025-05-19,0.965
2025-05-20,0.967
2025-05-21,0.976
2025-05-22,0.979
2025-05-23,0.973
2025-05-26,0.966
2025-05-27,0.966
2025-05-28,0.968
2025-05-29,0.971
2025-05-30,0.975
2025-06-03,0.98
2025-06-04,0.982
2025-06-05,0.978
2025-06-06,0.979
2025-06-09,0.982
2025-06-10,0.982
2025-06-11,0.988
2025-06-12,0.986
2025-06-13,0.982
2025-06-16,0.987
2025-06-17,0.989
2025-06-18,0.991
2025-06-19,0.986
2025-06-20,0.99
2025-06-23,1.0
2025-06-24,1.001
2025-06-25,1.007
2025-06-26,1.01
2025-06-27,1.003
2025-06-30,1.0
2025-07-01,1.004
2025-07-02,1.011
2025-07-03,1.013
2025-07-04,1.022
2025-07-07,1.025
2025-07-08,1.026
2025-07-09,1.03
2025-07-10,1.041
2025-07-11,1.033
2025-07-14,1.04
2025-07-15,1.029
2025-07-16,1.023
2025-07-17,1.023
2025-07-18,1.027
2025-07-21,1.036
2025-07-22,1.051
2025-07-23,1.05
2025-07-24,1.053
2025-07-25,1.045
2025-07-28,1.035
2025-07-29,1.032
2025-07-30,1.034
2025-07-31,1.021
2025-08-01,1.017
2025-08-04,1.021
2025-08-05,1.033
2025-08-06,1.039
2025-08-07,1.044
2025-08-08,1.043
2025-08-11,1.04
2025-08-12,1.044
2025-08-13,1.039
2025-08-14,1.034
2025-08-15,1.034
2025-08-18,1.031
2025-08-19,1.033
2025-08-20,1.042
2025-08-21,1.045
2025-08-22,1.045
2025-08-25,1.049
2025-08-26,1.047
2025-08-27,1.029
2025-08-28,1.025
2025-08-29,1.024
2025-09-01,1.018
2025-09-02,1.024
2025-09-03,1.014
2025-09-04,1.015
2025-09-05,1.015
2025-09-08,1.015
2025-09-09,1.016
2025-09-10,1.015
2025-09-11,1.016
2025-09-12,1.016
2025-09-15,1.009
2025-09-16,1.008
2025-09-17,1.013
2025-09-18,0.999
2025-09-19,1.005
2025-09-22,0.998
2025-09-23,1.002
2025-09-24,1.004
2025-09-25,0.999
2025-09-26,0.993
2025-09-29,0.99
2025-09-30,0.985
2025-10-09,0.99
2025-10-10,1.001
2025-10-13,1.002
2025-10-14,1.022
2025-10-15,1.026
2025-10-16,1.037
2025-10-17,1.032
2025-10-20,1.045
2025-10-21,1.045
2025-10-22,1.044
2025-10-23,1.058
2025-10-24,1.048
2025-10-27,1.047
2025-10-28,1.049
2025-10-29,1.044
2025-10-30,1.045
2025-10-31,1.044
2025-11-03,1.061
2025-11-04,1.069
2025-11-05,1.07
2025-11-06,1.07
2025-11-07,1.075
2025-11-10,1.082
2025-11-11,1.081
2025-11-12,1.089
2025-11-13,1.092
2025-11-14,1.081
2025-11-17,1.074
2025-11-18,1.063
2025-11-19,1.066
2025-11-20,1.066
2025-11-21,1.05
2025-11-24,1.04
2025-11-25,1.047
2025-11-26,1.045
2025-11-27,1.045
