日期Date,收盘Close
2015-01-01,1750.54
2015-01-05,1750.54
2015-01-06,1747.62
2015-01-07,1749.17
2015-01-08,1698.17
2015-01-09,1686.7
2015-01-12,1647.03
2015-01-13,1649.8
2015-01-14,1646.69
2015-01-15,1699.96
2015-01-16,1709.59
2015-01-19,1558.55
2015-01-20,1586.8
2015-01-21,1653.65
2015-01-22,1660.01
2015-01-23,1658.5
2015-01-26,1672.01
2015-01-27,1657.2
2015-01-28,1640.75
2015-01-29,1624.95
2015-01-30,1605.81
2015-02-02,1557.32
2015-02-03,1591.55
2015-02-04,1581.25
2015-02-05,1559.16
2015-02-06,1517.6
2015-02-09,1518.16
2015-02-10,1549.77
2015-02-11,1552.49
2015-02-12,1555.75
2015-02-13,1576.44
2015-02-16,1582.14
2015-02-17,1596.34
2015-02-25,1589.66
2015-02-26,1632.03
2015-02-27,1631.95
2015-03-02,1644.51
2015-03-03,1605.94
2015-03-04,1609.19
2015-03-05,1580.65
2015-03-06,1584.43
2015-03-09,1621.08
2015-03-10,1618.58
2015-03-11,1630.01
2015-03-12,1667.23
2015-03-13,1680.56
2015-03-16,1712.18
2015-03-17,1741.22
2015-03-18,1774.86
2015-03-19,1786.63
2015-03-20,1799.94
2015-03-23,1834.95
2015-03-24,1835.79
2015-03-25,1802.64
2015-03-26,1805.77
2015-03-27,1816.41
2015-03-30,1878.37
2015-03-31,1848.72
2015-04-01,1868.27
2015-04-02,1878.0
2015-04-03,1905.95
2015-04-07,1964.57
2015-04-08,1968.27
2015-04-09,1936.42
2015-04-10,1983.25
2015-04-13,2044.99
2015-04-14,2078.15
2015-04-15,2052.73
2015-04-16,2103.24
2015-04-17,2135.48
2015-04-20,2098.0
2015-04-21,2131.37
2015-04-22,2192.81
2015-04-23,2190.27
2015-04-24,2164.37
2015-04-27,2226.4
2015-04-28,2213.33
2015-04-29,2219.24
2015-04-30,2237.49
2015-05-04,2286.36
2015-05-05,2172.59
2015-05-06,2120.41
2015-05-07,2044.32
2015-05-08,2091.77
2015-05-11,2159.49
2015-05-12,2197.38
2015-05-13,2171.49
2015-05-14,2180.05
2015-05-15,2140.14
2015-05-18,2110.53
2015-05-19,2177.17
2015-05-20,2199.31
2015-05-21,2243.88
2015-05-22,2301.17
2015-05-25,2376.81
2015-05-26,2404.21
2015-05-27,2414.6
2015-05-28,2255.14
2015-05-29,2239.32
2015-06-01,2383.92
