日期Date,收盘Close
2015-01-01,6403.32
2015-01-05,6403.32
2015-01-06,6384.43
2015-01-07,6399.94
2015-01-08,6171.82
2015-01-09,6148.35
2015-01-12,6003.1
2015-01-13,5992.64
2015-01-14,5981.6
2015-01-15,6200.57
2015-01-16,6257.65
2015-01-19,5680.12
2015-01-20,5743.4
2015-01-21,6024.64
2015-01-22,6026.14
2015-01-23,6040.29
2015-01-26,6090.43
2015-01-27,6042.6
2015-01-28,5972.28
2015-01-29,5898.08
2015-01-30,5786.07
2015-02-02,5596.88
2015-02-03,5728.56
2015-02-04,5669.81
2015-02-05,5583.89
2015-02-06,5459.53
2015-02-09,5492.47
2015-02-10,5619.49
2015-02-11,5623.51
2015-02-12,5646.54
2015-02-13,5695.84
2015-02-16,5706.45
2015-02-17,5766.79
2015-02-25,5746.05
2015-02-26,5933.56
2015-02-27,5914.91
2015-03-02,5956.92
2015-03-03,5799.28
2015-03-04,5785.92
2015-03-05,5695.88
2015-03-06,5701.68
2015-03-09,5850.11
2015-03-10,5801.98
2015-03-11,5826.15
2015-03-12,5981.27
2015-03-13,6022.41
2015-03-16,6127.05
2015-03-17,6241.61
2015-03-18,6384.94
2015-03-19,6397.19
2015-03-20,6441.04
2015-03-23,6571.53
2015-03-24,6596.62
2015-03-25,6472.41
2015-03-26,6496.67
2015-03-27,6520.31
2015-03-30,6781.06
2015-03-31,6662.94
2015-04-01,6741.91
2015-04-02,6732.96
2015-04-03,6779.17
2015-04-07,6949.19
2015-04-08,7021.19
2015-04-09,6915.11
2015-04-10,7021.18
2015-04-13,7209.93
2015-04-14,7286.21
2015-04-15,7289.66
2015-04-16,7462.48
2015-04-17,7664.34
2015-04-20,7600.3
2015-04-21,7659.72
2015-04-22,7835.23
2015-04-23,7801.2
2015-04-24,7684.5
2015-04-27,7974.16
2015-04-28,7988.19
2015-04-29,7895.21
2015-04-30,7839.29
2015-05-04,7991.3
2015-05-05,7581.88
2015-05-06,7416.59
2015-05-07,7170.41
2015-05-08,7322.45
2015-05-11,7526.11
2015-05-12,7631.24
2015-05-13,7538.47
2015-05-14,7510.51
2015-05-15,7356.78
2015-05-18,7241.25
2015-05-19,7501.77
2015-05-20,7541.62
2015-05-21,7628.48
2015-05-22,7876.77
2015-05-25,8150.55
2015-05-26,8230.1
2015-05-27,8258.25
2015-05-28,7740.31
2015-05-29,7740.94
2015-06-01,8144.66
2015-06-02,8256.3
2015-06-03,8282.09
2015-06-04,8416.46
2015-06-05,8564.17
2015-06-08,8869.18
2015-06-09,8831.98
2015-06-10,8762.96
2015-06-11,8700.77
2015-06-12,8783.45
2015-06-15,8659.65
2015-06-16,8377.61
2015-06-17,8522.53
2015-06-18,8257.03
2015-06-19,7800.19
2015-06-23,8089.8
2015-06-24,8332.62
2015-06-25,8062.65
2015-06-26,7561.2
2015-06-29,7562.58
2015-06-30,7997.32
2015-07-01,7687.68
2015-07-02,7483.06
2015-07-03,7159.31
