日期Date,收盘Close
2015-01-01,2978.31
2015-01-02,2997.44
2015-01-05,3016.37
2015-01-06,3000.56
2015-01-07,2995.96
2015-01-08,3005.06
2015-01-09,3006.68
2015-01-12,2988.02
2015-01-13,3004.9
2015-01-14,2985.94
2015-01-15,2986.78
2015-01-16,2969.54
2015-01-19,2922.15
2015-01-20,2941.39
2015-01-21,2983.02
2015-01-22,2979.41
2015-01-23,3022.86
2015-01-26,3047.35
2015-01-27,3058.93
2015-01-28,3067.41
2015-01-29,3071.21
2015-01-30,3061.1
2015-02-02,3044.86
2015-02-03,3071.57
2015-02-04,3069.85
2015-02-05,3064.68
2015-02-06,3062.15
2015-02-09,3036.03
2015-02-10,3032.02
2015-02-11,3047.44
2015-02-12,3041.88
2015-02-13,3080.22
2015-02-16,3102.0
2015-02-17,3103.18
2015-02-18,3111.88
2015-02-19,3111.88
2015-02-20,3111.88
2015-02-23,3111.02
2015-02-24,3092.14
2015-02-25,3091.77
2015-02-26,3098.0
2015-02-27,3085.08
2015-03-02,3095.79
2015-03-03,3088.71
2015-03-04,3060.5
2015-03-05,3058.67
2015-03-06,3065.85
2015-03-09,3045.8
2015-03-10,3030.81
2015-03-11,3007.56
2015-03-12,3007.75
2015-03-13,3010.85
2015-03-16,2994.46
2015-03-17,2985.83
2015-03-18,3012.96
2015-03-19,3035.19
2015-03-20,3047.54
2015-03-23,3068.31
2015-03-24,3071.35
2015-03-25,3085.57
2015-03-26,3091.44
2015-03-27,3095.65
2015-03-30,3142.4
2015-03-31,3143.46
2015-04-01,3179.22
2015-04-02,3215.9
2015-04-03,3215.9
2015-04-06,3215.9
2015-04-07,3215.9
2015-04-08,3343.89
2015-04-09,3428.31
2015-04-10,3446.31
2015-04-13,3455.24
2015-04-14,3411.76
2015-04-15,3377.83
2015-04-16,3401.19
2015-04-17,3375.96
2015-04-20,3300.43
2015-04-21,3341.44
2015-04-22,3378.67
2015-04-23,3387.52
2015-04-24,3405.83
2015-04-27,3457.28
2015-04-28,3425.09
2015-04-29,3416.99
2015-04-30,3422.37
2015-05-01,3422.37
2015-05-04,3448.08
2015-05-05,3399.68
2015-05-06,3366.51
2015-05-07,3295.75
2015-05-08,3347.51
2015-05-11,3362.23
2015-05-12,3337.93
2015-05-13,3311.64
2015-05-14,3300.95
2015-05-15,3324.4
2015-05-18,3331.2
2015-05-19,3352.02
2015-05-20,3337.37
2015-05-21,3310.8
2015-05-22,3339.66
2015-05-25,3339.66
2015-05-26,3370.46
2015-05-27,3413.88
2015-05-28,3362.88
2015-05-29,3364.26
2015-06-01,3372.48
2015-06-02,3337.78
2015-06-03,3327.17
2015-06-04,3310.45
2015-06-05,3285.14
2015-06-08,3258.72
2015-06-09,3200.62
2015-06-10,3183.6
2015-06-11,3202.4
2015-06-12,3242.05
2015-06-15,3201.17
2015-06-16,3179.49
2015-06-17,3193.09
2015-06-18,3196.29
2015-06-19,3186.72
2015-06-22,3205.58
2015-06-23,3227.45
2015-06-24,3212.14
2015-06-25,3181.3
2015-06-26,3124.75
2015-06-29,3054.98
2015-06-30,3113.39
2015-07-01,3113.39
2015-07-02,3097.93
2015-07-03,3044.21
2015-07-06,2938.35
2015-07-07,2888.55
2015-07-08,2741.28
2015-07-09,2896.3
2015-07-10,2958.16
