日期Date,收盘Close
2015-01-01,3416.94
2015-01-02,3448.01
2015-01-05,3543.45
2015-01-06,3544.09
2015-01-07,3520.19
2015-01-08,3487.52
2015-01-09,3479.25
2015-01-12,3415.84
2015-01-13,3442.03
2015-01-14,3433.35
2015-01-15,3475.53
2015-01-16,3488.24
2015-01-19,3315.01
2015-01-20,3378.13
2015-01-21,3462.45
2015-01-22,3466.81
2015-01-23,3476.47
2015-01-26,3509.97
2015-01-27,3498.39
2015-01-28,3479.1
2015-01-29,3452.15
2015-01-30,3433.39
2015-02-02,3397.25
2015-02-03,3431.89
2015-02-04,3422.44
2015-02-05,3409.94
2015-02-06,3357.66
2015-02-09,3349.33
2015-02-10,3390.16
2015-02-11,3408.69
2015-02-12,3413.42
2015-02-13,3447.1
2015-02-16,3468.73
2015-02-17,3473.97
2015-02-18,3482.55
2015-02-19,3482.55
2015-02-20,3482.55
2015-02-23,3481.07
2015-02-24,3485.53
2015-02-25,3496.21
2015-02-26,3548.0
2015-02-27,3557.32
2015-03-02,3586.35
2015-03-03,3550.58
2015-03-04,3557.74
2015-03-05,3545.89
2015-03-06,3533.2
2015-03-09,3573.63
2015-03-10,3565.48
2015-03-11,3568.3
2015-03-12,3592.35
2015-03-13,3608.11
2015-03-16,3658.56
2015-03-17,3694.69
2015-03-18,3752.69
2015-03-19,3751.17
2015-03-20,3774.72
2015-03-23,3838.29
2015-03-24,3859.62
2015-03-25,3869.64
2015-03-26,3850.77
2015-03-27,3894.87
2015-03-30,3985.93
2015-03-31,3967.95
2015-04-01,4036.61
2015-04-02,4127.49
2015-04-03,4177.79
2015-04-06,4177.79
2015-04-07,4252.42
2015-04-08,4323.14
2015-04-09,4324.88
2015-04-10,4439.25
2015-04-13,4562.68
2015-04-14,4546.11
2015-04-15,4466.85
2015-04-16,4550.63
2015-04-17,4550.54
2015-04-20,4447.23
2015-04-21,4559.4
2015-04-22,4681.59
2015-04-23,4690.85
2015-04-24,4673.02
2015-04-27,4760.04
2015-04-28,4686.82
2015-04-29,4699.48
2015-04-30,4743.35
2015-05-01,4743.35
2015-05-04,4837.84
2015-05-05,4665.84
2015-05-06,4574.66
2015-05-07,4472.68
2015-05-08,4624.65
2015-05-11,4728.58
2015-05-12,4736.1
2015-05-13,4729.59
2015-05-14,4736.8
2015-05-15,4702.19
2015-05-18,4711.98
2015-05-19,4801.54
2015-05-20,4842.33
2015-05-21,4921.36
2015-05-22,5018.7
2015-05-25,5110.14
2015-05-26,5223.22
2015-05-27,5224.95
2015-05-28,5022.01
2015-05-29,4994.51
2015-06-01,5209.57
2015-06-02,5288.78
2015-06-03,5305.08
2015-06-04,5337.89
2015-06-05,5344.95
2015-06-08,5364.48
2015-06-09,5304.4
2015-06-10,5328.57
2015-06-11,5360.53
2015-06-12,5465.78
2015-06-15,5397.13
2015-06-16,5211.82
2015-06-17,5331.89
2015-06-18,5214.98
2015-06-19,4995.64
2015-06-22,5009.65
2015-06-23,5099.61
2015-06-24,5179.65
2015-06-25,5096.64
2015-06-26,4829.12
2015-06-29,4731.2
2015-06-30,4910.36
2015-07-01,4763.87
2015-07-02,4585.38
2015-07-03,4363.6
2015-07-06,4311.87
2015-07-07,4187.05
2015-07-08,3972.07
2015-07-09,4206.73
2015-07-10,4380.23
2015-07-13,4510.71
2015-07-14,4475.79
2015-07-15,4354.18
2015-07-16,4387.34
2015-07-17,4518.71
2015-07-20,4531.41
2015-07-21,4556.18
2015-07-22,4552.98
2015-07-23,4608.63
2015-07-24,4559.33
2015-07-27,4285.24
2015-07-28,4247.52
2015-07-29,4360.29
2015-07-30,4289.15
2015-07-31,4281.47
2015-08-03,4237.68
2015-08-04,4332.47
2015-08-05,4293.63
2015-08-06,4266.1
2015-08-07,4337.3
2015-08-10,4465.25
2015-08-11,4495.49
2015-08-12,4448.69
2015-08-13,4504.8
2015-08-14,4509.42
2015-08-17,4514.18
2015-08-18,4282.99
2015-08-19,4297.59
2015-08-20,4161.13
2015-08-21,3981.38
2015-08-24,3663.83
2015-08-25,3470.0
2015-08-26,3448.2
2015-08-27,3626.42
2015-08-28,3755.49
2015-08-31,3696.09
2015-09-01,3598.18
2015-09-02,3560.46
2015-09-03,3560.46
2015-09-04,3556.14
2015-09-07,3513.22
2015-09-08,3633.59
2015-09-09,3730.85
2015-09-10,3694.05
2015-09-11,3693.47
2015-09-14,3609.19
2015-09-15,3480.41
2015-09-16,3628.94
2015-09-17,3571.85
2015-09-18,3599.99
2015-09-21,3652.4
2015-09-22,3675.86
2015-09-23,3618.24
2015-09-24,3649.3
2015-09-25,3601.1
2015-09-28,3636.41
2015-09-29,3563.53
2015-09-30,3596.94
2015-10-01,3596.94
2015-10-02,3645.99
2015-10-05,3662.25
2015-10-06,3654.53
2015-10-07,3694.68
2015-10-08,3760.0
2015-10-09,3779.07
2015-10-12,3866.76
2015-10-13,3869.09
2015-10-14,3819.94
2015-10-15,3910.34
2015-10-16,3964.32
2015-10-19,3989.35
2015-10-20,4022.06
2015-10-21,3895.18
2015-10-22,3948.46
2015-10-23,4005.25
2015-10-26,4016.85
2015-10-27,4028.42
2015-10-28,3977.62
2015-10-29,3987.06
2015-10-30,3958.18
2015-11-02,3886.93
2015-11-03,3898.52
2015-11-04,4036.45
2015-11-05,4054.52
2015-11-06,4100.84
2015-11-09,4136.25
2015-11-10,4124.34
2015-11-11,4147.31
2015-11-12,4156.38
2015-11-13,4087.44
2015-11-16,4118.18
2015-11-17,4132.25
2015-11-18,4127.07
2015-11-19,4205.86
2015-11-20,4248.4
2015-11-23,4235.84
2015-11-24,4244.88
2015-11-25,4286.08
2015-11-26,4259.15
2015-11-27,4070.49
2015-11-30,4106.97
2015-12-01,4167.06
2015-12-02,4198.67
2015-12-03,4227.65
2015-12-04,4188.41
2015-12-07,4220.07
2015-12-08,4142.03
2015-12-09,4145.11
2015-12-10,4136.8
2015-12-11,4082.01
2015-12-14,4114.58
2015-12-15,4122.27
2015-12-16,4139.23
2015-12-17,4212.06
2015-12-18,4205.34
2015-12-21,4280.53
2015-12-22,4297.17
2015-12-23,4299.67
2015-12-24,4287.39
2015-12-25,4294.84
2015-12-28,4236.12
2015-12-29,4272.5
2015-12-30,4276.55
2015-12-31,4272.46
2016-01-01,4272.46
2016-01-04,4050.67
2016-01-05,4061.09
2016-01-06,4116.63
2016-01-07,3894.68
2016-01-08,3937.48
2016-01-11,3741.54
2016-01-12,3724.05
2016-01-13,3690.12
2016-01-14,3723.66
2016-01-15,3610.84
2016-01-18,3595.02
2016-01-19,3692.66
2016-01-20,3614.12
2016-01-21,3510.34
2016-01-22,3587.31
2016-01-25,3617.35
2016-01-26,3440.25
2016-01-27,3438.85
2016-01-28,3408.8
2016-01-29,3508.09
2016-02-01,3479.33
2016-02-02,3518.32
2016-02-03,3483.7
2016-02-04,3522.17
2016-02-05,3526.06
2016-02-08,3526.06
2016-02-09,3526.06
2016-02-10,3526.06
2016-02-11,3484.37
2016-02-12,3481.13
2016-02-15,3499.22
2016-02-16,3579.68
2016-02-17,3593.57
2016-02-18,3621.28
2016-02-19,3632.53
2016-02-22,3688.32
2016-02-23,3664.74
2016-02-24,3663.34
2016-02-25,3501.01
2016-02-26,3551.66
2016-02-29,3480.38
2016-03-01,3543.52
2016-03-02,3689.03
2016-03-03,3698.02
2016-03-04,3731.13
2016-03-07,3766.76
2016-03-08,3752.03
2016-03-09,3708.45
2016-03-10,3685.7
2016-03-11,3704.79
2016-03-14,3761.54
2016-03-15,3749.73
2016-03-16,3740.49
2016-03-17,3787.97
2016-03-18,3838.11
2016-03-21,3880.66
2016-03-22,3863.9
2016-03-23,3858.39
2016-03-24,3811.33
2016-03-25,3829.43
2016-03-28,3827.22
2016-03-29,3806.82
2016-03-30,3874.26
2016-03-31,3878.37
2016-04-01,3854.81
2016-04-04,3854.81
2016-04-05,3879.65
2016-04-06,3890.01
2016-04-07,3851.55
2016-04-08,3846.74
2016-04-11,3897.09
2016-04-12,3892.67
2016-04-13,3950.37
2016-04-14,3964.67
2016-04-15,3961.9
2016-04-18,3930.79
2016-04-19,3951.2
2016-04-20,3876.95
2016-04-21,3883.78
2016-04-22,3890.41
2016-04-25,3887.05
2016-04-26,3894.76
2016-04-27,3891.25
2016-04-28,3885.44
2016-04-29,3874.32
2016-05-02,3874.32
2016-05-03,3897.39
2016-05-04,3885.83
2016-05-05,3881.55
2016-05-06,3792.21
2016-05-09,3739.78
2016-05-10,3741.64
2016-05-11,3748.65
2016-05-12,3742.0
2016-05-13,3711.27
2016-05-16,3729.55
2016-05-17,3747.91
2016-05-18,3708.83
2016-05-19,3708.36
2016-05-20,3728.36
2016-05-23,3739.02
2016-05-24,3719.64
2016-05-25,3738.67
2016-05-26,3750.14
2016-05-27,3763.04
2016-05-30,3782.16
2016-05-31,3853.52
2016-06-01,3862.1
2016-06-02,3872.46
2016-06-03,3901.93
2016-06-06,3904.66
2016-06-07,3939.18
2016-06-08,3916.58
2016-06-09,3916.58
2016-06-10,3885.55
2016-06-13,3792.74
2016-06-14,3801.16
2016-06-15,3840.88
2016-06-16,3814.4
2016-06-17,3845.98
2016-06-20,3864.23
2016-06-21,3854.64
2016-06-22,3891.41
2016-06-23,3884.28
2016-06-24,3830.58
2016-06-27,3883.85
2016-06-28,3891.09
2016-06-29,3914.81
2016-06-30,3948.53
2016-07-01,3956.69
2016-07-04,4030.56
2016-07-05,4017.58
2016-07-06,4037.96
2016-07-07,4054.19
2016-07-08,4048.73
2016-07-11,4085.29
2016-07-12,4152.06
2016-07-13,4165.43
2016-07-14,4163.82
2016-07-15,4178.22
2016-07-18,4189.96
2016-07-19,4177.84
2016-07-20,4188.43
2016-07-21,4217.12
2016-07-22,4183.09
2016-07-25,4189.63
2016-07-26,4226.74
2016-07-27,4177.91
2016-07-28,4204.35
2016-07-29,4182.79
2016-08-01,4178.44
2016-08-02,4181.16
2016-08-03,4164.08
2016-08-04,4181.9
2016-08-05,4209.77
2016-08-08,4268.41
2016-08-09,4306.44
2016-08-10,4296.69
2016-08-11,4292.46
2016-08-12,4340.18
2016-08-15,4404.93
2016-08-16,4385.93
2016-08-17,4393.0
2016-08-18,4419.58
2016-08-19,4410.16
2016-08-22,4394.62
2016-08-23,4373.24
2016-08-24,4371.08
2016-08-25,4340.59
2016-08-26,4349.29
2016-08-29,4348.22
2016-08-30,4364.2
2016-08-31,4368.09
2016-09-01,4367.61
2016-09-02,4383.06
2016-09-05,4429.25
2016-09-06,4477.41
2016-09-07,4470.55
2016-09-08,4487.16
2016-09-09,4487.12
2016-09-12,4370.82
2016-09-13,4358.36
2016-09-14,4337.26
2016-09-15,4361.23
2016-09-16,4361.23
2016-09-19,4412.34
2016-09-20,4410.45
2016-09-21,4418.46
2016-09-22,4447.92
2016-09-23,4430.24
2016-09-26,4358.4
2016-09-27,4375.09
2016-09-28,4360.78
2016-09-29,4380.51
2016-09-30,4362.33
2016-10-03,4376.48
2016-10-04,4393.61
2016-10-05,4387.69
2016-10-06,4379.77
2016-10-07,4372.1
2016-10-10,4419.63
2016-10-11,4398.05
2016-10-12,4378.94
2016-10-13,4370.55
2016-10-14,4385.39
2016-10-17,4362.93
2016-10-18,4422.64
2016-10-19,4411.84
2016-10-20,4412.63
2016-10-21,4424.88
2016-10-24,4480.1
2016-10-25,4499.36
2016-10-26,4473.63
2016-10-27,4458.74
2016-10-28,4432.79
2016-10-31,4428.54
2016-11-01,4458.64
2016-11-02,4416.84
2016-11-03,4425.35
2016-11-04,4415.1
2016-11-07,4435.02
2016-11-08,4467.88
2016-11-09,4424.73
2016-11-10,4490.09
2016-11-11,4492.59
2016-11-14,4476.95
2016-11-15,4484.9
2016-11-16,4490.91
2016-11-17,4501.38
2016-11-18,4498.62
2016-11-21,4509.16
2016-11-22,4538.86
2016-11-23,4558.45
2016-11-24,4576.75
2016-11-25,4604.95
2016-11-28,4625.87
2016-11-29,4641.37
2016-11-30,4612.32
2016-12-01,4650.25
2016-12-02,4606.76
2016-12-05,4566.12
2016-12-06,4576.64
2016-12-07,4599.03
2016-12-08,4617.07
2016-12-09,4623.64
2016-12-12,4539.18
2016-12-13,4535.35
2016-12-14,4517.1
2016-12-15,4465.54
2016-12-16,4484.94
2016-12-19,4445.4
2016-12-20,4419.07
2016-12-21,4439.62
2016-12-22,4415.46
2016-12-23,4387.19
2016-12-26,4392.08
2016-12-27,4393.04
2016-12-28,4403.53
2016-12-29,4408.69
2016-12-30,4452.39
2017-01-03,4491.42
2017-01-04,4511.02
2017-01-05,4502.53
2017-01-06,4515.16
2017-01-09,4524.57
2017-01-10,4559.99
2017-01-11,4570.28
2017-01-12,4548.53
2017-01-13,4563.08
2017-01-16,4527.2
2017-01-17,4536.95
2017-01-18,4568.46
2017-01-19,4568.19
2017-01-20,4561.94
2017-01-23,4559.64
2017-01-24,4590.68
2017-01-25,4606.8
2017-01-26,4640.64
2017-01-27,4629.18
2017-02-01,4636.08
2017-02-02,4623.21
2017-02-03,4611.1
2017-02-06,4626.46
2017-02-07,4649.81
2017-02-08,4726.36
2017-02-09,4738.34
2017-02-10,4760.53
2017-02-13,4798.82
2017-02-14,4792.24
2017-02-15,4822.76
2017-02-16,4833.72
2017-02-17,4795.49
2017-02-20,4849.47
2017-02-21,4834.67
2017-02-22,4912.19
2017-02-23,4905.86
2017-02-24,4871.01
2017-02-27,4827.83
2017-02-28,4833.96
2017-03-01,4840.5
2017-03-02,4827.9
2017-03-03,4819.96
2017-03-06,4841.5
2017-03-07,4877.34
2017-03-08,4925.07
2017-03-09,4884.42
2017-03-10,4899.66
2017-03-13,5003.26
2017-03-14,5003.7
2017-03-15,5021.91
2017-03-16,5074.72
2017-03-17,5043.07
