日期Date,收盘Close
2015-01-01,9059.4
2015-01-05,9059.4
2015-01-06,9055.56
2015-01-07,9066.45
2015-01-08,8803.58
2015-01-09,8732.06
2015-01-12,8509.32
2015-01-13,8528.51
2015-01-14,8487.47
2015-01-15,8767.57
2015-01-16,8834.22
2015-01-19,8068.91
2015-01-20,8198.1
2015-01-21,8559.91
2015-01-22,8587.56
2015-01-23,8574.04
2015-01-26,8672.96
2015-01-27,8609.93
2015-01-28,8517.91
2015-01-29,8446.02
2015-01-30,8321.3
2015-02-02,8102.42
2015-02-03,8274.7
2015-02-04,8214.27
2015-02-05,8103.49
2015-02-06,7905.41
2015-02-09,7917.74
2015-02-10,8070.21
2015-02-11,8082.59
2015-02-12,8121.08
2015-02-13,8214.51
2015-02-16,8254.45
2015-02-17,8330.25
2015-02-25,8306.2
2015-02-26,8527.13
2015-02-27,8522.0
2015-03-02,8607.5
2015-03-03,8415.75
2015-03-04,8449.53
2015-03-05,8341.02
2015-03-06,8346.6
2015-03-09,8512.02
2015-03-10,8495.69
2015-03-11,8511.28
2015-03-12,8671.53
2015-03-13,8735.57
2015-03-16,8932.17
2015-03-17,9037.93
2015-03-18,9234.73
2015-03-19,9251.94
2015-03-20,9298.86
2015-03-23,9466.36
2015-03-24,9504.34
2015-03-25,9481.9
2015-03-26,9525.91
2015-03-27,9577.52
2015-03-30,9798.83
2015-03-31,9673.04
2015-04-01,9842.18
2015-04-02,9996.63
2015-04-03,10162.34
2015-04-07,10452.6
2015-04-08,10411.15
2015-04-09,10203.9
2015-04-10,10416.13
2015-04-13,10756.75
2015-04-14,10869.21
2015-04-15,10599.67
2015-04-16,10851.74
2015-04-17,10940.09
2015-04-20,10682.35
2015-04-21,10985.09
2015-04-22,11266.31
2015-04-23,11287.27
2015-04-24,11203.85
2015-04-27,11386.05
2015-04-28,11094.87
2015-04-29,11221.52
2015-04-30,11168.75
2015-05-04,11383.5
2015-05-05,10934.37
2015-05-06,10701.68
2015-05-07,10429.7
2015-05-08,10707.43
2015-05-11,11048.5
2015-05-12,11180.72
2015-05-13,11228.36
2015-05-14,11254.85
2015-05-15,11060.59
2015-05-18,11115.73
2015-05-19,11461.47
2015-05-20,11542.5
2015-05-21,11843.0
2015-05-22,12095.54
2015-05-25,12522.52
2015-05-26,12815.68
2015-05-27,12978.75
2015-05-28,12251.85
2015-05-29,12365.18
2015-06-01,13095.01
2015-06-02,13470.98
2015-06-03,13527.06
2015-06-04,13561.01
2015-06-05,13784.59
2015-06-08,13914.01
2015-06-09,13840.5
2015-06-10,13980.37
2015-06-11,14164.53
2015-06-12,14397.17
2015-06-15,14331.0
2015-06-16,13856.59
2015-06-17,14022.59
2015-06-18,13609.19
2015-06-19,12747.44
2015-06-23,12987.55
2015-06-24,13325.98
2015-06-25,12809.68
2015-06-26,11829.53
2015-06-29,11495.35
2015-06-30,12129.25
2015-07-01,11605.69
2015-07-02,11081.89
2015-07-03,10475.03
2015-07-06,10644.63
2015-07-07,10172.04
2015-07-08,9575.85
2015-07-09,10276.26
2015-07-10,10944.03
2015-07-13,11488.91
2015-07-14,11310.48
2015-07-15,10722.82
2015-07-16,10956.91
2015-07-17,11394.51
2015-07-20,11354.45
2015-07-21,11437.68
2015-07-22,11449.93
2015-07-23,11721.85
2015-07-24,11509.63
2015-07-27,10568.45
2015-07-28,10545.61
2015-07-29,10947.39
2015-07-30,10665.49
2015-07-31,10715.8
2015-08-03,10820.95
2015-08-04,11193.5
2015-08-05,11036.2
2015-08-06,10968.48
2015-08-07,11155.39
2015-08-10,11585.14
2015-08-11,11640.58
2015-08-12,11557.22
2015-08-13,11722.92
2015-08-14,11812.82
2015-08-17,12033.44
2015-08-18,11182.03
2015-08-19,11437.05
2015-08-20,11109.98
2015-08-21,10581.07
2015-08-24,9665.84
2015-08-25,8980.89
2015-08-26,9068.84
2015-08-27,9558.41
2015-08-28,10017.28
2015-08-31,9825.13
2015-09-01,9585.43
2015-09-02,9639.33
2015-09-07,9474.55
2015-09-08,9794.73
2015-09-09,9979.93
2015-09-10,9822.79
2015-09-11,9874.6
2015-09-14,9578.66
2015-09-15,9284.37
2015-09-16,9738.59
2015-09-17,9509.85
2015-09-18,9530.29
2015-09-21,9672.52
2015-09-22,9744.25
2015-09-23,9568.61
2015-09-24,9643.08
2015-09-25,9505.68
2015-09-28,9562.58
2015-09-29,9401.46
2015-09-30,9453.7
2015-10-08,9756.51
2015-10-09,9856.22
2015-10-12,10156.96
2015-10-13,10171.79
2015-10-14,10021.94
2015-10-15,10219.58
2015-10-16,10319.36
2015-10-19,10311.67
2015-10-20,10377.81
2015-10-21,10040.1
2015-10-22,10181.82
2015-10-23,10369.71
2015-10-26,10396.53
2015-10-27,10373.44
2015-10-28,10255.7
2015-10-29,10330.75
2015-10-30,10309.14
2015-11-02,10188.55
2015-11-03,10176.54
2015-11-04,10569.58
2015-11-05,10693.05
2015-11-06,10845.56
2015-11-09,11030.61
2015-11-10,10982.45
2015-11-11,10994.91
2015-11-12,10919.13
2015-11-13,10775.46
2015-11-16,10880.23
2015-11-17,10880.16
2015-11-18,10809.75
2015-11-19,10954.21
2015-11-20,10982.62
2015-11-23,10926.11
2015-11-24,10953.04
2015-11-25,11052.52
2015-11-26,11058.62
2015-11-27,10514.99
2015-11-30,10609.52
2015-12-01,10679.34
2015-12-02,10985.27
2015-12-03,11131.44
2015-12-04,10978.73
2015-12-07,11024.07
2015-12-08,10755.09
2015-12-09,10803.14
2015-12-10,10771.99
2015-12-11,10720.92
2015-12-14,10943.64
2015-12-15,10917.46
2015-12-16,10927.45
2015-12-17,11109.76
2015-12-18,11135.53
2015-12-21,11473.11
2015-12-22,11484.18
2015-12-23,11465.71
2015-12-24,11406.3
2015-12-25,11442.27
2015-12-28,11143.29
2015-12-29,11256.15
2015-12-30,11274.04
2015-12-31,11194.72
2016-01-04,10470.02
2016-01-05,10491.17
2016-01-06,10769.74
2016-01-07,10097.8
2016-01-08,10371.04
2016-01-11,9809.03
2016-01-12,9802.56
2016-01-13,9641.48
2016-01-14,9833.7
2016-01-15,9497.81
2016-01-18,9515.36
2016-01-19,9791.17
2016-01-20,9641.94
2016-01-21,9418.36
2016-01-22,9532.86
2016-01-25,9620.77
2016-01-26,9057.16
2016-01-27,9035.1
2016-01-28,8820.17
2016-01-29,9061.65
2016-02-01,8942.57
2016-02-02,9103.47
2016-02-03,9051.21
2016-02-04,9168.15
2016-02-05,9116.57
2016-02-15,9063.52
2016-02-16,9328.18
2016-02-17,9407.7
2016-02-18,9418.16
2016-02-19,9400.82
2016-02-22,9616.18
2016-02-23,9568.67
2016-02-24,9613.54
2016-02-25,9059.05
2016-02-26,9187.51
2016-02-29,8987.79
2016-03-01,9157.78
2016-03-02,9543.86
2016-03-03,9589.81
2016-03-04,9682.82
2016-03-07,9778.59
2016-03-08,9755.39
2016-03-09,9605.09
2016-03-10,9457.12
2016-03-11,9474.19
2016-03-14,9613.48
2016-03-15,9653.09
2016-03-16,9698.85
2016-03-17,9781.47
2016-03-18,9890.79
2016-03-21,10022.79
2016-03-22,9966.91
2016-03-23,9974.07
2016-03-24,9831.01
2016-03-25,9888.02
2016-03-28,9877.03
2016-03-29,9773.85
2016-03-30,10020.22
2016-03-31,10046.16
2016-04-01,10060.21
2016-04-05,10163.55
2016-04-06,10154.07
2016-04-07,10020.59
2016-04-08,9944.28
2016-04-11,10094.56
2016-04-12,10080.52
2016-04-13,10217.84
2016-04-14,10268.68
2016-04-15,10246.82
2016-04-18,10094.25
2016-04-19,10102.57
2016-04-20,9933.28
2016-04-21,9901.43
2016-04-22,9949.32
2016-04-25,9949.33
2016-04-26,9991.6
2016-04-27,9970.67
2016-04-28,9948.12
2016-04-29,9958.18
2016-05-03,10135.01
2016-05-04,10101.53
2016-05-05,10099.78
2016-05-06,9838.31
2016-05-09,9653.15
2016-05-10,9675.45
2016-05-11,9764.94
2016-05-12,9791.86
2016-05-13,9752.64
2016-05-16,9813.7
2016-05-17,9773.35
2016-05-18,9671.93
2016-05-19,9643.23
2016-05-20,9686.12
2016-05-23,9736.15
2016-05-24,9674.44
2016-05-25,9662.09
2016-05-26,9668.97
2016-05-27,9679.56
2016-05-30,9697.66
2016-05-31,9969.03
2016-06-01,9941.11
2016-06-02,9963.03
2016-06-03,10061.56
2016-06-06,10051.59
2016-06-07,10070.69
2016-06-08,10025.47
2016-06-13,9790.06
2016-06-14,9839.15
2016-06-15,9977.21
2016-06-16,9936.72
2016-06-17,10013.03
2016-06-20,10016.9
2016-06-21,9987.57
2016-06-22,10065.69
2016-06-23,10019.62
2016-06-24,9924.92
2016-06-27,10043.85
2016-06-28,10066.55
2016-06-29,10101.91
2016-06-30,10132.08
2016-07-01,10153.02
2016-07-04,10325.77
2016-07-05,10359.0
2016-07-06,10432.83
2016-07-07,10430.52
2016-07-08,10389.84
2016-07-11,10475.51
2016-07-12,10718.73
2016-07-13,10741.25
2016-07-14,10698.39
2016-07-15,10732.96
2016-07-18,10739.72
2016-07-19,10660.8
2016-07-20,10646.39
2016-07-21,10699.94
2016-07-22,10583.55
2016-07-25,10617.43
2016-07-26,10771.88
2016-07-27,10682.75
2016-07-28,10810.47
2016-07-29,10789.83
2016-08-01,10692.85
2016-08-02,10731.42
2016-08-03,10739.18
2016-08-04,10736.77
2016-08-05,10725.65
2016-08-08,10821.41
2016-08-09,10901.68
2016-08-10,10848.64
2016-08-11,10831.21
2016-08-12,11006.25
2016-08-15,11248.6
2016-08-16,11166.39
2016-08-17,11161.38
2016-08-18,11117.77
2016-08-19,11098.57
2016-08-22,11055.74
2016-08-23,11073.06
2016-08-24,11052.12
2016-08-25,10993.87
2016-08-26,10986.01
2016-08-29,10962.85
2016-08-30,10982.47
2016-08-31,11012.1
2016-09-01,10943.92
2016-09-02,10983.07
2016-09-05,11022.75
2016-09-06,11096.21
2016-09-07,11114.32
2016-09-08,11108.85
2016-09-09,11043.33
2016-09-12,10886.81
2016-09-13,10877.23
2016-09-14,10795.71
2016-09-19,10877.04
2016-09-20,10862.29
2016-09-21,10871.86
2016-09-22,10942.41
2016-09-23,10926.94
2016-09-26,10777.64
2016-09-27,10835.79
2016-09-28,10800.1
2016-09-29,10855.81
2016-09-30,10885.98
2016-10-10,11044.0
2016-10-11,11079.99
2016-10-12,11040.09
2016-10-13,11036.91
2016-10-14,11046.47
2016-10-17,10967.3
2016-10-18,11104.14
2016-10-19,11092.34
2016-10-20,11094.42
2016-10-21,11166.01
2016-10-24,11307.16
2016-10-25,11325.91
2016-10-26,11273.83
2016-10-27,11230.86
2016-10-28,11217.32
2016-10-31,11204.59
2016-11-01,11249.03
2016-11-02,11159.63
2016-11-03,11236.65
2016-11-04,11218.71
2016-11-07,11246.76
2016-11-08,11287.87
2016-11-09,11210.57
2016-11-10,11343.57
2016-11-11,11405.15
2016-11-14,11460.28
2016-11-15,11435.69
2016-11-16,11424.56
2016-11-17,11469.09
2016-11-18,11393.63
2016-11-21,11489.34
2016-11-22,11576.17
2016-11-23,11615.46
2016-11-24,11669.79
2016-11-25,11767.33
2016-11-28,11845.53
2016-11-29,11985.79
2016-11-30,11840.18
2016-12-01,11972.14
2016-12-02,11891.1
2016-12-05,11719.43
2016-12-06,11687.12
2016-12-07,11718.94
2016-12-08,11717.31
2016-12-09,11815.58
2016-12-12,11618.5
2016-12-13,11601.03
2016-12-14,11564.42
2016-12-15,11404.67
2016-12-16,11418.38
2016-12-19,11433.85
2016-12-20,11346.6
2016-12-21,11473.23
2016-12-22,11497.2
2016-12-23,11400.94
2016-12-26,11429.13
2016-12-27,11408.07
2016-12-28,11375.15
2016-12-29,11376.96
2016-12-30,11431.14
2017-01-03,11552.73
2017-01-04,11632.43
2017-01-05,11676.98
2017-01-06,11661.6
2017-01-09,11734.88
2017-01-10,11699.91
2017-01-11,11619.96
2017-01-12,11561.3
2017-01-13,11582.06
2017-01-16,11647.27
2017-01-17,11675.01
2017-01-18,11742.92
2017-01-19,11708.72
2017-01-20,11776.8
2017-01-23,11801.05
2017-01-24,11861.21
2017-01-25,11875.17
2017-01-26,11895.44
2017-02-03,11817.2
2017-02-06,11859.32
2017-02-07,11859.88
2017-02-08,11887.92
