日期Date,收盘Close
2015-01-01,1036.31
2015-01-02,1060.24
2015-01-05,1063.78
2015-01-06,1047.83
2015-01-07,1049.35
2015-01-08,1053.8
2015-01-09,1052.1
2015-01-12,1043.44
2015-01-13,1048.92
2015-01-14,1047.53
2015-01-15,1054.25
2015-01-16,1043.67
2015-01-19,1003.19
2015-01-20,1021.68
2015-01-21,1043.14
2015-01-22,1042.81
2015-01-23,1053.86
2015-01-26,1050.64
2015-01-27,1038.93
2015-01-28,1035.02
2015-01-29,1024.62
2015-01-30,1025.11
2015-02-02,1012.26
2015-02-03,1017.12
2015-02-04,1019.78
2015-02-05,1013.75
2015-02-06,999.06
2015-02-09,993.23
2015-02-10,999.04
2015-02-11,997.65
2015-02-12,1010.55
2015-02-13,1017.63
2015-02-16,1014.42
2015-02-17,1019.21
2015-02-18,1022.9
2015-02-19,1022.9
2015-02-20,1022.9
2015-02-23,1020.91
2015-02-24,1023.61
2015-02-25,1028.04
2015-02-26,1044.02
2015-02-27,1043.27
2015-03-02,1046.15
2015-03-03,1030.66
2015-03-04,1017.43
2015-03-05,1009.78
2015-03-06,1010.37
2015-03-09,1010.02
2015-03-10,1000.32
2015-03-11,990.68
2015-03-12,994.88
2015-03-13,1000.02
2015-03-16,1003.51
2015-03-17,1015.06
2015-03-18,1024.39
2015-03-19,1031.93
2015-03-20,1028.6
2015-03-23,1031.28
2015-03-24,1026.49
2015-03-25,1023.55
2015-03-26,1020.3
2015-03-27,1023.81
2015-03-30,1068.9
2015-03-31,1069.09
2015-04-01,1093.75
2015-04-02,1115.51
2015-04-03,1114.67
2015-04-06,1114.67
2015-04-07,1113.95
2015-04-08,1204.53
2015-04-09,1242.27
2015-04-10,1259.98
2015-04-13,1317.45
2015-04-14,1285.86
2015-04-15,1288.8
2015-04-16,1306.15
2015-04-17,1311.11
2015-04-20,1265.81
2015-04-21,1285.35
2015-04-22,1319.15
2015-04-23,1311.5
2015-04-24,1315.26
2015-04-27,1344.14
2015-04-28,1335.43
2015-04-29,1320.22
2015-04-30,1309.78
2015-05-01,1309.78
2015-05-04,1319.48
2015-05-05,1279.16
2015-05-06,1250.76
2015-05-07,1218.13
2015-05-08,1258.75
2015-05-11,1271.19
2015-05-12,1256.98
2015-05-13,1246.21
2015-05-14,1245.67
2015-05-15,1261.37
2015-05-18,1256.95
2015-05-19,1279.58
2015-05-20,1285.58
2015-05-21,1277.4
2015-05-22,1293.88
2015-05-25,1294.7
2015-05-26,1327.87
2015-05-27,1325.4
2015-05-28,1282.02
2015-05-29,1279.86
2015-06-01,1308.69
2015-06-02,1300.34
2015-06-03,1297.77
2015-06-04,1296.27
2015-06-05,1281.73
2015-06-08,1297.14
2015-06-09,1260.01
2015-06-10,1240.62
2015-06-11,1248.98
2015-06-12,1273.84
2015-06-15,1248.08
2015-06-16,1207.2
2015-06-17,1230.36
2015-06-18,1226.06
2015-06-19,1215.83
2015-06-22,1233.03
2015-06-23,1262.68
2015-06-24,1272.58
2015-06-25,1263.4
2015-06-26,1227.05
2015-06-29,1191.69
2015-06-30,1221.77
2015-07-01,1222.1
2015-07-02,1198.31
2015-07-03,1168.03
2015-07-06,1111.24
2015-07-07,1065.83
2015-07-08,989.61
2015-07-09,1067.55
2015-07-10,1106.59
2015-07-13,1126.47
2015-07-14,1112.3
2015-07-15,1093.73
2015-07-16,1107.46
2015-07-17,1126.04
2015-07-20,1124.85
2015-07-21,1136.07
2015-07-22,1119.81
2015-07-23,1127.97
2015-07-24,1113.21
2015-07-27,1057.34
2015-07-28,1051.72
2015-07-29,1063.86
2015-07-30,1057.42
2015-07-31,1060.4
2015-08-03,1046.97
2015-08-04,1055.34
2015-08-05,1063.24
2015-08-06,1062.13
2015-08-07,1074.51
2015-08-10,1095.71
2015-08-11,1102.3
