日期Date,收盘Close
2015-01-01,1647.44
2015-01-05,1647.44
2015-01-06,1650.76
2015-01-07,1647.25
2015-01-08,1609.03
2015-01-09,1603.69
2015-01-12,1566.53
2015-01-13,1573.36
2015-01-14,1569.35
2015-01-15,1621.83
2015-01-16,1638.72
2015-01-19,1506.04
2015-01-20,1539.89
2015-01-21,1603.88
2015-01-22,1606.45
2015-01-23,1604.37
2015-01-26,1622.85
2015-01-27,1612.41
2015-01-28,1593.65
2015-01-29,1583.86
2015-01-30,1561.19
2015-02-02,1516.76
2015-02-03,1547.99
2015-02-04,1538.67
2015-02-05,1517.48
2015-02-06,1478.67
2015-02-09,1481.9
2015-02-10,1512.21
2015-02-11,1515.73
2015-02-12,1525.52
2015-02-13,1541.05
2015-02-16,1546.69
2015-02-17,1558.61
2015-02-25,1553.43
2015-02-26,1587.01
2015-02-27,1587.48
2015-03-02,1599.93
2015-03-03,1567.87
2015-03-04,1574.59
2015-03-05,1555.42
2015-03-06,1562.4
2015-03-09,1603.12
2015-03-10,1596.55
2015-03-11,1600.11
2015-03-12,1632.98
2015-03-13,1639.09
2015-03-16,1669.19
2015-03-17,1693.67
2015-03-18,1734.22
2015-03-19,1741.74
2015-03-20,1755.33
2015-03-23,1792.66
2015-03-24,1797.05
2015-03-25,1779.23
2015-03-26,1789.14
2015-03-27,1797.23
2015-03-30,1851.64
2015-03-31,1824.68
2015-04-01,1852.36
2015-04-02,1863.53
2015-04-03,1879.52
2015-04-07,1931.65
2015-04-08,1937.36
2015-04-09,1914.79
2015-04-10,1951.36
2015-04-13,2010.96
2015-04-14,2039.89
2015-04-15,2038.41
2015-04-16,2102.34
2015-04-17,2144.47
2015-04-20,2107.7
2015-04-21,2133.27
2015-04-22,2181.5
2015-04-23,2182.74
2015-04-24,2176.57
2015-04-27,2236.6
2015-04-28,2219.81
2015-04-29,2223.57
2015-04-30,2219.04
2015-05-04,2263.27
2015-05-05,2162.98
2015-05-06,2115.72
2015-05-07,2061.65
2015-05-08,2110.6
2015-05-11,2173.87
2015-05-12,2203.24
2015-05-13,2192.63
2015-05-14,2189.57
2015-05-15,2151.3
2015-05-18,2131.58
2015-05-19,2200.08
2015-05-20,2223.52
2015-05-21,2269.6
2015-05-22,2337.56
2015-05-25,2409.23
2015-05-26,2444.59
2015-05-27,2444.93
2015-05-28,2306.31
2015-05-29,2315.88
2015-06-01,2435.11
2015-06-02,2487.12
2015-06-03,2486.09
2015-06-04,2506.98
2015-06-05,2545.53
2015-06-08,2609.4
2015-06-09,2588.25
2015-06-10,2576.07
2015-06-11,2570.16
2015-06-12,2600.36
2015-06-15,2578.72
2015-06-16,2490.65
2015-06-17,2534.86
