日期Date,收盘Close
2015-01-01,11738.28
2015-01-05,11738.28
2015-01-06,12037.24
2015-01-07,11965.54
2015-01-08,11939.25
2015-01-09,11860.9
2015-01-12,11951.08
2015-01-13,12110.35
2015-01-14,12031.52
2015-01-15,12118.93
2015-01-16,12235.09
2015-01-19,11666.51
2015-01-20,12057.78
2015-01-21,12344.93
2015-01-22,12455.48
2015-01-23,12335.28
2015-01-26,12478.05
2015-01-27,12483.57
2015-01-28,12401.72
2015-01-29,12294.43
2015-01-30,12170.67
2015-02-02,12175.85
2015-02-03,12373.35
2015-02-04,12289.65
2015-02-05,12144.77
2015-02-06,11896.94
2015-02-09,11897.19
2015-02-10,12120.67
2015-02-11,12227.08
2015-02-12,12259.15
2015-02-13,12503.05
2015-02-16,12652.13
2015-02-17,12816.68
2015-02-25,12734.03
2015-02-26,12823.5
2015-02-27,12873.21
2015-03-02,13078.84
2015-03-03,12818.52
2015-03-04,13060.39
2015-03-05,13036.26
2015-03-06,12910.59
2015-03-09,13117.89
2015-03-10,13346.48
2015-03-11,13261.77
2015-03-12,13353.44
2015-03-13,13560.33
2015-03-16,13959.23
2015-03-17,13947.24
2015-03-18,14253.52
2015-03-19,14274.36
2015-03-20,14299.23
2015-03-23,14562.28
2015-03-24,14711.67
2015-03-25,14821.68
2015-03-26,14804.87
2015-03-27,14942.74
2015-03-30,15141.87
2015-03-31,15177.98
2015-04-01,15494.35
2015-04-02,15592.42
2015-04-03,15719.66
2015-04-07,16105.79
2015-04-08,16180.6
2015-04-09,16088.53
2015-04-10,16479.76
2015-04-13,16783.58
2015-04-14,16730.95
2015-04-15,16203.96
2015-04-16,16448.61
2015-04-17,16518.57
2015-04-20,16212.21
2015-04-21,16910.4
2015-04-22,17301.94
2015-04-23,17455.25
2015-04-24,17444.61
2015-04-27,17622.01
2015-04-28,17201.47
2015-04-29,17388.94
2015-04-30,17395.5
2015-05-04,17399.3
2015-05-05,16851.46
2015-05-06,16709.36
2015-05-07,16624.3
2015-05-08,17135.39
2015-05-11,17662.67
2015-05-12,17779.12
2015-05-13,17732.21
2015-05-14,17653.72
2015-05-15,17505.5
2015-05-18,17903.77
2015-05-19,18402.25
2015-05-20,18571.85
2015-05-21,19319.83
2015-05-22,19657.75
2015-05-25,20050.12
2015-05-26,20539.64
2015-05-27,20524.98
2015-05-28,19455.83
2015-05-29,19667.78
2015-06-01,20511.83
2015-06-02,20932.23
2015-06-03,20884.0
2015-06-04,20874.36
2015-06-05,21085.27
2015-06-08,20932.25
2015-06-09,20897.35
2015-06-10,21299.57
2015-06-11,21457.92
2015-06-12,21709.45
2015-06-15,21337.69
2015-06-16,20634.89
2015-06-17,20936.23
2015-06-18,20219.35
2015-06-19,19138.64
2015-06-23,19532.17
2015-06-24,19882.25
2015-06-25,19196.07
2015-06-26,17732.57
2015-06-29,17256.33
2015-06-30,18309.39
2015-07-01,17492.88
2015-07-02,16622.34
2015-07-03,15927.27
2015-07-06,16175.3
2015-07-07,15266.01
2015-07-08,14594.18
2015-07-09,15508.8
2015-07-10,16455.33
2015-07-13,17424.1
2015-07-14,17218.52
2015-07-15,16281.12
2015-07-16,16734.73
2015-07-17,17455.35
2015-07-20,17410.45
2015-07-21,17471.17
2015-07-22,17518.41
2015-07-23,17874.3
2015-07-24,17586.83
2015-07-27,16254.11
2015-07-28,16342.25
2015-07-29,16935.94
2015-07-30,16345.44
2015-07-31,16454.36
2015-08-03,16464.21
2015-08-04,17024.06
2015-08-05,16702.77
2015-08-06,16534.1
2015-08-07,16815.66
2015-08-10,17470.25
2015-08-11,17498.49
2015-08-12,17166.34
2015-08-13,17378.73
2015-08-14,17391.81
2015-08-17,17478.11
2015-08-18,16284.07
2015-08-19,16576.22
2015-08-20,16047.02
2015-08-21,15185.24
2015-08-24,13990.73
2015-08-25,13268.43
2015-08-26,13472.54
2015-08-27,14093.81
2015-08-28,14714.82
2015-08-31,14443.88
2015-09-01,13976.19
2015-09-02,14133.64
2015-09-07,13850.33
2015-09-08,14296.35
2015-09-09,14517.66
2015-09-10,14239.37
2015-09-11,14281.88
2015-09-14,13663.86
2015-09-15,13237.95
2015-09-16,14059.35
2015-09-17,13714.86
2015-09-18,13810.7
2015-09-21,14149.91
2015-09-22,14189.73
2015-09-23,14010.75
2015-09-24,14132.51
2015-09-25,13836.37
2015-09-28,14045.24
2015-09-29,13847.77
2015-09-30,13935.32
2015-10-08,14425.69
2015-10-09,14510.34
2015-10-12,14940.23
2015-10-13,15015.2
2015-10-14,14816.36
2015-10-15,15192.06
2015-10-16,15384.64
2015-10-19,15349.43
2015-10-20,15531.37
2015-10-21,14812.77
2015-10-22,15228.04
2015-10-23,15526.99
2015-10-26,15614.64
2015-10-27,15703.9
2015-10-28,15385.37
2015-10-29,15498.65
2015-10-30,15582.91
2015-11-02,15480.5
2015-11-03,15336.41
2015-11-04,16050.49
2015-11-05,16084.54
2015-11-06,16415.45
2015-11-09,16661.46
2015-11-10,16575.53
2015-11-11,16759.68
2015-11-12,16748.24
2015-11-13,16466.77
2015-11-16,16695.11
2015-11-17,16658.34
2015-11-18,16533.17
2015-11-19,16857.06
2015-11-20,16775.46
2015-11-23,16704.3
2015-11-24,16678.63
2015-11-25,16835.1
2015-11-26,16823.26
2015-11-27,15898.89
2015-11-30,16112.05
2015-12-01,16225.14
2015-12-02,16537.73
2015-12-03,16755.69
2015-12-04,16561.73
2015-12-07,16736.6
2015-12-08,16521.13
2015-12-09,16538.23
2015-12-10,16543.19
2015-12-11,16479.96
2015-12-14,16803.3
2015-12-15,16873.38
2015-12-16,16847.22
2015-12-17,17215.64
2015-12-18,17192.54
2015-12-21,17783.15
2015-12-22,17821.59
2015-12-23,17688.14
2015-12-24,17713.8
2015-12-25,17712.5
2015-12-28,17322.13
2015-12-29,17459.72
2015-12-30,17506.1
2015-12-31,17362.6
2016-01-04,16108.5
2016-01-05,16173.19
2016-01-06,16480.16
2016-01-07,15198.34
2016-01-08,15521.04
2016-01-11,14646.46
2016-01-12,14738.48
2016-01-13,14392.16
2016-01-14,14858.52
2016-01-15,14316.65
2016-01-18,14464.68
2016-01-19,14963.49
2016-01-20,14667.22
2016-01-21,14226.03
2016-01-22,14373.94
2016-01-25,14505.95
2016-01-26,13646.19
2016-01-27,13576.38
2016-01-28,13242.7
2016-01-29,13677.35
2016-02-01,13663.79
2016-02-02,14079.16
2016-02-03,14097.91
2016-02-04,14246.55
2016-02-05,14129.3
2016-02-15,14063.1
2016-02-16,14524.32
2016-02-17,14613.45
2016-02-18,14530.17
2016-02-19,14542.07
2016-02-22,14819.72
2016-02-23,14726.69
2016-02-24,14831.81
2016-02-25,13867.74
2016-02-26,13950.28
2016-02-29,13435.77
2016-03-01,13745.68
2016-03-02,14344.46
2016-03-03,14360.9
2016-03-04,14257.93
2016-03-07,14476.66
2016-03-08,14552.69
2016-03-09,14385.33
2016-03-10,14251.13
2016-03-11,14278.93
2016-03-14,14616.31
2016-03-15,14681.33
2016-03-16,14618.73
2016-03-17,14941.12
2016-03-18,15220.73
2016-03-21,15478.27
2016-03-22,15461.66
2016-03-23,15501.39
2016-03-24,15375.99
2016-03-25,15481.14
2016-03-28,15418.51
2016-03-29,15254.35
2016-03-30,15700.48
2016-03-31,15669.21
2016-04-01,15604.23
2016-04-05,15901.37
2016-04-06,15924.6
2016-04-07,15704.16
2016-04-08,15611.48
2016-04-11,15951.18
2016-04-12,15852.32
2016-04-13,15993.26
2016-04-14,16124.97
2016-04-15,16079.32
2016-04-18,15866.54
2016-04-19,15943.06
2016-04-20,15489.16
2016-04-21,15397.38
2016-04-22,15698.24
2016-04-25,15622.24
2016-04-26,15769.07
2016-04-27,15786.46
2016-04-28,15754.73
2016-04-29,15735.0
2016-05-03,16204.05
2016-05-04,16164.48
2016-05-05,16194.28
2016-05-06,15703.07
2016-05-09,15438.93
2016-05-10,15565.92
2016-05-11,15692.7
2016-05-12,15754.87
2016-05-13,15647.56
2016-05-16,15791.35
2016-05-17,15677.81
2016-05-18,15460.55
2016-05-19,15429.33
2016-05-20,15515.34
2016-05-23,15701.62
2016-05-24,15541.99
2016-05-25,15514.69
2016-05-26,15622.06
2016-05-27,15630.37
2016-05-30,15563.73
2016-05-31,16114.83
2016-06-01,16086.66
2016-06-02,16105.91
2016-06-03,16312.61
2016-06-06,16427.11
2016-06-07,16423.62
2016-06-08,16327.05
2016-06-13,15862.47
2016-06-14,15976.4
2016-06-15,16343.81
2016-06-16,16184.0
2016-06-17,16366.5
2016-06-20,16383.49
2016-06-21,16265.7
2016-06-22,16394.28
2016-06-23,16323.92
2016-06-24,16140.91
2016-06-27,16475.09
2016-06-28,16627.41
2016-06-29,16598.39
2016-06-30,16669.51
2016-07-01,16646.74
2016-07-04,16924.78
2016-07-05,16846.96
2016-07-06,17122.02
2016-07-07,17112.36
2016-07-08,17085.56
2016-07-11,17051.92
2016-07-12,17507.14
2016-07-13,17458.03
2016-07-14,17397.8
2016-07-15,17453.47
2016-07-18,17427.33
