日期Date,收盘Close
2015-01-01,1000.0
2016-12-30,1000.0
2017-01-02,1000.0
2017-01-03,1004.71
2017-01-04,1008.7
2017-01-05,1024.6
2017-01-06,1015.97
2017-01-09,1028.42
2017-01-10,1033.38
2017-01-11,1039.69
2017-01-12,1037.49
2017-01-13,1046.71
2017-01-16,1034.11
2017-01-17,1044.49
2017-01-18,1050.69
2017-01-19,1044.85
2017-01-20,1037.46
2017-01-23,1036.89
2017-01-24,1043.41
2017-01-25,1048.61
2017-01-26,1060.53
2017-01-27,1054.62
2017-01-30,1054.62
2017-01-31,1054.62
2017-02-01,1050.79
2017-02-02,1046.77
2017-02-03,1044.54
2017-02-06,1049.79
2017-02-07,1047.89
2017-02-08,1056.74
2017-02-09,1061.56
2017-02-10,1071.89
2017-02-13,1085.16
2017-02-14,1078.63
2017-02-15,1078.46
2017-02-16,1071.45
2017-02-17,1060.62
2017-02-20,1074.46
2017-02-21,1072.56
2017-02-22,1086.13
2017-02-23,1076.7
2017-02-24,1070.48
2017-02-27,1066.06
2017-02-28,1060.39
2017-03-01,1064.92
2017-03-02,1064.12
2017-03-03,1062.02
2017-03-06,1062.37
2017-03-07,1069.81
2017-03-08,1076.72
2017-03-09,1056.94
2017-03-10,1048.51
2017-03-13,1058.13
2017-03-14,1062.17
2017-03-15,1060.23
2017-03-16,1085.06
2017-03-17,1090.84
2017-03-20,1113.14
2017-03-21,1118.97
2017-03-22,1100.31
2017-03-23,1095.2
2017-03-24,1098.51
2017-03-27,1085.13
2017-03-28,1090.82
2017-03-29,1092.43
2017-03-30,1088.99
2017-03-31,1084.12
2017-04-03,1094.34
2017-04-04,1094.34
2017-04-05,1101.39
2017-04-06,1097.91
2017-04-07,1105.8
2017-04-10,1104.04
2017-04-11,1093.69
2017-04-12,1096.08
2017-04-13,1090.94
2017-04-14,1092.01
2017-04-17,1092.75
2017-04-18,1075.39
2017-04-19,1062.27
2017-04-20,1069.73
2017-04-21,1066.63
2017-04-24,1060.78
2017-04-25,1072.6
2017-04-26,1073.05
2017-04-27,1069.14
2017-04-28,1067.38
2017-05-01,1067.38
2017-05-02,1064.88
2017-05-03,1063.49
2017-05-04,1058.45
2017-05-05,1039.52
2017-05-08,1046.17
2017-05-09,1068.97
2017-05-10,1069.16
2017-05-11,1076.08
2017-05-12,1074.28
2017-05-15,1084.92
2017-05-16,1090.41
2017-05-17,1083.72
2017-05-18,1074.42
2017-05-19,1079.5
2017-05-22,1085.01
2017-05-23,1084.39
2017-05-24,1091.59
2017-05-25,1099.47
2017-05-26,1096.34
2017-05-29,1105.46
2017-05-30,1105.46
2017-05-31,1098.97
2017-06-01,1088.4
2017-06-02,1087.44
2017-06-05,1087.34
2017-06-06,1085.93
2017-06-07,1088.64
2017-06-08,1088.45
2017-06-09,1079.08
2017-06-12,1069.68
2017-06-13,1073.55
