日期Date,收盘Close
2015-01-01,1810.8
2015-01-05,1810.8
2015-01-06,1818.65
2015-01-07,1816.27
2015-01-08,1759.84
2015-01-09,1752.34
2015-01-12,1706.96
2015-01-13,1710.67
2015-01-14,1702.88
2015-01-15,1760.94
2015-01-16,1778.09
2015-01-19,1619.1
2015-01-20,1650.52
2015-01-21,1726.29
2015-01-22,1728.98
2015-01-23,1729.52
2015-01-26,1747.5
2015-01-27,1737.78
2015-01-28,1716.42
2015-01-29,1698.44
2015-01-30,1666.05
2015-02-02,1611.23
2015-02-03,1647.66
2015-02-04,1634.0
2015-02-05,1605.91
2015-02-06,1568.99
2015-02-09,1572.67
2015-02-10,1608.24
2015-02-11,1609.95
2015-02-12,1617.14
2015-02-13,1632.62
2015-02-16,1638.75
2015-02-17,1655.78
2015-02-25,1652.8
2015-02-26,1701.41
2015-02-27,1701.37
2015-03-02,1712.68
2015-03-03,1677.41
2015-03-04,1677.78
2015-03-05,1653.31
2015-03-06,1653.5
2015-03-09,1685.68
2015-03-10,1678.63
2015-03-11,1683.52
2015-03-12,1719.32
2015-03-13,1729.6
2015-03-16,1759.23
2015-03-17,1789.99
2015-03-18,1832.98
2015-03-19,1837.87
2015-03-20,1845.75
2015-03-23,1882.03
2015-03-24,1888.46
2015-03-25,1859.24
2015-03-26,1860.77
2015-03-27,1874.55
2015-03-30,1941.65
2015-03-31,1907.78
2015-04-01,1933.93
2015-04-02,1940.49
2015-04-03,1952.21
2015-04-07,2000.88
2015-04-08,2009.99
2015-04-09,1970.0
2015-04-10,2005.09
2015-04-13,2065.92
2015-04-14,2090.98
2015-04-15,2084.79
2015-04-16,2131.72
2015-04-17,2184.11
2015-04-20,2160.88
2015-04-21,2178.98
2015-04-22,2232.0
2015-04-23,2235.12
2015-04-24,2212.14
2015-04-27,2285.78
2015-04-28,2279.76
2015-04-29,2261.82
2015-04-30,2251.37
2015-05-04,2303.31
2015-05-05,2190.65
2015-05-06,2142.26
2015-05-07,2071.44
2015-05-08,2119.54
2015-05-11,2179.89
2015-05-12,2208.33
2015-05-13,2179.4
2015-05-14,2176.33
2015-05-15,2136.14
2015-05-18,2105.5
2015-05-19,2171.41
2015-05-20,2179.99
2015-05-21,2205.47
2015-05-22,2273.65
2015-05-25,2354.81
2015-05-26,2377.82
2015-05-27,2393.65
2015-05-28,2240.66
2015-05-29,2240.34
2015-06-01,2363.06
2015-06-02,2397.83
2015-06-03,2404.06
2015-06-04,2433.97
2015-06-05,2489.76
2015-06-08,2560.57
2015-06-09,2549.3
2015-06-10,2544.45
2015-06-11,2548.46
2015-06-12,2576.86
2015-06-15,2557.37
2015-06-16,2477.2
2015-06-17,2525.8
2015-06-18,2443.48
2015-06-19,2289.53
2015-06-23,2335.8
2015-06-24,2411.64
2015-06-25,2324.14
2015-06-26,2143.96
2015-06-29,2099.82
2015-06-30,2230.53
2015-07-01,2119.2
2015-07-02,2046.09
2015-07-03,1924.61
2015-07-06,2021.96
2015-07-07,2006.75
2015-07-08,1872.43
2015-07-09,2005.19
2015-07-10,2110.46
2015-07-13,2162.09
2015-07-14,2114.34
2015-07-15,2044.45
2015-07-16,2062.64
2015-07-17,2123.42
2015-07-20,2113.97
2015-07-21,2120.45
2015-07-22,2111.76
2015-07-23,2152.64
2015-07-24,2116.86
2015-07-27,1936.16
2015-07-28,1939.86
2015-07-29,1997.72
2015-07-30,1943.07
2015-07-31,1949.77
2015-08-03,1983.95
2015-08-04,2033.84
2015-08-05,1994.43
2015-08-06,1983.69
2015-08-07,2012.2
2015-08-10,2087.05
2015-08-11,2089.29
2015-08-12,2072.81
2015-08-13,2101.84
2015-08-14,2106.96
2015-08-17,2123.1
2015-08-18,1990.17
2015-08-19,2022.07
2015-08-20,1980.87
2015-08-21,1897.61
2015-08-24,1725.97
2015-08-25,1598.88
2015-08-26,1632.57
2015-08-27,1731.32
2015-08-28,1800.01
2015-08-31,1794.97
2015-09-01,1795.03
2015-09-02,1816.08
2015-09-07,1745.58
2015-09-08,1793.79
2015-09-09,1819.87
2015-09-10,1799.7
2015-09-11,1797.8
2015-09-14,1771.99
2015-09-15,1722.96
2015-09-16,1794.75
2015-09-17,1750.82
2015-09-18,1751.77
2015-09-21,1769.26
2015-09-22,1785.16
2015-09-23,1749.85
2015-09-24,1758.21
2015-09-25,1743.49
2015-09-28,1744.09
2015-09-29,1710.14
2015-09-30,1718.92
2015-10-08,1763.34
2015-10-09,1783.06
2015-10-12,1833.48
2015-10-13,1837.9
2015-10-14,1814.39
2015-10-15,1846.41
2015-10-16,1871.37
2015-10-19,1866.8
2015-10-20,1878.17
2015-10-21,1837.4
2015-10-22,1860.06
2015-10-23,1883.74
2015-10-26,1885.7
2015-10-27,1883.65
2015-10-28,1864.87
2015-10-29,1871.71
2015-10-30,1868.19
2015-11-02,1846.36
2015-11-03,1837.67
2015-11-04,1904.78
2015-11-05,1934.35
2015-11-06,1957.28
2015-11-09,1986.96
2015-11-10,1973.37
2015-11-11,1969.35
2015-11-12,1946.67
2015-11-13,1926.45
2015-11-16,1931.24
2015-11-17,1935.42
2015-11-18,1921.47
2015-11-19,1941.47
2015-11-20,1938.99
2015-11-23,1933.35
2015-11-24,1927.22
2015-11-25,1944.4
2015-11-26,1940.35
2015-11-27,1846.64
2015-11-30,1868.8
2015-12-01,1876.11
2015-12-02,1929.82
2015-12-03,1945.34
2015-12-04,1909.47
2015-12-07,1920.0
2015-12-08,1891.13
2015-12-09,1891.64
2015-12-10,1888.66
2015-12-11,1880.92
2015-12-14,1913.7
2015-12-15,1897.96
2015-12-16,1898.57
2015-12-17,1924.27
2015-12-18,1927.83
2015-12-21,1992.0
2015-12-22,1992.08
2015-12-23,1992.52
2015-12-24,1972.88
2015-12-25,1979.39
2015-12-28,1930.13
2015-12-29,1946.33
2015-12-30,1947.54
2015-12-31,1933.22
2016-01-04,1820.62
2016-01-05,1828.72
2016-01-06,1869.98
2016-01-07,1764.69
2016-01-08,1810.86
2016-01-11,1727.83
2016-01-12,1725.63
2016-01-13,1702.97
2016-01-14,1726.98
2016-01-15,1675.92
2016-01-18,1675.13
2016-01-19,1719.01
2016-01-20,1692.67
2016-01-21,1655.41
2016-01-22,1670.56
2016-01-25,1678.18
2016-01-26,1591.46
2016-01-27,1595.0
2016-01-28,1564.57
2016-01-29,1603.68
2016-02-01,1583.97
2016-02-02,1607.95
2016-02-03,1595.47
2016-02-04,1615.84
2016-02-05,1614.92
2016-02-15,1609.86
2016-02-16,1647.2
2016-02-17,1656.93
2016-02-18,1655.32
2016-02-19,1650.31
2016-02-22,1678.73
2016-02-23,1667.5
2016-02-24,1677.62
2016-02-25,1605.98
2016-02-26,1621.18
2016-02-29,1603.3
2016-03-01,1624.02
2016-03-02,1676.28
2016-03-03,1681.25
2016-03-04,1714.4
2016-03-07,1714.54
2016-03-08,1714.2
2016-03-09,1702.07
2016-03-10,1674.63
2016-03-11,1678.02
2016-03-14,1694.47
2016-03-15,1699.23
2016-03-16,1717.27
2016-03-17,1722.9
2016-03-18,1737.91
2016-03-21,1751.55
2016-03-22,1744.39
2016-03-23,1742.25
2016-03-24,1718.67
2016-03-25,1729.4
2016-03-28,1719.23
2016-03-29,1708.2
2016-03-30,1748.55
2016-03-31,1749.68
2016-04-01,1755.27
2016-04-05,1769.97
2016-04-06,1766.03
2016-04-07,1745.67
2016-04-08,1735.81
2016-04-11,1752.94
2016-04-12,1749.49
2016-04-13,1772.06
2016-04-14,1774.29
2016-04-15,1774.42
2016-04-18,1756.99
2016-04-19,1759.42
2016-04-20,1740.29
2016-04-21,1739.11
2016-04-22,1744.97
2016-04-25,1742.1
2016-04-26,1745.23
2016-04-27,1740.69
2016-04-28,1738.68
2016-04-29,1740.39
2016-05-03,1763.51
2016-05-04,1756.92
2016-05-05,1757.37
2016-05-06,1720.79
2016-05-09,1694.91
2016-05-10,1699.52
2016-05-11,1716.12
2016-05-12,1720.27
2016-05-13,1712.69
2016-05-16,1721.66
2016-05-17,1717.78
2016-05-18,1707.37
2016-05-19,1701.48
2016-05-20,1706.74
2016-05-23,1712.35
2016-05-24,1706.5
2016-05-25,1707.8
2016-05-26,1709.03
2016-05-27,1709.25
2016-05-30,1714.56
2016-05-31,1754.16
2016-06-01,1749.1
2016-06-02,1749.42
2016-06-03,1766.7
2016-06-06,1761.77
2016-06-07,1763.32
2016-06-08,1759.24
2016-06-13,1725.92
