日期Date,收盘Close
2015-01-01,6069.4
2019-06-11,6069.4
2019-06-12,5962.35
2019-06-13,6060.5
2019-06-14,5997.97
2019-06-17,6023.4
2019-06-18,6015.3
2019-06-19,6096.06
2019-06-20,6074.43
2019-06-21,6058.67
2019-06-24,6177.88
2019-06-25,6127.61
2019-06-26,6136.06
2019-06-27,6220.56
2019-06-28,6225.3
2019-07-02,6357.7
2019-07-03,6362.38
2019-07-04,6340.7
2019-07-05,6341.42
2019-07-08,6217.57
2019-07-09,6145.97
2019-07-10,6160.97
2019-07-11,6171.11
2019-07-12,6188.12
2019-07-15,6182.97
2019-07-16,6202.96
2019-07-17,6241.82
2019-07-18,6195.92
2019-07-19,6243.65
2019-07-22,6165.41
2019-07-23,6094.54
2019-07-24,6098.29
2019-07-25,6109.42
2019-07-26,6090.44
2019-07-29,6051.55
2019-07-30,6038.2
2019-07-31,5976.93
2019-08-01,5902.49
2019-08-02,5810.09
2019-08-05,5662.05
2019-08-06,5561.95
2019-08-07,5595.24
2019-08-08,5659.15
2019-08-09,5600.59
2019-08-12,5614.4
2019-08-13,5461.43
2019-08-14,5454.01
2019-08-15,5498.83
2019-08-16,5535.69
2019-08-19,5732.33
2019-08-20,5734.31
2019-08-21,5780.25
2019-08-22,5765.23
2019-08-23,5750.63
2019-08-26,5684.59
2019-08-27,5744.05
2019-08-28,5715.63
2019-08-29,5703.35
2019-08-30,5738.37
2019-09-02,5784.17
2019-09-03,5758.38
2019-09-04,5896.39
2019-09-05,5946.5
2019-09-06,5979.14
2019-09-09,5953.43
2019-09-10,5986.09
2019-09-11,6041.58
2019-09-12,6068.45
2019-09-13,6174.06
2019-09-16,6126.14
2019-09-17,6047.46
2019-09-18,6069.42
2019-09-19,6013.09
2019-09-20,5997.51
2019-09-23,5949.97
2019-09-24,5880.76
2019-09-25,5838.87
2019-09-26,5867.87
2019-09-27,5819.88
2019-09-30,5847.29
2019-10-02,5858.12
2019-10-03,5868.5
2019-10-04,5888.87
2019-10-08,5878.4
2019-10-09,5875.78
2019-10-10,5878.96
2019-10-11,5995.14
2019-10-14,6044.36
2019-10-15,6028.08
2019-10-16,6120.34
2019-10-17,6126.27
2019-10-18,6126.46
2019-10-21,6156.98
2019-10-22,6153.8
2019-10-23,6125.45
2019-10-24,6179.15
2019-10-25,6192.47
2019-10-28,6178.63
2019-10-29,6182.79
2019-10-30,6152.64
2019-10-31,6135.74
2019-11-01,6230.14
2019-11-04,6328.92
2019-11-05,6380.35
2019-11-06,6415.66
2019-11-07,6440.29
2019-11-08,6412.08
2019-11-11,6250.73
2019-11-12,6323.77
