日期Date,收盘Close
2015-01-01,5612.48
2015-01-05,5612.48
2015-01-06,5680.62
2015-01-07,5671.44
2015-01-08,5607.36
2015-01-09,5531.62
2015-01-12,5497.75
2015-01-13,5563.15
2015-01-14,5491.93
2015-01-15,5575.07
2015-01-16,5619.9
2015-01-19,5252.16
2015-01-20,5412.13
2015-01-21,5573.36
2015-01-22,5632.57
2015-01-23,5582.55
2015-01-26,5678.81
2015-01-27,5686.38
2015-01-28,5607.55
2015-01-29,5562.34
2015-01-30,5481.7
2015-02-02,5404.27
2015-02-03,5507.86
2015-02-04,5473.34
2015-02-05,5401.97
2015-02-06,5293.21
2015-02-09,5317.17
2015-02-10,5415.68
2015-02-11,5455.31
2015-02-12,5467.71
2015-02-13,5529.92
2015-02-16,5576.98
2015-02-17,5627.85
2015-02-25,5584.2
2015-02-26,5670.21
2015-02-27,5683.48
2015-03-02,5740.02
2015-03-03,5632.6
2015-03-04,5727.98
2015-03-05,5678.55
2015-03-06,5688.1
2015-03-09,5745.39
2015-03-10,5755.86
2015-03-11,5787.07
2015-03-12,5823.96
2015-03-13,5857.88
2015-03-16,5989.79
2015-03-17,6062.51
2015-03-18,6171.27
2015-03-19,6199.03
2015-03-20,6228.06
2015-03-23,6341.85
2015-03-24,6368.2
2015-03-25,6365.05
2015-03-26,6414.14
2015-03-27,6463.15
2015-03-30,6597.13
2015-03-31,6535.4
2015-04-01,6653.85
2015-04-02,6738.48
2015-04-03,6832.41
2015-04-07,7016.86
2015-04-08,7024.94
2015-04-09,6923.3
2015-04-10,7107.19
2015-04-13,7269.66
2015-04-14,7247.36
2015-04-15,6993.68
2015-04-16,7185.97
2015-04-17,7202.05
2015-04-20,7046.0
2015-04-21,7315.22
2015-04-22,7469.35
2015-04-23,7479.74
2015-04-24,7400.42
2015-04-27,7509.77
2015-04-28,7318.07
2015-04-29,7395.23
2015-04-30,7385.36
2015-05-04,7426.78
2015-05-05,7095.26
2015-05-06,6992.2
2015-05-07,6946.46
2015-05-08,7149.84
2015-05-11,7400.4
2015-05-12,7438.77
2015-05-13,7444.38
2015-05-14,7434.64
2015-05-15,7319.08
2015-05-18,7301.24
2015-05-19,7515.2
2015-05-20,7582.75
2015-05-21,7827.94
2015-05-22,7960.32
2015-05-25,8175.07
2015-05-26,8343.38
2015-05-27,8429.54
2015-05-28,7974.24
2015-05-29,8045.51
2015-06-01,8512.14
2015-06-02,8720.85
2015-06-03,8682.44
2015-06-04,8677.38
2015-06-05,8752.1
2015-06-08,8870.98
2015-06-09,8763.01
2015-06-10,8843.73
2015-06-11,8853.14
2015-06-12,8924.93
2015-06-15,8742.95
2015-06-16,8432.42
2015-06-17,8603.87
2015-06-18,8317.41
2015-06-19,7882.47
2015-06-23,8090.94
2015-06-24,8295.43
2015-06-25,7964.48
2015-06-26,7411.53
2015-06-29,7248.23
2015-06-30,7610.97
2015-07-01,7293.0
2015-07-02,6998.39
2015-07-03,6687.55
2015-07-06,6763.01
2015-07-07,6478.42
2015-07-08,6123.96
2015-07-09,6534.28
2015-07-10,6919.71
2015-07-13,7193.43
2015-07-14,7048.34
2015-07-15,6773.3
2015-07-16,6839.6
2015-07-17,7068.02
2015-07-20,7039.66
2015-07-21,7078.53
2015-07-22,7097.75
2015-07-23,7249.94
2015-07-24,7145.63
2015-07-27,6607.48
2015-07-28,6577.8
2015-07-29,6782.21
2015-07-30,6617.81
2015-07-31,6640.86
2015-08-03,6664.68
2015-08-04,6869.28
2015-08-05,6764.95
2015-08-06,6737.46
2015-08-07,6850.16
2015-08-10,7140.58
2015-08-11,7217.93
2015-08-12,7132.87
2015-08-13,7252.34
2015-08-14,7263.28
2015-08-17,7329.01
2015-08-18,6942.1
2015-08-19,6999.43
2015-08-20,6834.0
2015-08-21,6554.21
2015-08-24,6112.99
2015-08-25,5723.79
2015-08-26,5686.96
2015-08-27,5839.75
2015-08-28,6088.36
2015-08-31,5964.29
2015-09-01,5823.62
2015-09-02,5788.9
2015-09-07,5699.9
2015-09-08,5863.27
2015-09-09,5972.07
2015-09-10,5886.58
2015-09-11,5905.49
2015-09-14,5698.1
2015-09-15,5492.4
2015-09-16,5793.14
2015-09-17,5667.91
2015-09-18,5696.48
2015-09-21,5794.22
2015-09-22,5860.42
2015-09-23,5726.06
2015-09-24,5781.74
2015-09-25,5667.48
2015-09-28,5713.26
2015-09-29,5613.56
2015-09-30,5661.75
2015-10-08,5826.9
2015-10-09,5895.0
2015-10-12,6084.71
2015-10-13,6058.22
2015-10-14,5950.61
2015-10-15,6100.36
2015-10-16,6167.29
2015-10-19,6227.05
2015-10-20,6288.31
2015-10-21,5974.44
2015-10-22,6070.95
2015-10-23,6210.76
2015-10-26,6308.92
2015-10-27,6319.56
2015-10-28,6200.04
2015-10-29,6225.28
2015-10-30,6188.98
2015-11-02,6090.67
2015-11-03,6053.64
2015-11-04,6324.89
2015-11-05,6370.66
2015-11-06,6491.86
2015-11-09,6581.36
2015-11-10,6609.93
2015-11-11,6603.62
2015-11-12,6565.37
2015-11-13,6522.01
2015-11-16,6591.34
2015-11-17,6570.16
2015-11-18,6476.42
2015-11-19,6575.82
2015-11-20,6590.23
2015-11-23,6596.95
2015-11-24,6613.67
2015-11-25,6654.89
2015-11-26,6637.95
2015-11-27,6368.59
2015-11-30,6468.22
2015-12-01,6504.83
2015-12-02,6634.31
2015-12-03,6734.05
2015-12-04,6672.79
2015-12-07,6706.37
2015-12-08,6576.08
2015-12-09,6625.64
2015-12-10,6617.27
2015-12-11,6572.24
2015-12-14,6668.44
2015-12-15,6694.35
2015-12-16,6621.45
2015-12-17,6809.44
2015-12-18,6934.31
2015-12-21,7247.9
2015-12-22,7274.99
2015-12-23,7290.94
2015-12-24,7192.69
2015-12-25,7182.83
2015-12-28,7031.61
2015-12-29,7106.18
2015-12-30,7097.1
2015-12-31,7043.8
2016-01-04,6650.8
2016-01-05,6709.24
2016-01-06,6808.96
2016-01-07,6438.57
2016-01-08,6582.29
2016-01-11,6325.8
2016-01-12,6336.51
2016-01-13,6289.59
2016-01-14,6393.83
2016-01-15,6241.31
2016-01-18,6240.63
2016-01-19,6409.27
2016-01-20,6283.27
2016-01-21,6156.3
2016-01-22,6213.18
2016-01-25,6247.71
2016-01-26,6019.75
2016-01-27,5999.18
2016-01-28,5916.55
2016-01-29,6053.7
2016-02-01,6005.43
2016-02-02,6096.13
2016-02-03,6064.56
2016-02-04,6112.0
2016-02-05,6082.65
2016-02-15,6045.4
2016-02-16,6170.97
2016-02-17,6205.51
2016-02-18,6186.98
2016-02-19,6177.19
2016-02-22,6262.67
2016-02-23,6245.43
2016-02-24,6280.33
2016-02-25,6051.19
2016-02-26,6110.48
2016-02-29,6049.84
2016-03-01,6107.44
2016-03-02,6269.53
2016-03-03,6290.1
2016-03-04,6384.69
2016-03-07,6380.41
2016-03-08,6370.51
2016-03-09,6334.88
2016-03-10,6285.04
2016-03-11,6288.55
2016-03-14,6327.93
2016-03-15,6356.52
2016-03-16,6375.09
2016-03-17,6407.2
2016-03-18,6435.12
2016-03-21,6483.03
2016-03-22,6474.75
2016-03-23,6479.29
2016-03-24,6441.06
2016-03-25,6465.84
2016-03-28,6466.0
2016-03-29,6420.61
2016-03-30,6521.82
2016-03-31,6538.47
2016-04-01,6546.79
2016-04-05,6587.94
2016-04-06,6630.44
2016-04-07,6556.86
2016-04-08,6512.34
2016-04-11,6551.19
2016-04-12,6543.75
2016-04-13,6587.51
2016-04-14,6608.21
2016-04-15,6600.92
2016-04-18,6536.02
2016-04-19,6535.21
2016-04-20,6467.06
2016-04-21,6457.02
2016-04-22,6497.49
2016-04-25,6505.44
2016-04-26,6512.17
2016-04-27,6505.24
2016-04-28,6505.56
2016-04-29,6537.36
2016-05-03,6636.64
2016-05-04,6601.16
2016-05-05,6600.38
2016-05-06,6482.03
2016-05-09,6420.97
2016-05-10,6456.25
2016-05-11,6505.97
2016-05-12,6508.66
2016-05-13,6475.64
2016-05-16,6506.98
2016-05-17,6499.71
2016-05-18,6441.9
2016-05-19,6434.0
2016-05-20,6461.84
2016-05-23,6486.63
2016-05-24,6455.16
2016-05-25,6446.91
2016-05-26,6449.25
2016-05-27,6453.12
2016-05-30,6464.78
2016-05-31,6583.19
2016-06-01,6577.54
2016-06-02,6595.38
2016-06-03,6686.04
2016-06-06,6668.54
2016-06-07,6688.37
2016-06-08,6656.13
2016-06-13,6540.6
2016-06-14,6577.16
2016-06-15,6647.74
2016-06-16,6618.34
2016-06-17,6681.56
2016-06-20,6677.08
2016-06-21,6654.86
2016-06-22,6690.39
2016-06-23,6665.21
2016-06-24,6605.34
2016-06-27,6698.72
2016-06-28,6706.75
2016-06-29,6712.7
2016-06-30,6743.13
2016-07-01,6758.51
2016-07-04,6736.5
2016-07-05,6651.66
2016-07-06,6743.66
2016-07-07,6684.15
2016-07-08,6668.83
2016-07-11,6714.22
2016-07-12,6879.59
2016-07-13,6844.13
2016-07-14,6815.71
2016-07-15,6834.48
2016-07-18,6809.09
2016-07-19,6709.36
2016-07-20,6716.78
2016-07-21,6753.17
2016-07-22,6693.24
2016-07-25,6732.17
2016-07-26,6869.93
2016-07-27,6794.51
2016-07-28,6911.57
2016-07-29,6895.05
2016-08-01,6829.04
2016-08-02,6847.96
2016-08-03,6879.02
2016-08-04,6958.43
2016-08-05,7008.19
2016-08-08,7114.48
2016-08-09,7169.59
2016-08-10,7085.65
2016-08-11,7055.17
2016-08-12,7210.23
2016-08-15,7432.38
2016-08-16,7507.54
2016-08-17,7436.88
2016-08-18,7367.58
2016-08-19,7305.12
2016-08-22,7302.91
2016-08-23,7311.33
2016-08-24,7265.47
2016-08-25,7203.39
2016-08-26,7147.16
2016-08-29,7116.12
2016-08-30,7109.53
2016-08-31,7227.34
2016-09-01,7117.94
2016-09-02,7208.36
2016-09-05,7290.78
2016-09-06,7405.97
2016-09-07,7382.07
2016-09-08,7371.5
2016-09-09,7297.14
2016-09-12,7218.22
2016-09-13,7222.48
2016-09-14,7166.85
2016-09-19,7237.74
2016-09-20,7226.27
2016-09-21,7268.2
2016-09-22,7434.17
2016-09-23,7330.87
2016-09-26,7214.16
2016-09-27,7294.07
2016-09-28,7319.96
2016-09-29,7369.82
2016-09-30,7432.26
2016-10-10,7515.92
2016-10-11,7537.35
2016-10-12,7534.59
2016-10-13,7533.08
2016-10-14,7533.75
2016-10-17,7450.39
2016-10-18,7524.04
2016-10-19,7513.99
2016-10-20,7530.38
2016-10-21,7544.73
2016-10-24,7626.33
2016-10-25,7661.39
2016-10-26,7664.73
2016-10-27,7609.42
2016-10-28,7596.04
2016-10-31,7616.6
2016-11-01,7680.76
2016-11-02,7580.35
2016-11-03,7605.78
2016-11-04,7585.05
2016-11-07,7571.59
2016-11-08,7610.24
2016-11-09,7671.74
2016-11-10,7753.19
2016-11-11,7718.45
2016-11-14,7682.28
2016-11-15,7747.85
2016-11-16,7727.74
2016-11-17,7777.98
2016-11-18,7767.37
2016-11-21,7765.27
2016-11-22,7793.54
2016-11-23,7923.47
2016-11-24,8032.63
2016-11-25,8116.22
2016-11-28,8120.66
2016-11-29,8252.48
2016-11-30,8224.47
2016-12-01,8388.52
2016-12-02,8206.92
2016-12-05,7914.94
2016-12-06,7953.52
2016-12-07,7959.6
2016-12-08,7969.03
2016-12-09,8023.87
2016-12-12,7766.72
2016-12-13,7770.17
2016-12-14,7669.98
2016-12-15,7533.75
2016-12-16,7602.06
2016-12-19,7520.73
2016-12-20,7442.93
2016-12-21,7498.62
2016-12-22,7535.95
2016-12-23,7434.13
2016-12-26,7479.23
2016-12-27,7517.14
2016-12-28,7491.78
2016-12-29,7472.27
2016-12-30,7519.31
2017-01-03,7608.26
2017-01-04,7703.2
2017-01-05,7706.54
2017-01-06,7664.66
2017-01-09,7667.55
2017-01-10,7675.41
2017-01-11,7594.19
2017-01-12,7540.1
2017-01-13,7585.29
2017-01-16,7574.68
2017-01-17,7628.14
2017-01-18,7723.41
2017-01-19,7696.84
2017-01-20,7760.54
2017-01-23,7746.61
2017-01-24,7776.34
2017-01-25,7811.23
2017-01-26,7828.8
2017-02-03,7775.8
2017-02-06,7783.58
2017-02-07,7760.08
2017-02-08,7787.28
2017-02-09,7832.63
2017-02-10,7860.52
2017-02-13,7973.23
2017-02-14,7956.04
2017-02-15,7920.95
2017-02-16,7974.69
2017-02-17,7972.21
2017-02-20,8153.74
2017-02-21,8147.07
2017-02-22,8224.25
2017-02-23,8176.02
2017-02-24,8125.6
2017-02-27,8011.58
2017-02-28,8045.44
2017-03-01,8066.85
2017-03-02,8028.88
2017-03-03,8036.48
2017-03-06,8106.47
2017-03-07,8149.76
2017-03-08,8151.6
2017-03-09,8122.26
2017-03-10,8198.62
2017-03-13,8253.28
2017-03-14,8286.12
2017-03-15,8332.16
2017-03-16,8311.51
2017-03-17,8229.48
2017-03-20,8292.05
2017-03-21,8462.86
2017-03-22,8486.97
2017-03-23,8560.46
2017-03-24,8615.62
2017-03-27,8514.97
2017-03-28,8494.81
2017-03-29,8506.83
2017-03-30,8432.11
2017-03-31,8555.31
2017-04-05,8580.2
2017-04-06,8640.17
2017-04-07,8621.68
2017-04-10,8566.96
2017-04-11,8508.52
2017-04-12,8540.4
2017-04-13,8593.62
2017-04-14,8515.38
2017-04-17,8590.05
2017-04-18,8684.6
2017-04-19,8739.99
2017-04-20,8856.39
2017-04-21,8823.35
2017-04-24,8746.37
2017-04-25,8887.85
2017-04-26,8876.94
2017-04-27,8862.64
2017-04-28,8706.41
2017-05-02,8695.59
2017-05-03,8713.79
2017-05-04,8719.35
2017-05-05,8730.84
2017-05-08,8618.96
2017-05-09,8553.2
2017-05-10,8589.22
2017-05-11,8735.31
2017-05-12,8782.92
2017-05-15,8842.81
2017-05-16,8967.53
2017-05-17,8848.86
2017-05-18,8845.25
2017-05-19,8954.9
2017-05-22,9048.71
2017-05-23,9164.35
2017-05-24,9118.96
2017-05-25,9161.54
2017-05-26,9208.3
2017-05-31,9257.82
2017-06-01,9302.17
2017-06-02,9246.65
2017-06-05,9168.8
2017-06-06,9321.25
2017-06-07,9429.3
2017-06-08,9681.87
2017-06-09,9712.78
2017-06-12,9880.48
2017-06-13,9926.9
2017-06-14,9724.0
2017-06-15,9658.3
2017-06-16,9572.98
2017-06-19,9713.82
2017-06-20,9680.57
2017-06-21,9947.7
2017-06-22,9969.38
2017-06-23,10215.68
2017-06-26,10427.57
2017-06-27,10433.07
2017-06-28,10247.27
2017-06-29,10323.64
2017-06-30,10366.96
2017-07-03,10226.48
2017-07-04,10082.81
2017-07-05,10266.23
2017-07-06,10259.37
2017-07-07,10203.02
2017-07-10,10210.97
2017-07-11,10439.21
2017-07-12,10329.48
2017-07-13,10286.89
2017-07-14,10358.67
2017-07-17,10298.01
2017-07-18,10245.53
2017-07-19,10287.02
2017-07-20,10449.42
2017-07-21,10420.69
2017-07-24,10479.49
2017-07-25,10411.68
2017-07-26,10226.26
2017-07-27,10144.64
2017-07-28,10243.44
2017-07-31,10205.82
2017-08-01,10241.57
2017-08-02,10180.71
2017-08-03,10028.07
2017-08-04,9954.69
2017-08-07,10073.95
2017-08-08,10049.52
2017-08-09,10210.82
2017-08-10,10223.93
2017-08-11,10039.16
2017-08-14,10139.08
2017-08-15,10148.76
2017-08-16,10077.95
2017-08-17,10096.16
2017-08-18,10142.77
2017-08-21,10184.65
2017-08-22,10227.12
2017-08-23,10249.47
2017-08-24,10248.28
2017-08-25,10316.84
2017-08-28,10399.9
2017-08-29,10334.95
2017-08-30,10355.59
2017-08-31,10275.17
2017-09-01,10245.62
2017-09-04,10282.05
2017-09-05,10320.39
