日期Date,收盘Close
2015-01-01,15081.95
2015-01-05,15081.95
2015-01-06,15115.77
2015-01-07,15040.6
2015-01-08,15089.91
2015-01-09,14972.45
2015-01-12,14681.27
2015-01-13,14689.67
2015-01-14,14494.99
2015-01-15,14597.58
2015-01-16,14736.54
2015-01-19,14012.33
2015-01-20,14398.94
2015-01-21,14713.3
2015-01-22,14836.3
2015-01-23,14668.29
2015-01-26,14946.8
2015-01-27,14965.84
2015-01-28,14812.28
2015-01-29,14677.15
2015-01-30,14622.62
2015-02-02,14521.35
2015-02-03,14704.23
2015-02-04,14605.41
2015-02-05,14525.06
2015-02-06,14214.6
2015-02-09,14316.86
2015-02-10,14524.79
2015-02-11,14576.29
2015-02-12,14687.45
2015-02-13,14776.66
2015-02-16,14884.13
2015-02-17,14841.58
2015-02-25,14714.03
2015-02-26,14905.5
2015-02-27,14970.68
2015-03-02,15060.99
2015-03-03,15014.3
2015-03-04,15244.26
2015-03-05,15226.77
2015-03-06,15244.34
2015-03-09,15458.09
2015-03-10,15482.05
2015-03-11,15477.92
2015-03-12,15528.82
2015-03-13,15598.16
2015-03-16,15967.8
2015-03-17,16209.28
2015-03-18,16459.09
2015-03-19,16389.52
2015-03-20,16471.35
2015-03-23,16719.21
2015-03-24,16856.74
2015-03-25,16948.38
2015-03-26,17271.59
2015-03-27,17271.23
2015-03-30,17404.76
2015-03-31,17268.95
2015-04-01,17481.61
2015-04-02,17732.08
2015-04-03,17913.97
2015-04-07,18273.97
2015-04-08,18278.79
2015-04-09,18020.33
2015-04-10,18418.92
2015-04-13,18727.93
2015-04-14,18803.41
2015-04-15,18237.6
2015-04-16,18949.95
2015-04-17,18895.95
2015-04-20,18476.96
2015-04-21,19318.21
2015-04-22,19669.62
2015-04-23,19699.32
2015-04-24,19650.85
2015-04-27,19830.47
2015-04-28,19106.61
2015-04-29,19308.56
2015-04-30,19373.94
2015-05-04,19666.75
2015-05-05,19027.22
2015-05-06,18624.22
2015-05-07,18430.51
2015-05-08,18976.98
2015-05-11,19642.11
2015-05-12,19903.0
2015-05-13,20115.58
2015-05-14,20279.18
2015-05-15,20330.66
2015-05-18,20467.07
2015-05-19,21018.54
2015-05-20,21275.33
2015-05-21,22186.04
2015-05-22,22696.62
2015-05-25,23113.29
2015-05-26,23505.26
2015-05-27,23626.69
2015-05-28,22100.08
2015-05-29,22135.06
2015-06-01,23239.13
2015-06-02,23990.06
2015-06-03,23782.47
2015-06-04,23788.17
2015-06-05,24104.45
2015-06-08,24294.35
2015-06-09,24028.42
2015-06-10,24636.05
2015-06-11,25167.0
2015-06-12,25801.24
2015-06-15,25438.98
2015-06-16,24209.25
2015-06-17,24536.32
2015-06-18,23703.26
2015-06-19,21929.93
2015-06-23,22468.94
2015-06-24,23228.26
2015-06-25,22262.15
2015-06-26,20464.3
2015-06-29,20057.09
2015-06-30,21014.2
2015-07-01,19881.01
2015-07-02,18370.85
2015-07-03,17013.94
2015-07-06,16599.93
2015-07-07,15548.93
2015-07-08,14683.94
2015-07-09,15637.83
2015-07-10,16618.86
2015-07-13,17515.65
2015-07-14,17354.01
2015-07-15,16550.21
2015-07-16,16982.38
2015-07-17,17828.4
2015-07-20,17973.96
2015-07-21,18142.5
2015-07-22,18357.84
2015-07-23,18789.42
2015-07-24,18505.45
2015-07-27,17188.2
2015-07-28,17310.73
2015-07-29,18176.89
2015-07-30,17698.87
2015-07-31,17624.25
2015-08-03,17420.08
2015-08-04,18311.46
2015-08-05,17954.37
2015-08-06,17773.82
2015-08-07,18268.84
2015-08-10,19015.56
2015-08-11,19127.91
2015-08-12,18846.86
2015-08-13,19171.99
2015-08-14,19284.75
2015-08-17,19543.86
2015-08-18,18192.76
2015-08-19,18649.49
2015-08-20,18118.67
2015-08-21,17233.05
2015-08-24,15772.65
2015-08-25,14705.19
2015-08-26,14671.85
2015-08-27,15460.58
2015-08-28,16162.86
2015-08-31,15659.89
2015-09-01,15035.7
2015-09-02,14919.02
2015-09-07,14757.89
2015-09-08,15173.91
2015-09-09,15630.07
2015-09-10,15297.93
2015-09-11,15371.71
2015-09-14,14454.33
2015-09-15,13887.99
2015-09-16,14900.28
2015-09-17,14472.23
2015-09-18,14578.7
2015-09-21,14989.32
2015-09-22,15120.6
2015-09-23,14869.29
2015-09-24,15033.51
2015-09-25,14675.1
2015-09-28,14828.34
2015-09-29,14628.28
2015-09-30,14664.97
2015-10-08,15254.94
2015-10-09,15377.59
2015-10-12,15931.72
2015-10-13,16072.24
2015-10-14,15891.81
2015-10-15,16263.46
2015-10-16,16389.12
2015-10-19,16403.25
2015-10-20,16617.94
2015-10-21,15725.0
2015-10-22,16192.24
2015-10-23,16612.11
2015-10-26,16734.96
2015-10-27,16662.48
2015-10-28,16323.99
2015-10-29,16547.66
2015-10-30,16600.52
2015-11-02,16429.98
2015-11-03,16520.27
2015-11-04,17276.09
2015-11-05,17260.19
2015-11-06,17489.81
2015-11-09,17619.7
2015-11-10,17600.56
2015-11-11,17764.56
2015-11-12,17576.12
2015-11-13,17234.84
2015-11-16,17563.24
2015-11-17,17605.99
2015-11-18,17483.01
2015-11-19,17836.24
2015-11-20,18033.53
2015-11-23,17920.96
2015-11-24,17994.71
2015-11-25,18224.38
2015-11-26,18102.07
2015-11-27,17148.36
2015-11-30,17327.21
2015-12-01,17542.7
2015-12-02,17742.63
2015-12-03,17998.78
2015-12-04,17933.39
2015-12-07,18047.08
2015-12-08,17591.64
2015-12-09,17645.2
2015-12-10,17632.7
2015-12-11,17552.46
2015-12-14,17937.26
2015-12-15,18050.8
2015-12-16,18103.54
2015-12-17,18429.04
2015-12-18,18498.13
2015-12-21,19402.81
2015-12-22,19415.27
2015-12-23,19226.86
2015-12-24,19188.84
2015-12-25,19223.34
2015-12-28,18738.8
2015-12-29,18930.07
2015-12-30,18967.84
2015-12-31,18899.62
2016-01-04,17544.39
2016-01-05,17667.03
2016-01-06,17982.37
2016-01-07,16760.01
2016-01-08,17077.0
2016-01-11,16186.41
2016-01-12,16229.41
2016-01-13,15932.21
2016-01-14,16296.6
2016-01-15,15781.79
2016-01-18,15829.91
2016-01-19,16278.59
2016-01-20,15985.94
2016-01-21,15482.64
2016-01-22,15645.42
2016-01-25,15850.32
2016-01-26,14950.07
2016-01-27,14869.82
2016-01-28,14542.76
2016-01-29,15064.67
2016-02-01,15013.8
2016-02-02,15320.66
2016-02-03,15424.72
2016-02-04,15563.39
2016-02-05,15434.11
2016-02-15,15325.55
2016-02-16,15780.59
2016-02-17,15841.37
2016-02-18,15721.71
2016-02-19,15765.19
2016-02-22,16050.92
2016-02-23,16047.39
2016-02-24,16130.43
2016-02-25,15106.83
2016-02-26,15254.51
2016-02-29,14656.54
2016-03-01,14931.65
2016-03-02,15532.71
2016-03-03,15638.86
2016-03-04,15660.61
2016-03-07,15860.62
2016-03-08,15795.67
2016-03-09,15567.39
2016-03-10,15599.06
2016-03-11,15606.84
2016-03-14,15876.82
2016-03-15,15894.01
2016-03-16,15794.29
2016-03-17,16058.64
2016-03-18,16324.2
