日期Date,收盘Close
2015-01-01,5544.61
2015-01-05,5544.61
2015-01-06,5520.06
2015-01-07,5475.81
2015-01-08,5288.19
2015-01-09,5290.43
2015-01-12,5204.2
2015-01-13,5194.47
2015-01-14,5226.63
2015-01-15,5411.13
2015-01-16,5457.03
2015-01-19,4942.8
2015-01-20,4994.56
2015-01-21,5230.43
2015-01-22,5215.11
2015-01-23,5229.62
2015-01-26,5229.91
2015-01-27,5149.08
2015-01-28,5081.02
2015-01-29,5010.1
2015-01-30,4958.11
2015-02-02,4800.21
2015-02-03,4918.56
2015-02-04,4854.66
2015-02-05,4800.77
2015-02-06,4710.91
2015-02-09,4747.38
2015-02-10,4843.01
2015-02-11,4848.12
2015-02-12,4850.46
2015-02-13,4889.16
2015-02-16,4882.36
2015-02-17,4915.06
2015-02-25,4879.41
2015-02-26,5016.14
2015-02-27,5011.2
2015-03-02,5025.1
2015-03-03,4887.16
2015-03-04,4878.37
2015-03-05,4782.08
2015-03-06,4788.28
2015-03-09,4977.52
2015-03-10,4901.47
2015-03-11,4934.59
2015-03-12,5116.02
2015-03-13,5137.83
2015-03-16,5215.1
2015-03-17,5280.74
2015-03-18,5400.96
2015-03-19,5387.1
2015-03-20,5409.0
2015-03-23,5508.9
2015-03-24,5495.78
2015-03-25,5378.75
2015-03-26,5408.07
2015-03-27,5437.18
2015-03-30,5661.94
2015-03-31,5574.76
2015-04-01,5628.52
2015-04-02,5614.01
2015-04-03,5651.19
2015-04-07,5796.42
2015-04-08,5873.29
2015-04-09,5805.19
2015-04-10,5920.65
2015-04-13,6103.15
2015-04-14,6125.81
2015-04-15,6175.81
2015-04-16,6367.19
2015-04-17,6449.09
2015-04-20,6328.08
2015-04-21,6409.9
2015-04-22,6554.23
2015-04-23,6490.21
2015-04-24,6376.36
2015-04-27,6599.83
2015-04-28,6623.1
2015-04-29,6583.69
2015-04-30,6579.16
2015-05-04,6666.45
2015-05-05,6318.11
2015-05-06,6245.74
2015-05-07,6111.36
2015-05-08,6197.59
2015-05-11,6342.24
2015-05-12,6399.51
2015-05-13,6325.19
2015-05-14,6292.98
2015-05-15,6160.76
2015-05-18,6050.22
2015-05-19,6268.13
2015-05-20,6303.98
2015-05-21,6356.08
2015-05-22,6565.41
2015-05-25,6776.39
2015-05-26,6824.6
2015-05-27,6767.63
2015-05-28,6333.05
2015-05-29,6307.97
2015-06-01,6632.04
2015-06-02,6692.28
2015-06-03,6720.55
2015-06-04,6867.24
2015-06-05,6917.73
2015-06-08,7196.43
2015-06-09,7142.85
2015-06-10,7072.74
2015-06-11,7026.5
2015-06-12,7098.01
2015-06-15,6946.31
2015-06-16,6772.24
2015-06-17,6877.87
2015-06-18,6602.68
2015-06-19,6228.84
2015-06-23,6426.66
2015-06-24,6594.71
2015-06-25,6412.55
2015-06-26,6016.41
2015-06-29,6022.87
2015-06-30,6395.92
2015-07-01,6113.08
2015-07-02,6020.83
2015-07-03,5703.85
2015-07-06,6062.39
2015-07-07,6237.2
2015-07-08,5814.49
2015-07-09,6180.1
2015-07-10,6401.18
2015-07-13,6358.38
2015-07-14,6162.9
2015-07-15,6151.08
2015-07-16,6110.97
2015-07-17,6215.6
2015-07-20,6188.96
2015-07-21,6155.25
2015-07-22,6093.02
2015-07-23,6172.56
2015-07-24,6094.05
2015-07-27,5586.03
2015-07-28,5605.42
2015-07-29,5713.6
2015-07-30,5583.68
2015-07-31,5614.11
2015-08-03,5715.95
2015-08-04,5798.23
2015-08-05,5690.25
2015-08-06,5655.76
2015-08-07,5717.28
2015-08-10,5917.65
2015-08-11,5855.48
2015-08-12,5782.58
2015-08-13,5826.16
2015-08-14,5810.51
2015-08-17,5775.16
2015-08-18,5493.11
2015-08-19,5543.47
2015-08-20,5410.65
2015-08-21,5239.82
2015-08-24,4775.7
2015-08-25,4464.22
2015-08-26,4591.2
2015-08-27,4904.54
2015-08-28,5024.98
2015-08-31,5139.32
2015-09-01,5231.68
2015-09-02,5303.08
2015-09-07,5018.16
2015-09-08,5121.25
2015-09-09,5176.77
2015-09-10,5174.46
2015-09-11,5151.15
2015-09-14,5226.92
2015-09-15,5124.87
2015-09-16,5235.58
2015-09-17,5128.34
2015-09-18,5122.36
2015-09-21,5138.16
2015-09-22,5172.25
2015-09-23,5065.52
2015-09-24,5078.84
2015-09-25,5089.22
2015-09-28,5065.2
2015-09-29,4988.69
2015-09-30,5038.57
2015-10-08,5111.52
2015-10-09,5148.44
2015-10-12,5262.14
2015-10-13,5237.99
2015-10-14,5191.83
2015-10-15,5266.33
2015-10-16,5309.12
2015-10-19,5286.88
2015-10-20,5321.0
2015-10-21,5356.8
2015-10-22,5325.23
2015-10-23,5347.12
2015-10-26,5370.61
2015-10-27,5349.75
2015-10-28,5304.85
2015-10-29,5307.1
2015-10-30,5304.17
2015-11-02,5250.07
2015-11-03,5225.35
2015-11-04,5386.86
2015-11-05,5526.42
2015-11-06,5587.6
2015-11-09,5725.17
2015-11-10,5687.99
2015-11-11,5636.29
2015-11-12,5566.17
2015-11-13,5519.08
2015-11-16,5522.56
2015-11-17,5535.43
2015-11-18,5533.66
2015-11-19,5589.25
2015-11-20,5599.13
2015-11-23,5591.37
2015-11-24,5556.51
2015-11-25,5586.95
2015-11-26,5559.04
2015-11-27,5329.53
2015-11-30,5387.25
2015-12-01,5402.57
2015-12-02,5661.38
2015-12-03,5672.98
2015-12-04,5531.28
2015-12-07,5545.26
2015-12-08,5488.03
2015-12-09,5497.96
2015-12-10,5456.74
2015-12-11,5404.32
2015-12-14,5500.36
2015-12-15,5456.42
2015-12-16,5441.45
2015-12-17,5519.68
2015-12-18,5565.02
2015-12-21,5735.59
2015-12-22,5720.2
2015-12-23,5720.15
2015-12-24,5688.4
2015-12-25,5709.34
2015-12-28,5550.25
2015-12-29,5593.6
2015-12-30,5596.25
2015-12-31,5564.83
2016-01-04,5285.42
2016-01-05,5315.73
2016-01-06,5387.59
2016-01-07,5120.37
2016-01-08,5202.42
2016-01-11,4997.61
2016-01-12,5012.5
2016-01-13,4963.02
2016-01-14,5021.9
2016-01-15,4895.03
2016-01-18,4882.41
2016-01-19,4999.53
2016-01-20,4916.63
2016-01-21,4816.07
2016-01-22,4861.68
2016-01-25,4874.4
2016-01-26,4645.41
2016-01-27,4649.37
2016-01-28,4568.54
2016-01-29,4674.4
2016-02-01,4597.65
2016-02-02,4657.37
2016-02-03,4618.82
2016-02-04,4672.69
2016-02-05,4680.31
2016-02-15,4637.72
2016-02-16,4741.72
2016-02-17,4769.43
2016-02-18,4762.24
2016-02-19,4737.38
2016-02-22,4827.02
2016-02-23,4785.49
2016-02-24,4814.09
2016-02-25,4609.81
2016-02-26,4661.51
2016-02-29,4646.17
2016-03-01,4687.5
2016-03-02,4832.88
2016-03-03,4857.34
2016-03-04,5002.3
2016-03-07,4975.72
2016-03-08,4988.31
2016-03-09,4986.33
2016-03-10,4884.64
2016-03-11,4881.92
2016-03-14,4893.76
2016-03-15,4952.47
2016-03-16,5043.89
2016-03-17,5014.03
2016-03-18,5022.82
2016-03-21,5065.44
2016-03-22,5048.12
2016-03-23,5039.04
2016-03-24,4980.44
2016-03-25,4995.74
2016-03-28,4958.74
2016-03-29,4928.37
2016-03-30,5037.41
2016-03-31,5032.8
2016-04-01,5064.9
2016-04-05,5091.91
2016-04-06,5072.73
2016-04-07,5017.9
2016-04-08,4998.42
2016-04-11,5042.77
2016-04-12,5029.38
2016-04-13,5077.11
2016-04-14,5088.94
2016-04-15,5103.87
2016-04-18,5062.34
2016-04-19,5072.02
2016-04-20,5044.79
2016-04-21,5034.9
2016-04-22,5059.08
2016-04-25,5048.02
2016-04-26,5061.29
2016-04-27,5049.84
2016-04-28,5056.83
2016-04-29,5041.44
2016-05-03,5092.37
2016-05-04,5080.75
2016-05-05,5079.32
2016-05-06,4993.43
2016-05-09,4923.63
2016-05-10,4921.43
2016-05-11,4947.47
2016-05-12,4960.1
2016-05-13,4946.45
2016-05-16,4960.67
2016-05-17,4942.06
2016-05-18,4946.87
2016-05-19,4928.79
2016-05-20,4948.94
2016-05-23,4945.83
2016-05-24,4916.62
2016-05-25,4931.57
2016-05-26,4937.3
2016-05-27,4943.4
2016-05-30,4975.02
2016-05-31,5088.26
2016-06-01,5061.43
2016-06-02,5059.1
2016-06-03,5097.4
2016-06-06,5079.14
2016-06-07,5085.41
2016-06-08,5080.87
2016-06-13,4986.22
2016-06-14,5002.94
2016-06-15,5025.49
2016-06-16,5000.38
2016-06-17,5022.92
2016-06-20,5031.51
2016-06-21,5031.53
2016-06-22,5054.58
2016-06-23,5031.77
2016-06-24,4981.83
2016-06-27,5019.8
2016-06-28,5022.58
2016-06-29,5063.61
2016-06-30,5071.82
2016-07-01,5097.98
2016-07-04,5169.89
2016-07-05,5178.27
2016-07-06,5182.09
2016-07-07,5190.09
2016-07-08,5154.99
2016-07-11,5172.98
2016-07-12,5278.67
2016-07-13,5300.8
2016-07-14,5287.83
2016-07-15,5307.25
2016-07-18,5333.87
2016-07-19,5294.25
2016-07-20,5277.0
2016-07-21,5303.7
2016-07-22,5256.15
2016-07-25,5273.56
2016-07-26,5328.65
2016-07-27,5326.92
2016-07-28,5338.36
2016-07-29,5333.2
2016-08-01,5331.0
2016-08-02,5331.12
2016-08-03,5321.01
2016-08-04,5316.02
2016-08-05,5331.74
2016-08-08,5363.02
2016-08-09,5398.7
2016-08-10,5388.97
2016-08-11,5413.9
2016-08-12,5534.61
2016-08-15,5659.82
2016-08-16,5575.59
2016-08-17,5572.85
2016-08-18,5542.6
2016-08-19,5548.93
2016-08-22,5536.68
2016-08-23,5543.51
2016-08-24,5534.92
2016-08-25,5504.1
2016-08-26,5498.42
2016-08-29,5474.47
2016-08-30,5502.88
2016-08-31,5519.11
2016-09-01,5488.94
2016-09-02,5502.79
2016-09-05,5503.56
2016-09-06,5499.4
2016-09-07,5507.66
2016-09-08,5506.41
2016-09-09,5473.1
2016-09-12,5406.44
2016-09-13,5400.95
2016-09-14,5355.19
2016-09-19,5388.85
2016-09-20,5381.17
2016-09-21,5388.92
2016-09-22,5424.74
2016-09-23,5417.17
2016-09-26,5363.85
2016-09-27,5388.76
2016-09-28,5366.71
2016-09-29,5389.21
2016-09-30,5395.82
2016-10-10,5451.53
2016-10-11,5457.88
2016-10-12,5434.62
2016-10-13,5435.32
2016-10-14,5446.38
2016-10-17,5411.96
2016-10-18,5464.09
2016-10-19,5463.73
2016-10-20,5474.03
2016-10-21,5511.07
2016-10-24,5583.34
2016-10-25,5585.95
2016-10-26,5552.31
2016-10-27,5536.28
2016-10-28,5542.15
2016-10-31,5533.25
2016-11-01,5557.09
2016-11-02,5515.52
2016-11-03,5564.02
2016-11-04,5564.46
2016-11-07,5574.35
2016-11-08,5589.12
2016-11-09,5551.19
2016-11-10,5607.37
2016-11-11,5616.84
2016-11-14,5621.42
2016-11-15,5615.31
2016-11-16,5609.57
2016-11-17,5620.12
2016-11-18,5609.61
2016-11-21,5661.68
2016-11-22,5705.79
2016-11-23,5757.38
2016-11-24,5774.38
2016-11-25,5846.59
2016-11-28,5870.92
2016-11-29,5945.48
2016-11-30,5882.38
2016-12-01,5913.3
2016-12-02,5890.62
2016-12-05,5828.36
2016-12-06,5806.1
2016-12-07,5809.68
2016-12-08,5832.23
2016-12-09,5925.85
2016-12-12,5885.03
2016-12-13,5825.59
2016-12-14,5807.47
2016-12-15,5671.39
2016-12-16,5656.11
2016-12-19,5632.39
2016-12-20,5598.01
2016-12-21,5635.18
2016-12-22,5621.58
2016-12-23,5586.96
2016-12-26,5608.26
2016-12-27,5591.22
2016-12-28,5568.44
2016-12-29,5570.14
2016-12-30,5600.31
2017-01-03,5648.69
2017-01-04,5683.45
2017-01-05,5681.03
2017-01-06,5659.15
2017-01-09,5676.41
2017-01-10,5666.69
2017-01-11,5637.9
2017-01-12,5623.34
2017-01-13,5657.95
2017-01-16,5732.53
2017-01-17,5717.7
2017-01-18,5753.76
2017-01-19,5748.21
2017-01-20,5774.2
2017-01-23,5768.42
2017-01-24,5805.24
2017-01-25,5817.08
2017-01-26,5832.93
2017-02-03,5776.77
2017-02-06,5781.74
2017-02-07,5770.31
