交易日期,全收益指数代码,指数名称,收盘点位
20160630,H00922,中证红利全收益指数,5057.93
20160701,H00922,中证红利全收益指数,5062.73
20160704,H00922,中证红利全收益指数,5139.62
20160705,H00922,中证红利全收益指数,5148.39
20160706,H00922,中证红利全收益指数,5169.83
20160707,H00922,中证红利全收益指数,5160.86
20160708,H00922,中证红利全收益指数,5141.28
20160711,H00922,中证红利全收益指数,5156.5
20160712,H00922,中证红利全收益指数,5276.63
20160713,H00922,中证红利全收益指数,5303.68
20160714,H00922,中证红利全收益指数,5282.79
20160715,H00922,中证红利全收益指数,5296.11
20160718,H00922,中证红利全收益指数,5304.11
20160719,H00922,中证红利全收益指数,5280.44
20160720,H00922,中证红利全收益指数,5264.56
20160721,H00922,中证红利全收益指数,5294.23
20160722,H00922,中证红利全收益指数,5239.04
20160725,H00922,中证红利全收益指数,5260.18
20160726,H00922,中证红利全收益指数,5331.19
20160727,H00922,中证红利全收益指数,5254.01
20160728,H00922,中证红利全收益指数,5321.68
20160729,H00922,中证红利全收益指数,5320.33
20160801,H00922,中证红利全收益指数,5272.58
20160802,H00922,中证红利全收益指数,5292.95
20160803,H00922,中证红利全收益指数,5305.76
20160804,H00922,中证红利全收益指数,5316.76
20160805,H00922,中证红利全收益指数,5321.96
20160808,H00922,中证红利全收益指数,5377.7
20160809,H00922,中证红利全收益指数,5412.19
20160810,H00922,中证红利全收益指数,5387.64
20160811,H00922,中证红利全收益指数,5366.01
20160812,H00922,中证红利全收益指数,5473.18
20160815,H00922,中证红利全收益指数,5608.37
20160816,H00922,中证红利全收益指数,5584.73
20160817,H00922,中证红利全收益指数,5584.54
20160818,H00922,中证红利全收益指数,5572.74
20160819,H00922,中证红利全收益指数,5579.49
20160822,H00922,中证红利全收益指数,5545.39
20160823,H00922,中证红利全收益指数,5549.52
20160824,H00922,中证红利全收益指数,5533.06
20160825,H00922,中证红利全收益指数,5505.91
20160826,H00922,中证红利全收益指数,5496.57
20160829,H00922,中证红利全收益指数,5495.5
20160830,H00922,中证红利全收益指数,5506.24
20160831,H00922,中证红利全收益指数,5530.35
20160901,H00922,中证红利全收益指数,5481.92
20160902,H00922,中证红利全收益指数,5494.38
20160905,H00922,中证红利全收益指数,5516.51
20160906,H00922,中证红利全收益指数,5562.23
20160907,H00922,中证红利全收益指数,5566.77
20160908,H00922,中证红利全收益指数,5574.46
20160909,H00922,中证红利全收益指数,5528.22
20160912,H00922,中证红利全收益指数,5427.05
20160913,H00922,中证红利全收益指数,5435.87
20160914,H00922,中证红利全收益指数,5383.52
20160919,H00922,中证红利全收益指数,5437.84
20160920,H00922,中证红利全收益指数,5443.18
20160921,H00922,中证红利全收益指数,5449.0
20160922,H00922,中证红利全收益指数,5499.32
20160923,H00922,中证红利全收益指数,5473.72
20160926,H00922,中证红利全收益指数,5392.91
20160927,H00922,中证红利全收益指数,5426.34
20160928,H00922,中证红利全收益指数,5417.63
20160929,H00922,中证红利全收益指数,5436.2
20160930,H00922,中证红利全收益指数,5451.22
20161010,H00922,中证红利全收益指数,5523.2
20161011,H00922,中证红利全收益指数,5537.47
20161012,H00922,中证红利全收益指数,5526.75
20161013,H00922,中证红利全收益指数,5541.98
20161014,H00922,中证红利全收益指数,5542.5
20161017,H00922,中证红利全收益指数,5503.01
20161018,H00922,中证红利全收益指数,5576.93
20161019,H00922,中证红利全收益指数,5567.16
20161020,H00922,中证红利全收益指数,5573.75
20161021,H00922,中证红利全收益指数,5599.55
20161024,H00922,中证红利全收益指数,5653.81
20161025,H00922,中证红利全收益指数,5675.61
20161026,H00922,中证红利全收益指数,5636.82
20161027,H00922,中证红利全收益指数,5629.13
20161028,H00922,中证红利全收益指数,5596.13
20161031,H00922,中证红利全收益指数,5599.87
20161101,H00922,中证红利全收益指数,5637.0
20161102,H00922,中证红利全收益指数,5584.47
20161103,H00922,中证红利全收益指数,5623.15
20161104,H00922,中证红利全收益指数,5603.79
20161107,H00922,中证红利全收益指数,5614.47
20161108,H00922,中证红利全收益指数,5642.52
20161109,H00922,中证红利全收益指数,5611.95
20161110,H00922,中证红利全收益指数,5684.07
20161111,H00922,中证红利全收益指数,5711.29
20161114,H00922,中证红利全收益指数,5714.28
20161115,H00922,中证红利全收益指数,5717.92
20161116,H00922,中证红利全收益指数,5714.18
20161117,H00922,中证红利全收益指数,5740.65
20161118,H00922,中证红利全收益指数,5724.6
20161121,H00922,中证红利全收益指数,5769.27
20161122,H00922,中证红利全收益指数,5804.58
20161123,H00922,中证红利全收益指数,5825.38
20161124,H00922,中证红利全收益指数,5858.64
20161125,H00922,中证红利全收益指数,5910.09
20161128,H00922,中证红利全收益指数,5943.77
20161129,H00922,中证红利全收益指数,5968.8
20161130,H00922,中证红利全收益指数,5903.74
