交易日期,代理代码,代理名称,复权单位净值,原单位净值,当日每份分红
2016-06-30,159905,工银深证红利ETF,1.1299000000,1.129900,0.000000
2016-07-01,159905,工银深证红利ETF,1.1295000000,1.129500,0.000000
2016-07-04,159905,工银深证红利ETF,1.1207000000,1.120700,0.000000
2016-07-05,159905,工银深证红利ETF,1.1027000000,1.102700,0.000000
2016-07-06,159905,工银深证红利ETF,1.1121000000,1.112100,0.000000
2016-07-07,159905,工银深证红利ETF,1.1029000000,1.102900,0.000000
2016-07-08,159905,工银深证红利ETF,1.1026000000,1.102600,0.000000
2016-07-11,159905,工银深证红利ETF,1.1086000000,1.108600,0.000000
2016-07-12,159905,工银深证红利ETF,1.1339000000,1.133900,0.000000
2016-07-13,159905,工银深证红利ETF,1.1352000000,1.135200,0.000000
2016-07-14,159905,工银深证红利ETF,1.1279000000,1.127900,0.000000
2016-07-15,159905,工银深证红利ETF,1.1352000000,1.135200,0.000000
2016-07-18,159905,工银深证红利ETF,1.1257000000,1.125700,0.000000
2016-07-19,159905,工银深证红利ETF,1.1126000000,1.112600,0.000000
2016-07-20,159905,工银深证红利ETF,1.1112000000,1.111200,0.000000
2016-07-21,159905,工银深证红利ETF,1.1182000000,1.118200,0.000000
2016-07-22,159905,工银深证红利ETF,1.1065000000,1.106500,0.000000
2016-07-25,159905,工银深证红利ETF,1.1090000000,1.109000,0.000000
2016-07-26,159905,工银深证红利ETF,1.1259000000,1.125900,0.000000
2016-07-27,159905,工银深证红利ETF,1.1018000000,1.101800,0.000000
2016-07-28,159905,工银深证红利ETF,1.1139000000,1.113900,0.000000
2016-07-29,159905,工银深证红利ETF,1.1191000000,1.119100,0.000000
2016-08-01,159905,工银深证红利ETF,1.1088000000,1.108800,0.000000
2016-08-02,159905,工银深证红利ETF,1.1128000000,1.112800,0.000000
2016-08-03,159905,工银深证红利ETF,1.1182000000,1.118200,0.000000
2016-08-04,159905,工银深证红利ETF,1.1274000000,1.127400,0.000000
2016-08-05,159905,工银深证红利ETF,1.1393000000,1.139300,0.000000
2016-08-08,159905,工银深证红利ETF,1.1516000000,1.151600,0.000000
2016-08-09,159905,工银深证红利ETF,1.1569000000,1.156900,0.000000
2016-08-10,159905,工银深证红利ETF,1.1476000000,1.147600,0.000000
2016-08-11,159905,工银深证红利ETF,1.1459000000,1.145900,0.000000
2016-08-12,159905,工银深证红利ETF,1.1732000000,1.173200,0.000000
2016-08-15,159905,工银深证红利ETF,1.2139000000,1.213900,0.000000
2016-08-16,159905,工银深证红利ETF,1.2248000000,1.224800,0.000000
2016-08-17,159905,工银深证红利ETF,1.2126000000,1.212600,0.000000
2016-08-18,159905,工银深证红利ETF,1.2108000000,1.210800,0.000000
2016-08-19,159905,工银深证红利ETF,1.2012000000,1.201200,0.000000
2016-08-22,159905,工银深证红利ETF,1.1943000000,1.194300,0.000000
2016-08-23,159905,工银深证红利ETF,1.1968000000,1.196800,0.000000
2016-08-24,159905,工银深证红利ETF,1.1862000000,1.186200,0.000000
2016-08-25,159905,工银深证红利ETF,1.1779000000,1.177900,0.000000
2016-08-26,159905,工银深证红利ETF,1.1704000000,1.170400,0.000000
2016-08-29,159905,工银深证红利ETF,1.1716000000,1.171600,0.000000
2016-08-30,159905,工银深证红利ETF,1.1706000000,1.170600,0.000000
2016-08-31,159905,工银深证红利ETF,1.1906000000,1.190600,0.000000
2016-09-01,159905,工银深证红利ETF,1.1722000000,1.172200,0.000000
2016-09-02,159905,工银深证红利ETF,1.1757000000,1.175700,0.000000
2016-09-05,159905,工银深证红利ETF,1.1821000000,1.182100,0.000000
2016-09-06,159905,工银深证红利ETF,1.1901000000,1.190100,0.000000
2016-09-07,159905,工银深证红利ETF,1.1874000000,1.187400,0.000000
2016-09-08,159905,工银深证红利ETF,1.1853000000,1.185300,0.000000
2016-09-09,159905,工银深证红利ETF,1.1756000000,1.175600,0.000000
2016-09-12,159905,工银深证红利ETF,1.1517000000,1.151700,0.000000
2016-09-13,159905,工银深证红利ETF,1.1540000000,1.154000,0.000000
2016-09-14,159905,工银深证红利ETF,1.1409000000,1.140900,0.000000
2016-09-19,159905,工银深证红利ETF,1.1534000000,1.153400,0.000000
2016-09-20,159905,工银深证红利ETF,1.1522000000,1.152200,0.000000
2016-09-21,159905,工银深证红利ETF,1.1626000000,1.162600,0.000000
2016-09-22,159905,工银深证红利ETF,1.1853000000,1.185300,0.000000
2016-09-23,159905,工银深证红利ETF,1.1719000000,1.171900,0.000000
2016-09-26,159905,工银深证红利ETF,1.1540000000,1.154000,0.000000
2016-09-27,159905,工银深证红利ETF,1.1673000000,1.167300,0.000000
2016-09-28,159905,工银深证红利ETF,1.1676000000,1.167600,0.000000
2016-09-29,159905,工银深证红利ETF,1.1747000000,1.174700,0.000000
