交易日期,全收益指数代码,指数名称,收盘点位
20160630,H20955,中证红利低波动100全收益指数,10132.08
20160701,H20955,中证红利低波动100全收益指数,10153.02
20160704,H20955,中证红利低波动100全收益指数,10325.77
20160705,H20955,中证红利低波动100全收益指数,10359.0
20160706,H20955,中证红利低波动100全收益指数,10432.83
20160707,H20955,中证红利低波动100全收益指数,10430.52
20160708,H20955,中证红利低波动100全收益指数,10389.84
20160711,H20955,中证红利低波动100全收益指数,10475.51
20160712,H20955,中证红利低波动100全收益指数,10718.73
20160713,H20955,中证红利低波动100全收益指数,10741.25
20160714,H20955,中证红利低波动100全收益指数,10698.39
20160715,H20955,中证红利低波动100全收益指数,10732.96
20160718,H20955,中证红利低波动100全收益指数,10739.72
20160719,H20955,中证红利低波动100全收益指数,10660.8
20160720,H20955,中证红利低波动100全收益指数,10646.39
20160721,H20955,中证红利低波动100全收益指数,10699.94
20160722,H20955,中证红利低波动100全收益指数,10583.55
20160725,H20955,中证红利低波动100全收益指数,10617.43
20160726,H20955,中证红利低波动100全收益指数,10771.88
20160727,H20955,中证红利低波动100全收益指数,10682.75
20160728,H20955,中证红利低波动100全收益指数,10810.47
20160729,H20955,中证红利低波动100全收益指数,10789.83
20160801,H20955,中证红利低波动100全收益指数,10692.85
20160802,H20955,中证红利低波动100全收益指数,10731.42
20160803,H20955,中证红利低波动100全收益指数,10739.18
20160804,H20955,中证红利低波动100全收益指数,10736.77
20160805,H20955,中证红利低波动100全收益指数,10725.65
20160808,H20955,中证红利低波动100全收益指数,10821.41
20160809,H20955,中证红利低波动100全收益指数,10901.68
20160810,H20955,中证红利低波动100全收益指数,10848.64
20160811,H20955,中证红利低波动100全收益指数,10831.21
20160812,H20955,中证红利低波动100全收益指数,11006.25
20160815,H20955,中证红利低波动100全收益指数,11248.6
20160816,H20955,中证红利低波动100全收益指数,11166.39
20160817,H20955,中证红利低波动100全收益指数,11161.38
20160818,H20955,中证红利低波动100全收益指数,11117.77
20160819,H20955,中证红利低波动100全收益指数,11098.57
20160822,H20955,中证红利低波动100全收益指数,11055.74
20160823,H20955,中证红利低波动100全收益指数,11073.06
20160824,H20955,中证红利低波动100全收益指数,11052.12
20160825,H20955,中证红利低波动100全收益指数,10993.87
20160826,H20955,中证红利低波动100全收益指数,10986.01
20160829,H20955,中证红利低波动100全收益指数,10962.85
20160830,H20955,中证红利低波动100全收益指数,10982.47
20160831,H20955,中证红利低波动100全收益指数,11012.1
20160901,H20955,中证红利低波动100全收益指数,10943.92
20160902,H20955,中证红利低波动100全收益指数,10983.07
20160905,H20955,中证红利低波动100全收益指数,11022.75
20160906,H20955,中证红利低波动100全收益指数,11096.21
20160907,H20955,中证红利低波动100全收益指数,11114.32
20160908,H20955,中证红利低波动100全收益指数,11108.85
