交易日期,全收益指数代码,指数名称,收盘点位
20160630,932315CNY010,中证全指红利质量全收益指数,1749.35
20160701,932315CNY010,中证全指红利质量全收益指数,1752.19
20160704,932315CNY010,中证全指红利质量全收益指数,1775.66
20160705,932315CNY010,中证全指红利质量全收益指数,1779.27
20160706,932315CNY010,中证全指红利质量全收益指数,1805.51
20160707,932315CNY010,中证全指红利质量全收益指数,1807.32
20160708,932315CNY010,中证全指红利质量全收益指数,1798.76
20160711,932315CNY010,中证全指红利质量全收益指数,1813.92
20160712,932315CNY010,中证全指红利质量全收益指数,1864.14
20160713,932315CNY010,中证全指红利质量全收益指数,1855.06
20160714,932315CNY010,中证全指红利质量全收益指数,1857.17
20160715,932315CNY010,中证全指红利质量全收益指数,1861.77
20160718,932315CNY010,中证全指红利质量全收益指数,1859.77
20160719,932315CNY010,中证全指红利质量全收益指数,1840.11
20160720,932315CNY010,中证全指红利质量全收益指数,1840.12
20160721,932315CNY010,中证全指红利质量全收益指数,1847.83
20160722,932315CNY010,中证全指红利质量全收益指数,1827.65
20160725,932315CNY010,中证全指红利质量全收益指数,1841.53
20160726,932315CNY010,中证全指红利质量全收益指数,1875.34
20160727,932315CNY010,中证全指红利质量全收益指数,1845.58
20160728,932315CNY010,中证全指红利质量全收益指数,1876.69
20160729,932315CNY010,中证全指红利质量全收益指数,1873.65
20160801,932315CNY010,中证全指红利质量全收益指数,1846.33
20160802,932315CNY010,中证全指红利质量全收益指数,1845.82
20160803,932315CNY010,中证全指红利质量全收益指数,1853.17
20160804,932315CNY010,中证全指红利质量全收益指数,1851.07
20160805,932315CNY010,中证全指红利质量全收益指数,1846.86
20160808,932315CNY010,中证全指红利质量全收益指数,1860.39
20160809,932315CNY010,中证全指红利质量全收益指数,1881.63
20160810,932315CNY010,中证全指红利质量全收益指数,1877.96
20160811,932315CNY010,中证全指红利质量全收益指数,1877.65
20160812,932315CNY010,中证全指红利质量全收益指数,1893.75
20160815,932315CNY010,中证全指红利质量全收益指数,1924.61
20160816,932315CNY010,中证全指红利质量全收益指数,1910.93
20160817,932315CNY010,中证全指红利质量全收益指数,1912.64
20160818,932315CNY010,中证全指红利质量全收益指数,1897.07
20160819,932315CNY010,中证全指红利质量全收益指数,1897.55
20160822,932315CNY010,中证全指红利质量全收益指数,1895.31
20160823,932315CNY010,中证全指红利质量全收益指数,1893.99
20160824,932315CNY010,中证全指红利质量全收益指数,1889.02
20160825,932315CNY010,中证全指红利质量全收益指数,1877.11
20160826,932315CNY010,中证全指红利质量全收益指数,1878.05
20160829,932315CNY010,中证全指红利质量全收益指数,1869.35
20160830,932315CNY010,中证全指红利质量全收益指数,1873.39
20160831,932315CNY010,中证全指红利质量全收益指数,1876.87
20160901,932315CNY010,中证全指红利质量全收益指数,1868.39
20160902,932315CNY010,中证全指红利质量全收益指数,1875.02
20160905,932315CNY010,中证全指红利质量全收益指数,1891.72
20160906,932315CNY010,中证全指红利质量全收益指数,1915.8
20160907,932315CNY010,中证全指红利质量全收益指数,1908.26
20160908,932315CNY010,中证全指红利质量全收益指数,1904.43
20160909,932315CNY010,中证全指红利质量全收益指数,1892.47
20160912,932315CNY010,中证全指红利质量全收益指数,1861.62
20160913,932315CNY010,中证全指红利质量全收益指数,1866.27
20160914,932315CNY010,中证全指红利质量全收益指数,1848.68
20160919,932315CNY010,中证全指红利质量全收益指数,1868.76
20160920,932315CNY010,中证全指红利质量全收益指数,1865.76
20160921,932315CNY010,中证全指红利质量全收益指数,1866.57
20160922,932315CNY010,中证全指红利质量全收益指数,1878.47
20160923,932315CNY010,中证全指红利质量全收益指数,1870.06
20160926,932315CNY010,中证全指红利质量全收益指数,1846.63
20160927,932315CNY010,中证全指红利质量全收益指数,1860.18
20160928,932315CNY010,中证全指红利质量全收益指数,1857.42
20160929,932315CNY010,中证全指红利质量全收益指数,1863.67
20160930,932315CNY010,中证全指红利质量全收益指数,1879.52
20161010,932315CNY010,中证全指红利质量全收益指数,1898.56
20161011,932315CNY010,中证全指红利质量全收益指数,1902.73
20161012,932315CNY010,中证全指红利质量全收益指数,1902.04
20161013,932315CNY010,中证全指红利质量全收益指数,1895.58
20161014,932315CNY010,中证全指红利质量全收益指数,1894.6
20161017,932315CNY010,中证全指红利质量全收益指数,1881.44
20161018,932315CNY010,中证全指红利质量全收益指数,1901.64
20161019,932315CNY010,中证全指红利质量全收益指数,1895.19
20161020,932315CNY010,中证全指红利质量全收益指数,1895.19
20161021,932315CNY010,中证全指红利质量全收益指数,1906.0
20161024,932315CNY010,中证全指红利质量全收益指数,1930.44
20161025,932315CNY010,中证全指红利质量全收益指数,1944.41
20161026,932315CNY010,中证全指红利质量全收益指数,1944.79
