交易日期,指数名称,收盘点位
2016-06-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2819.95
2016-07-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2831.23
2016-07-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2881.30
2016-07-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2884.09
2016-07-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2909.96
2016-07-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2907.67
2016-07-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2897.19
2016-07-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2929.72
2016-07-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3016.40
2016-07-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3022.27
2016-07-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3008.59
2016-07-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3029.48
2016-07-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3043.96
2016-07-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3003.21
2016-07-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2998.60
2016-07-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3016.25
2016-07-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2978.59
2016-07-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,2980.69
2016-07-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3037.85
2016-07-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3018.73
2016-07-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3061.92
2016-07-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3062.39
2016-08-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3042.88
2016-08-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3044.38
2016-08-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3042.53
2016-08-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3036.76
2016-08-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3031.50
2016-08-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3058.15
2016-08-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3070.98
2016-08-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3055.42
2016-08-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3059.06
2016-08-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3115.59
2016-08-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3179.52
2016-08-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3147.43
