指数,数据口径,完整年度正收益,最差年度,最差年度年份,滚动3年样本数,滚动3年正收益占比,滚动3年年化中位数,滚动3年年化最低值,滚动5年样本数,滚动5年正收益占比,滚动5年年化中位数,滚动5年年化最低值
标普中国A股大盘红利低波50,官网全收益指数,6/9,-7.40530094%,2018,86,97.67441860%,9.08652749%,-1.34026108%,62,100.00000000%,9.01953413%,1.98816085%
标普中国A股红利机会,官网全收益指数,7/9,-21.45587946%,2018,86,88.37209302%,10.02607639%,-2.49799933%,62,100.00000000%,9.62786960%,2.16927492%
中证红利低波动,官网全收益指数,8/9,-16.39490526%,2018,86,96.51162791%,10.46244206%,-2.23891776%,62,100.00000000%,10.20162642%,2.98802614%
中证红利,官网全收益指数,7/9,-16.15243543%,2018,86,98.83720930%,8.33403229%,-0.32034372%,62,100.00000000%,9.01377798%,3.57268273%
中证红利低波动100,官网全收益指数,8/9,-14.11704378%,2018,86,89.53488372%,9.08641940%,-2.58143508%,62,100.00000000%,8.91197688%,1.95285485%
中证全指红利质量,官网全收益指数,6/9,-17.47741594%,2018,86,100.00000000%,14.55357827%,0.51571951%,62,100.00000000%,11.95940909%,5.77046842%
中证红利质量,官网全收益指数,6/9,-16.39517160%,2018,86,82.55813953%,12.42091061%,-5.88182584%,62,100.00000000%,10.18463066%,1.45421440%
上证红利,官网全收益指数,7/9,-13.58710243%,2018,86,90.69767442%,7.94058851%,-3.98184718%,62,100.00000000%,7.82560687%,1.88848313%
中证沪港深红利成长低波动,官网全收益指数,7/9,-11.42387921%,2018,86,90.69767442%,9.16040885%,-4.46858380%,62,100.00000000%,7.50938453%,0.64935354%
深证红利（159905复权净值代理）,跟踪ETF复权净值代理（已扣费，非官方全收益指数）,5/9,-26.27943124%,2018,86,65.11627907%,3.06147782%,-15.94455270%,62,67.74193548%,2.14437224%,-5.88730617%
