指数,分红持续性12,高股息陷阱防御7,策略一致性6,加权与调仓3,规则透明度2,规则稳健性30,年化收益10,最大回撤8,收益波动比7,历史风险收益25,完整年度7,滚动3年5,滚动5年3,表现稳定性15,个股集中3,行业集中4,结构护栏3,结构分散10,结构证据等级,数据可比性6,发布后历史10,资料一致性4,证据可信度20,总分或区间
中证红利低波动,10,6,6,3,2,27,8,5,6,19,6,5,3,14,2,1,1,4,B,6,10,4,20,84
中证全指红利质量,11,6,6,3,2,28,10,5,7,22,4,5,3,12,2,3,3,8,A,6,2,4,12,82
中证沪港深红利成长低波动,10,5,6,3,2,26,8,6,7,21,6,4,3,13,3,1,1,5,A,6,7,4,17,82
中证红利低波动100,7,4,6,3,2,22,7,6,5,18,6,4,3,13,3,3,3,9,B,6,10,4,20,82
标普中国A股红利机会,10,6,5,3,2,26,7,4,5,16,4,4,3,11,3,2,3,8,C,6,10,4,20,81
中证红利质量,12,7,5,3,2,29,9,4,5,18,4,3,3,10,3,3,1,7,A,6,6,4,16,80
上证红利,9,5,5,3,2,24,7,7,5,19,5,4,3,12,3,1,1,5,A,6,10,4,20,80
中证红利,9,5,5,3,2,24,7,5,5,17,5,5,3,13,3,1,1,5,B,6,10,4,20,79
标普中国A股大盘红利低波50,6,4,6,3,2,21,8,8,6,22,6,5,3,14,2,2,1,5,C,6,7,3,16,78
深证红利,9,5,4,2,2,22,4,1,2,7,3,2,1,6,1,3,1,5,A,2,10,4,16,53-59（中位56）
