指数,分红持续性14,高股息陷阱防御9,策略一致性7,规则稳健性30,年化收益10,最大回撤8,收益波动比7,历史风险收益25,年度稳定性7,滚动3年5,滚动5年3,表现稳定性15,个股集中3,行业集中4,规则上限3,结构分散10,结构证据等级,数据可比性6,发布后历史14,证据可信度20,总分或区间
中证红利低波动,11,7,7,25,8,5,6,19,6,5,3,14,2,1,1,4,A,6,13,19,81
中证全指红利质量,12,7,6,25,10,5,7,22,4,5,3,12,1,3,3,7,A,6,3,9,75
中证沪港深红利成长低波动,10,6,6,22,8,6,7,21,6,4,3,13,3,1,1,5,A,6,10,16,77
中证红利低波动100,8,5,6,19,7,6,5,18,6,4,3,13,3,3,3,9,A,6,11,17,76
标普中国A股红利机会,11,7,6,24,7,4,5,16,4,4,3,11,3,2,3,8,B,6,13,19,78
中证红利质量,13,8,6,27,9,4,5,18,4,3,3,10,2,3,1,6,A,6,8,14,75
上证红利,10,6,6,22,7,7,5,19,5,4,3,12,2,1,1,4,A,6,14,20,77
中证红利,10,6,6,22,7,5,5,17,5,5,3,13,3,2,1,6,A,6,14,20,78
标普中国A股大盘红利低波50,7,4,6,17,8,8,6,22,6,5,3,14,2,2,1,5,C,6,10,16,74
深证红利（159905复权净值代理）,10,6,5,21,4,1,2,7,3,2,1,6,1,3,1,5,B,2,10,12,48-54（中位51）
